"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","previousCatalogNumber","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","individualCount","infraspecificEpithet","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00000522","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Glechon","affinis","Glechon affinis","Briq.","type","E. Hassler","4188","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604177' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000522","NY00000522_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00498819","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Glechon","ciliata","Glechon ciliata","Benth.",NA,"B. Rambo","27098","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498819",NA,"C. C. Epling","1946","11","10","Rio Grande do Sul","Porto Alegre","Porto Alegre, ad urbem","-51.153181","-30.11284","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00498822","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Glechon","ciliata","Glechon ciliata","Benth.",NA,"L. Riedel","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628703' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498822",NA,NA,"1821",NA,NA,NA,NA,"Rio Pardo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00498818","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Glechon","ciliata","Glechon ciliata","Benth.",NA,"A. Gehrt","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628701' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498818",NA,"C. C. Epling","1921","11","01","São Paulo","Sao Paulo","Vila Ema","-46.63","-23.5403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00498820","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Glechon","ciliata","Glechon ciliata","Benth.",NA,"G. F. J. Pabst","6636","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498820",NA,"C. e. Miguel","1961","11","04","Rio Grande do Sul",NA,"Inter S. Lourenço et Camaquan. ad viam BR-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00498817","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Glechon","ciliata","Glechon ciliata","Benth.",NA,"A. G. Schulz","7071","South America","Argentina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628699' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498817",NA,"R. M. Harley","1948","02","08","Misiones",NA,"San Javier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00498821","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Glechon","ciliata","Glechon ciliata","Benth.",NA,"J. E. Leite","234","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498821",NA,NA,"1940","12",NA,"Rio Grande do Sul","Porto Alegre","Vicinity of Porto Alegre","-51.153181","-30.11284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00498816","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Glechon","ciliata","Glechon ciliata","Benth.",NA,"A. F. Regnell","II203","South America","Brazil","sheet","Ser. II No 203,204,205 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628704' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498816",NA,NA,"1878","11","22","Minas Gerais","Caldas","Caldas","-46.3858","-21.9236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00000523","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Glechon","origanifolia","Glechon origanifolia","Benth.","isosyntype",NA,"s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=762072' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000523","NY00000523_01",NA,NA,NA,NA,"Minas Gerais",NA,"Montes Prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00000524","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Glechon","paraguariensis","Glechon paraguariensis","Briq.","isotype","E. Hassler","7138","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172750' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000524","NY00000524_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
