"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","recordNumber","continentOcean","class","order","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","fieldNumber","preparationType","infraspecificEpithet","individualCount","typeStatus","relatedCatalogItem","previousCatalogNumber","sex"
"11","2021-03-02 17:19:41-03","UFES","VIES","48857","S","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffmanns.) G.Don","R.T. Valadares","Lieven, L.J.; Silva, H.L. da.","2018","12","15","Brasil","Espírito Santo","Santa Teresa","Valsugana Velha, Mata da Chave Inglesa.","-40.591111","-19.9725",NA,NA,"VIES048857",NA,NA,"163",NA,NA,NA,NA,"40º35'28''W","19º58'21''S",NA,NA,"2021","02","24",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-02 17:19:41-03","UFES","VIES","48858","S","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffmanns.) G.Don","R.T. Valadares","Lieven, L.J.; Silva, H.L. da.","2018","12","15","Brasil","Espírito Santo","Santa Teresa","Valsugana Velha, Mata da Chave Inglesa.","-40.590556","-19.9725",NA,NA,"VIES048858",NA,NA,"166",NA,NA,NA,NA,"40º35'26''W","19º58'21''S",NA,NA,"2021","02","24",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-04-27 16:08:42-03","UFES","VIES","24030","S","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffmanns.) G.Don","R.T. Valadares","T.F. Sagrillo","2011","10","30","Brasil","Espírito Santo","Aracruz","Picuã, Serra do Cavalo, Fazenda João Sagrillo.","-40.2733001708984","-19.8202991485596","37987",NA,"VIES024030","auto",NA,"69",NA,NA,NA,"VIES024030",NA,NA,"600","600","2018","04","20",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-04-27 16:08:42-03","UFES","VIES","36259","S","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffmanns.) G.Don","R.T. Valadares","Turma de Taxonomia de Campo 2015 -","2015","10","02","Brasil","Espírito Santo","Castelo","Parque Estadual de Forno Grande, trilha do mirante.","-41.184700012207","-20.6035995483398","23588",NA,"VIES036259","auto",NA,"133",NA,NA,NA,"VIES036259",NA,NA,NA,NA,"2019","08","01",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-04-27 16:08:42-03","UFES","VIES","10647","S","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffmanns.) G.Don","Nadruz, M.A.C.","Gomes, J.M.L.; Simões, J.M.","1993","06","25","Brasil","Espírito Santo","Domingos Martins","Panelas.","-40.6591987609863","-20.3633003234863","48150",NA,"VIES010647","auto",NA,"2558",NA,NA,NA,"VIES010647",NA,NA,NA,NA,"2000","02","10",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-06-27 10:24:00-03","UFES","VIES","33519","S","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffmanns.) G.Don","Zorzanelli, J.P.F.","Zorzanelli, J.P.F.","2013","11","25","Brasil","Espírito Santo","Iúna","Serra do Valentim.","-41.5358009338379","-20.3458003997803","32198",NA,"VIES033519","auto",NA,"948",NA,NA,NA,"VIES033519",NA,NA,"1426","1426","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-04-27 16:08:42-03","UFES","VIES","15968","S","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffmanns.) G.Don","Valadares, R.T.","Gomes, J.M.L.","2006","10","30","Brasil","Espírito Santo","Muniz Freire","PCH Santa Fé.","-41.4131011962891","-20.4641990661621","30072",NA,"VIES015968","auto",NA,"2986",NA,NA,NA,"VIES015968",NA,NA,NA,NA,"2013","02","01",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-04-27 16:08:42-03","UFES","VIES","39050","S","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffmanns.) G.Don","R.T. Valadares","Pena, N.T.L.; Alves-Araújo, A. & Sossai, B.G.","2015","12","08","Brasil","Espírito Santo","Nova Venécia","APA Pedra do Elefante.","-40.4006004333496","-18.710599899292","42400",NA,"VIES039050","auto",NA,"544",NA,NA,NA,"VIES039050",NA,NA,NA,NA,"2018","05","23",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:13:14-03","MBM","MBM","425702","PreservedSpecimen","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffmsg.) Kunth","Nadruz, M.","Camelo, M.C.; Temponi, L.G.; Nadruz, M.; Ribeiro, R.; Temponi, L.G.; Nadruz, M.; Ribeiro, R.","2018","11","13","Brazil","Minas Gerais",NA,"Parque Estadual Serra do Brigadeiro, Trilha para a Pedra do Pato.","-42.469722","-20.732778",NA,"Catafilos e profilos fibrosos, raízes vináceas, pecíolo verde, obtuso na abaxial, sulcado com margens agudas na adaxial, genículo saliente, curvo, lâmina foliar verde, linear a oblongo-laceolada, membranácea, fortemente discolor, bas","MBM425702",NA,NA,"37","Southern America",NA,NA,NA,"-42.469722","-20.732778","1198","1198","2018","11","13",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:13:14-03","MBM","MBM","156225","PreservedSpecimen","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffmsg.) Kunth","Nadruz, M.","G.; Silva; Silva","1992","10","12","Brazil","Espírito Santo","Domingos Martins","Rod. BR-262, próximo ao Rio Araguaia","-40.6591987609863","-20.3633003234863","48150",NA,"MBM156225","auto",NA,"57994","Southern America",NA,NA,"MBM156225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
