"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","scientificNameAuthorship","decimalLongitude","decimalLatitude","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2016-09-27 04:10:00-03","NY","NYBG","617795","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Spananthe","paniculata","Spananthe paniculata","J. P. Mena","S. E. Clemants","2131","1982","07","24","South America","Ecuador","Tungurahua","12.3 - 27.6 km W of Banos","1220","1690","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381391' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","617804","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Spananthe","paniculata","Spananthe paniculata",NA,"J. C. de M. Vasconcelos","SPSF2221","1945","08","28","South America","Brazil","Paraíba","Areia, Escola de Agronomia do Nordeste",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381396' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617804","Jacq.","-35.716443","-6.970951","NY00617804_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","617797","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Spananthe","paniculata","Spananthe paniculata","L. Constance","J. C. Solomon","8916","1982","11","14","South America","Bolivia","La Paz","4.5 km below Yolosa, then 0.7 km W on road to Rio Huarinilla. Ford across Rio Coroico","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381379' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617797","Jacq.","-67.45","-16.12",NA,"Nor Yungas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00748776","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Spananthe","paniculata","Spananthe paniculata","L. Constance","H. S. Irwin","19157","1968","01","25","South America","Brazil","Goiás","50 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881498' target='other'> <mi>dwc_moreinfo</mi></a>","NY00748776","Jacq.","-48.6","-15.57","NY00748776_01","Cocalzinho de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","617800","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Spananthe","paniculata","Spananthe paniculata","L. Constance","H. S. Irwin","13992","1966","03","15","South America","Brazil","Distrito Federal","Côrrego Landim, ca. 25 km N of Brasília.","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617800","Jacq.","-47.9294","-15.7797","NY00617800_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","617799","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Spananthe","paniculata","Spananthe paniculata","M. E. Mathias; L. Constance","H. S. Irwin","25199","1970","01","23","South America","Brazil","Goiás","Contraforte Central, ca. 20 km NE of Catalao","875","875","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381390' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617799","Jacq.","-47.9464","-18.1658","NY00617799_01","Catalão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","617803","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Spananthe","paniculata","Spananthe paniculata","M. E. Mathias","J. S. Blanchet","s.n.","1831",NA,NA,"South America","Brazil","Bahia","In Brasilia intratropica circa Bahia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617803","Jacq.",NA,NA,"NY00617803_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","617798","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Spananthe","paniculata","Spananthe paniculata","M. H. Nee","R. Kiesling","8325","1992","11","17","South America","Argentina","Jujuy","Dpto. Santa Barbara, sur de El Fuente, Finca Confines",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381388' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617798","Jacq.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01501361","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Spananthe","paniculata","Spananthe paniculata",NA,"A. Fendler","395","1877",NA,NA,"South America","Trinidad and Tobago",NA,"Trinidad",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1757239' target='other'> <mi>dwc_moreinfo</mi></a>","NY01501361","Jacq.",NA,NA,"NY01501361_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00877816","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Spananthe","paniculata","Spananthe paniculata","M. H. Nee","E. P. Heringer","15915","1976","07","22","South America","Brazil","Goiás","Ao lado da Matriz do Rosário.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944043' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877816","Jacq.","-47.9503","-16.2528","NY00877816_01","Luziânia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
