"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00897838","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","garimpensis","Paepalanthus garimpensis","Silveira","N. Hensold","F. C. Hoehne","4950","1921","01","13","South America","Brazil","Minas Gerais","Serra do Garimpo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963968' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897838","NY00897838_01",NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:52:23-03","EAO","IAN","104508","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Eriocaulaceae","Paepalanthus","garimpensis","Paepalanthus garimpensis","Silveira","Moldenke, HN","Magalhães, MG","2327","1942","11","26","Southern America","Brasil","Minas Gerais","Serra Pedra Redonda. Campo arenoso com cascalho de quartzo. Serra de Pedra Redonda é entre as cidades de Caeté e Jaboticatubas, campo albino. Frequencia em grupos pequenos. S.Geol. Itacoloni. B.Hidr. #?#ão Francisco.",NA,"Herba. Flor alva.","IAN104508",NA,"1950","Caeté","-43.6697006225586","-19.8799991607666","22051","auto",NA
"3","2021-03-08 15:43:58-03","MN","R-TIPOS","140540b","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","garimpensis","Paepalanthus garimpensis","Silveira","Hensold, N.","Silveira, A.A.","HS - 557","1909","04",NA,NA,"Brasil","Minas Gerais","Inter Caeté et S. Barbara",NA,NA,"R000140540b","R000140540b_001","1986",NA,NA,NA,NA,NA,"Isotypus"
"4","2021-03-08 15:43:58-03","MN","R-TIPOS","140540a","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","garimpensis","Paepalanthus garimpensis","Silveira","Hensold, N.","Silveira, A.A.","HS - 557","1909","04",NA,NA,"Brasil","Minas Gerais","Inter Caeté et S. Barbara",NA,NA,"R000140540a","R000140540a_001","1986",NA,NA,NA,NA,NA,"Isotypus"
"5","2021-03-08 15:43:58-03","MN","R-TIPOS","140540","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","garimpensis","Paepalanthus garimpensis","Silveira","Hensold, N.","Silveira, A.A.","HS - 557","1909","04",NA,NA,"Brasil","Minas Gerais","Inter Caeté et S. Barbara",NA,NA,"R000140540","R000140540_001","1986",NA,NA,NA,NA,NA,"Holotypus"
