"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","typeStatus","imagecode","identifiedBy","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1127840","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Exostyles","venusta","Exostyles venusta","Schott ex Spreng.","A. P. Duarte","5970","1961","08","22","South America","Brazil","Bahia","Porto Seguro","Entre Ajuda e Porto Seguro.","-39.0717334","-16.4673861","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1271441' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","8060","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Exostyles","venusta","Exostyles venusta","Schott ex Spreng.","H. W. Schott","5640",NA,NA,NA,"South America","Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=277504' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008060","type","NY00008060_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1127841","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Exostyles","venusta","Exostyles venusta","Schott ex Spreng.","A. P. Duarte","5970","1961","08","22","South America","Brazil","Bahia","Porto Seguro","Entre Ajuda e Porto Seguro.","-39.0717334","-16.4673861","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1271443' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02692493","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Exostyles","venusta","Exostyles venusta","Schott ex Spreng.","D. Cardoso","3800","2015","06","09","South America","Brazil","Rio de Janeiro",NA,"Arboreto do Jardim Botânico do Rio de Janeiro.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2987633' target='other'> <mi>dwc_moreinfo</mi></a>","NY02692493",NA,"NY02692493_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1127839","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Exostyles","venusta","Exostyles venusta","Schott ex Spreng.","W. W. Thomas","6831","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande of rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest. Parcel: 1. Tree # 3.","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1271440' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127839",NA,NA,"A. Carvalho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2423344","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Exostyles","venusta","Exostyles venusta","Schott ex Spreng.","R. D. Ribeiro","332","2004","09","11","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Parque Ecológico da Prainha, Morro dos Caetés","-43.2075004577637","-22.9027996063232","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2695573' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423344",NA,"NY02423344_01",NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:29:42-03","UNESP-IBB","BOTU","32807","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Exostyles","venusta","Exostyles venusta","Spreng.","Cardoso, D.","3800","2015","06","09",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Arboreto do Jardim Botânico",NA,NA,NA,NA,"BOTU032807",NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:41:39-03","EAO","IAN","93204","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Exostyles","venusta","Exostyles venusta","Schott","sc","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN093204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:16:04-03","UFBA","ALCB","043579","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Exostyles","venusta","Exostyles venusta","Schott","Paraguassú, LA; Guedes, ML; Lima, SS dos; Cabral, L; Oliveira, H; Rocha, M","22","1999","08","01","Southern America","Brasil","Bahia","Porto Seguro","Extremo Sul, Estação Veracruz.","-39.05","-16.433333",NA,"Cerca de 12 m de altura, com circunferência à altura do peito de 17 cm.&nf;Material estéril.&nf;Ocasional. Presente na parcela 2 (622).; Área de mata ciliar da nascente do rio dos Mangues, domínio fitoecológico de Floresta Ombrófila Densa","ALCB031417",NA,"ALCB031417","Mansano, VF",NA,NA,"-39.05","-16.433333","2009","11","20",NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:16:04-03","UFBA","ALCB","043793","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Exostyles","venusta","Exostyles venusta","Schott","Guedes, ML; Cabral, L; Oliveira, H","6689","1997","04","03","Southern America","Brasil","Bahia","Santa Cruz Cabrália","Extremo Sul, Projeto Cedro da Veracel Celulose","-39.016667","-16.266667",NA,"de ca. 8 m. de altura.Folhas co estípulas persistentes, folíolos pubescentes. Material estéril.; Mata ombrófila densa em estádio médio de regeneração.","ALCB031418",NA,"ALCB031418","Guedes, ML",NA,NA,"-39.016667","-16.266667","2000","01",NA,NA,NA,NA,NA,NA,NA
