"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber"
"1","2021-04-05 14:25:36-03","UNESC","CRI","15200","PreservedSpecimen","Plantae","Myristicaceae","Virola","bicuhyba","Virola bicuhyba","(Schott ex Spreng.) Warb.","Aline Votri Guislon","2018","10","09","Aline V. Guislon; Amanda Matiola; Josue C. Nicolau & Renato Colares","2018","10","09","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves. Área L6. Bairro Dagostim.","-49.359722","-28.765833","49º21'35''W","28º45'57''S","40","40","Fruto imaturo verde. Habito: Arbóreo","CRI014615","CRI014615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","6296","PreservedSpecimen","Plantae","Myristicaceae","Virola","bicuhyba","Virola bicuhyba","(Schott ex Spreng.) Warb.","Vanilde Citadini-Zanette",NA,NA,NA,"V. P. Boff; V. C. Zanette","1997","09","19","Brasil","Santa Catarina","Criciúma",NA,"-49.370278","-28.678333","49º22'13''W","28º40'42''S",NA,NA,NA,"CRI004851","CRI004851",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:44-03","UNESC","CRI","1691","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C. Sm.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini Zanette; R. dos Santos & J. L. Waechter","1993","08","06","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110",NA,"CRI004850","CRI004850","1623",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:37-03","UNESC","CRI","3243","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C. Sm.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Valdecir","1993","08","25","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI004852","CRI004852","1866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","887023","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C.Sm.","A. C. Smith",NA,NA,NA,"A. F. M. Glaziou","1893","02","06","Brazil","Rio de Janeiro",NA,"Alto Macahé. Muriel.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069757' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887023","NY00887023_01","20464","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","533354","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C.Sm.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1976","07","23","Brazil","Paraná","Antonina","Sapitanduva","-48.7117","-25.4286",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301133' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533354","NY00533354_01","38829","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","533355","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C.Sm.","A. C. Smith",NA,NA,NA,"P. K. H. Dusén","1914","07","22","Brazil","Paraná","Candido de Abreu","Serra da Prata.","-51.3331","-24.5669",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301136' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533355","NY00533355_01","15313","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00894006","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C.Sm.","A. C. Smith",NA,NA,NA,"Y. E. J. Mexia","1930","05","14","Brazil","Minas Gerais","Viçosa","Fazenda da Cresiuma.","-42.8817","-20.7542",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=979921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894006","NY00894006_01","4699","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","533363","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C.Sm.","L. B. Smith",NA,NA,NA,"A. Gevieski","1954","01","16","Brazil","Santa Catarina","Ibirama","Ibirama","-49.534691","-27.013976",NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301132' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533363","NY00533363_01","106","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","533360","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C.Sm.","R. Reitz",NA,NA,NA,"R. M. Klein","1955","01","18","Brazil","Santa Catarina","Blumenau","Mata da Cia. Hering, Blumenau.","-49.082834","-26.926032",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301125' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533360","NY00533360_01","1104","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00894008","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C.Sm.","J. A. Steyermark",NA,NA,NA,"J. G. Kuhlmann","1935","12","03","Brazil","Minas Gerais","Viçosa","ESA - Viçosa.","-42.860644","-20.766686",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=979932' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894008","NY00894008_01","2135","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","533358","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C.Sm.","R. Reitz",NA,NA,NA,"R. Reitz","1954","07","19","Brazil","Santa Catarina","Luiz Alves","Braço Joaquim, Luis Alves, Itajaí.","-48.941177","-26.748537",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301124' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533358","NY00533358_01","2006","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","533352","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C.Sm.","W. A. Rodrigues",NA,NA,NA,"S. A. Mori","1978","06","17","Brazil","Bahia","Una","Regiao Cacquiera da Bahia: Estrada que liga a Rod. BR 101 (Sao José) com BA 215, a 17 km da entrada.","-39.2540887","-15.1469363",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301134' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533352","NY00533352_01","10194","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","533357","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C.Sm.",NA,NA,NA,NA,"R. M. Klein","1955","06","23","Brazil","Santa Catarina","Itajaí","Cunhas, Itajaí","-48.6617","-26.9081",NA,NA,"30","30","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533357","NY00533357_01","1421","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00533367","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C.Sm.","J. A. Kallunki",NA,NA,NA,"K. B. Strier","1984","07","09","Brazil","Minas Gerais",NA,"Caratinga, Estacao Biologica de Caratinga.","-41.83","-19.67",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533367",NA,"876","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","687223","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C.Sm.",NA,NA,NA,NA,"W. Morawetz","1975","08","25","Brazil","São Paulo","Ubatuba","Serra do Mar, along the road from Ubatuba to Taubaté, km 78 - 89.","-45.12","-23.42",NA,NA,"20","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=860219' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687223","NY00687223_01","21-25875","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","533359","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C.Sm.",NA,NA,NA,NA,"C. Lage","1937","01","20","Brazil","Distrito Federal","Brasília","Próximo ao bosque do Oleo vermelho no Horto Florestal.","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533359","NY00533359_01",NA,"Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","533356","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C.Sm.","R. Reitz",NA,NA,NA,"R. Reitz","1956","02","16","Brazil","Santa Catarina","Luiz Alves","Braço Joaquim, Luis Alves. Itajaí","-48.941177","-26.748537",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301128' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533356","NY00533356_01","2672","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","533366","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C.Sm.","A. C. Smith",NA,NA,NA,"L. Riedel",NA,NA,NA,"Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301135' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533366","NY00533366_01",NA,"Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","533361","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C.Sm.","A. C. Smith",NA,NA,NA,"R. M. Klein","1950","01","19","Brazil","Santa Catarina","Brusque","Mata do Hoffman, Brusque","-48.9","-27.1",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301130' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533361","NY00533361_01","139","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","533353","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C.Sm.",NA,NA,NA,NA,"J. G. Kuhlmann","1930","09","29","Brazil","Espírito Santo","Pancas","Km. 8, estrada velha do Pancas, Rio Doce, Colatina.","-40.8514","-19.2253",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533353","NY00533353_01","373","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","533362","PreservedSpecimen","Plantae","Myristicaceae","Virola","oleifera","Virola oleifera","(Schott) A.C.Sm.","R. Reitz",NA,NA,NA,"R. Reitz","1959","05","29","Brazil","Santa Catarina","Rio do Sul","Serra do Matador, Rio do Sul.","-49.6431","-27.2144",NA,NA,"550","550","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301129' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533362","NY00533362_01","8825","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
