"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:36:45-03","E","E","318766","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","sprengeliana","Tillandsia sprengeliana","Laessoe, T. & Silva, T.","1992","03","20","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:322106","<a href=http://data.rbge.org.uk/herb/E00318766 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00318766",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3877432","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","purpurea","Tillandsia purpurea","E. Asplund","1955","10","13","South America","Ecuador","Loja","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188122' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877432","Magnoliophyta","Poales","Ruiz & Pav.","18126","Chincha (above San Pedro)","2400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4199701","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","purpurea","Tillandsia purpurea","J. N. Rose",NA,NA,NA,"South America","Peru",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4541617' target='other'> <mi>dwc_moreinfo</mi></a>","NY04199701","Magnoliophyta","Poales","Ruiz & Pav.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3877436","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","purpurea","Tillandsia purpurea","A. S. Hitchcock","1923","09","03","South America","Ecuador","Loja","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188126' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877436","Magnoliophyta","Poales","Ruiz & Pav.","s.n.","Between El Tambo and La Toma","1000","2200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4199700","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","purpurea","Tillandsia purpurea","J. N. Rose",NA,NA,NA,"South America","Peru",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4541616' target='other'> <mi>dwc_moreinfo</mi></a>","NY04199700","Magnoliophyta","Poales","Ruiz & Pav.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","687038","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","sprengeliana","Tillandsia sprengeliana","R. M. Harley","1992","03","20","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=852404' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687038","Magnoliophyta","Poales","Klotzsch ex Mez","52585","Encosta da Serra do Rei.","1600","1800","M. das G. L. Wanderley","Abaíra","-41.9","-13.28","NY00687038_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","400346","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","sprengeliana","Tillandsia sprengeliana","T. Læssøe","1992","03","20","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=46487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400346","Magnoliophyta","Poales","Klotzsch ex Mez","H52585","Encosta da Serra do Rei","1600","1800","M. das G. L. Wanderley","Abaíra","-41.9","-13.28","NY00400346_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","822258","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","sprengeliana","Tillandsia sprengeliana","J. G. Jardim","1996","03","23","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911520' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822258","Magnoliophyta","Poales","Klotzsch ex Mez","772","Pico das Almas, ca. 25 km a W da cidade.",NA,NA,"R. C. Tardivo","Rio de Contas","-41.95","-13.52","NY00822258_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1280765","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","sprengeliana","Tillandsia sprengeliana","R. M. Harley","1980","03","22","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1620327' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280765","Magnoliophyta","Poales","Klotzsch ex Mez","20719","Serra do Sincorá. 20 km W of Barra da Estiva on the Capao da Volta road. F6","1300","1300",NA,NA,"-41.45","-13.58","NY01280765_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","687039","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","sprengeliana","Tillandsia sprengeliana","W. Ganev","1994","06","08","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=852405' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687039","Magnoliophyta","Poales","Klotzsch ex Mez","3320","Covuão, subida para os frios.","1600","1600","M. das G. L. Wanderley","Abaíra","-41.87","-13.33","NY00687039_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
