"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","dayIdentified","typeStatus","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","408808","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","bollandii","Inga bollandii","Sprague & Sandwith","F. C. Hoehne","F. C. Hoehne","29358","1932","03","21","South America","Brazil","São Paulo","Praia Grande","Praia Grande","-46.502069","-24.003914","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624978' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408808","NY00408808_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","469307","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","bollandii","Inga bollandii","Sprague & Sandwith","T. D. Pennington","J. G. Jardim","315","1993","10","08","South America","Brazil","Sergipe","Estância","Rod. BR 101, no trecho Estancia/Aracaju, entrada no km 10 a direita. 28km da BR-101. Praia do Abais","-37.4381","-11.2683","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624977' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469307","NY00469307_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","408807","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","bollandii","Inga bollandii","Sprague & Sandwith","T. D. Pennington","L. A. Mattos Silva","3039","1994","06","15","South America","Brazil","Sergipe","Estância","Rodovia que liga Abais a BR 101, cerca de 1km ao Oeste de Abais","-37.2922","-11.3214","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408807","NY00408807_01","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1015266","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","bollandii","Inga bollandii","Sprague & Sandwith","T. D. Pennington","A. M. Amorim","3454","2000","06","15","South America","Brazil","Sergipe","Santa Luzia do Itanhi","Entre Santa Luzia e Crasto. Mata do Dr. Jorge, coletas a 3-4 km de Crasto.","-37.4161","-11.3828","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1019268' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015266","NY01015266_01",NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00924556","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","bollandii","Inga bollandii","Sprague & Sandwith","F. Bonadeu da Silva","A. M. Amorim","1544","1993","11","28","South America","Brazil","Sergipe","Estância","Praia do Abais, coletas efetuadas nas dunas","-37.4381","-11.2683","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219221' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924556","NY00924556_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","408809","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","bollandii","Inga bollandii","Sprague & Sandwith",NA,"A. C. Dias","33","1985","01","04","South America","Brazil","São Paulo","Sete Barras","P. E. Carlos Botelho, Sete Barras","-47.989753","-24.144027","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624979' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408809","NY00408809_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:39:51-03","EAO","IAN","82915","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Inga","bollandii","Inga bollandii","Sprague & Sandwith","Ducke, A","sc","100","1947","01","15","Southern America","Brasil","Ceará",NA,"Serra de Maranguapé.",NA,NA,NA,NA,"IAN082915",NA,NA,NA,"1956","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2013-07-03 10:56:46-03","EBDA","BAH","7814","S","Plantae",NA,NA,"Fabaceae","Inga","bollandii","Inga bollandii","Sprague & Sandwith","Edson Ruy da S. Félix","Edson Ruy da S. Félix","33","1988","03","08",NA,"Brasil","Bahia","Jandaíra","Mangue-seco, caminho p/ Coqueiros-Jandaíra BA.","-37.7844","-11.5642",NA,"Planta arbustiva com flores brancas, de boa frequência. (flores brancas em capítulos, arilo pouco carnoso.",NA,NA,NA,NA,"1988","08","49056","auto",NA,NA,NA,NA,NA,NA,NA
"9","2013-07-03 10:56:46-03","EBDA","BAH","2161","S","Plantae",NA,NA,"Fabaceae","Inga","bollandii","Inga bollandii","Sprague & Sandwith","Marcelo Ataíde","Clotildes Costa",NA,"1953","10","29",NA,"Brasil","Bahia","Salvador","Ondina - Salvador - BA.","-38.5108","-12.9711",NA,NA,NA,NA,NA,NA,"1979","09","26018","auto",NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:16:15-03","UFBA","ALCB","126483","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Inga","bollandii","Inga bollandii","Sprague & Sandwith.","Guedes, ML","Guedes, ML; Silveira, ER; Guaré, F","25240","2016","11","09","Southern America","Brasil","Ceará","Baturité",NA,"-39.466667","-4.533333",NA,"deca 3 m de altura. Inflorescência com flores em botões. Frutos imaturos verdes de vez amarelos.","ALCB040264","ALCB040264",NA,NA,"2017","02",NA,NA,"-39.466667","-4.533333",NA,NA,NA,NA,NA
"11","2019-10-09 11:16:15-03","UFBA","ALCB","126499","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Inga","bollandii","Inga bollandii","Sprague & Sandwith.","Guedes, ML","Guedes, ML; Silveira, ER; Guaré, F","25256","2016","11","09","Southern America","Brasil","Ceará","Baturité",NA,"-39.466667","-4.533333",NA,"ramos jovens pubescentes. Folhas com folíolos cartáceos. Inflorescência com flores em botões.","ALCB040280","ALCB040280",NA,NA,"2017","02",NA,NA,"-39.466667","-4.533333",NA,NA,NA,NA,NA
"12","2019-10-09 11:16:15-03","UFBA","ALCB","113159","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Inga","bollandii","Inga bollandii","Sprague & Sandwith.","Guedes, ML","Guedes, ML; Gomes, FS; Kelmo, F; Alunos de Ecologia","21268","2014","01","31","Southern America","Brasil","Bahia","Jandaíra","Litoral Norte, Mangue Seco.","-37.783333","-11.55",NA,"de ca 8 m de altura. Folhas com raque alado, folíolos cartáceos discolores. Inflorescência com flores de corolae estames alvos. Frutos imaturos verdes.","ALCB023082","ALCB023082 ALCB023082_1",NA,NA,"2015","07",NA,NA,"-37.783333","-11.55",NA,NA,NA,NA,NA
