"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","423645","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","L. B. Smith","R. Reitz","7176","1958","09","18","South America","Brazil","Santa Catarina","Sao Joaquim","Serra do Oratório, Bom Jardim, S. Joaquim","-49.9317","-28.2942","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=314907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00423645","NY00423645_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","423646","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn",NA,"L. B. Smith","14232","1965","01","03","South America","Brazil","Santa Catarina","Sao Joaquim","Summit of Morro da Igreja","-49.47","-28.12","1680","1680","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=314908' target='other'> <mi>dwc_moreinfo</mi></a>","NY00423646","NY00423646_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:25:39-03","PUCPR","HUCP","16357","S","Plantae","Eudicotiledonea",NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn.","Cervi, AC","Hatschbach, GG","71661","2000","10","08",NA,"Brasil","Santa Catarina","Urubici","Alto do Morro da Igreja","-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,NA,NA,"30102","auto",NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:34:28-03","IAP","PACA-AGP","85960","PreservedSpecimen","Plantae","Magnoliophyta","Scrophulariales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","G. Hatschbach","Hatschbach, G.","72607","2001","11","12",NA,"Brasil","SC","Urubici","Cachoeira Véu de Noiva","-49.5917015075684","-28.0149993896484",NA,NA,NA,"A.C. Cervi & E. Barbosa Habitat: Em campo turfoso com solo turfoso e úmido","PACA085960",NA,"30102","auto","Magnoliopsida","2001",NA,NA,NA,NA,NA
"5","2020-12-04 13:19:34-03","UDESC","LUSC","8044","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Aguiar, N. S. & Antoniutti, M. J.","Antoniutti, M. J. et al.","22","2013","12","17",NA,"Brasil","Santa Catarina","Bom Jardim da Serra","Serra do Oratório.","-49.624698638916","-28.3369007110596",NA,NA,NA,NA,"LUSC001558","LUSC001558","32577","auto",NA,"2015","03","06",NA,NA,NA
"6","2020-10-14 10:04:50-03","FURB","FURB","12772","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hassemer, G","Verdi, M.; Hasckel, R.P. & Klemz, G.","2296","2009","06","13",NA,"Brasil","Santa Catarina","Timbé do Sul","Canyon Realengo.","-49.8605556","-28.7038889","1222","1222",NA,"Florística IFFSC 36(Erva Terrícola) Habitat: Campos naturais e turfosos; Habito: herbácea;","FURB38743","FURB38743",NA,NA,NA,"2015","02","13","-49.8605556","-28.7038889",NA
"7","2020-10-14 10:04:50-03","FURB","FURB","32668","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hassemer, G","Verdi, M.","5690","2010","09","18",NA,"Brasil","Santa Catarina","Bom Jardim da Serra","Morro da Igreja / Parque Nacional de São Joauqim.","-49.4797223","-28.1255556",NA,NA,NA,NA,"FURB38740","FURB38740",NA,NA,NA,"2015","02","13","-49.4797223","-28.1255556",NA
"8","2019-11-08 08:54:58-03","FURB","FURB","58941","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hassemer, G.","Hassemer, G.; Funez, L.A.","887","2016","02","12",NA,"Brasil","Santa Catarina","Urubici","Alto do Morro da Igreja.","-49.4797223","-28.1272223","1789","1789",NA,NA,"FURB58941","FURB58941",NA,NA,NA,"2016",NA,NA,"-49.4797223","-28.1272223",NA
"9","2020-10-14 10:04:50-03","FURB","FURB","41695","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Falkenberg, DB","Falkenberg, D.B.","8383","1996","10","09",NA,"Brasil","Santa Catarina","Urubici","topo do Morro Igreja, dentro da área cercada pelo CINDACTA.","-49.5917015075684","-28.0149993896484",NA,NA,NA,"erva geralmente com grosso (10-15mm) e curto (15-20mm) rizoma Habitat: campo e afloramento basáltico Habito: erva; flor anteras amarelas","FURB04583","FURB04583","30102","auto",NA,"1999",NA,NA,NA,NA,NA
"10","2021-03-16 17:52:56-03","UCS","HUCS","19459","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hatschbach, G.","Hatschbach, G.","72607","2001","11","12",NA,"Brasil","Santa Catarina","Urubici","Cachoeira Véu de Noiva","-49.5917015075684","-28.0149993896484",NA,NA,NA,"solo turfoso e úmido; campo de altitude",NA,NA,"30102","auto",NA,"2001",NA,NA,NA,NA,NA
