"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","910451","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Neomarica","glauca","Neomarica glauca","(Seub.) Sprague","N. S. Chukr","H. S. Irwin","20927","1968","02","26","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 30km N. of Sêrro on road (MG 2) to Diamantina.","-43.65","-18.53","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910451","NY00910451_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","679974","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Neomarica","glauca","Neomarica glauca","(Seub.) Sprague","L. Capellari Jr.","H. S. Irwin","29280","1971","01","27","South America","Brazil","Minas Gerais","Lower slopes of Serra da Caraça, ca. 12km W. of Barão de Cocais","-43.4869","-19.9458","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=854752' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679974","NY00679974_01","Barão de Cocais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","910452","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Neomarica","glauca","Neomarica glauca","(Seub.) Sprague","N. S. Chukr","H. S. Irwin","19754","1968","02","10","South America","Brazil","Minas Gerais","Serra do Itabirito, ca. 50 km S.E. of Belo Horizonte.","-43.73","-20.28","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910452","NY00910452_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","910450","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Neomarica","glauca","Neomarica glauca","(Seub.) Sprague","N. S. Chukr","H. S. Irwin","28688","1971","01","18","South America","Brazil","Minas Gerais","Serra do Espinhaço, slopes of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","-43.67613","-19.82237","1800","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984630' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910450","NY00910450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:19:58-03","UFRJ","RFA","5347","PreservedSpecimen","Plantae",NA,NA,"Iridaceae","Neomarica","glauca","Neomarica glauca","(Seub. ex Klatt) Sprague","A. Gil","P. Occhioni","841","1947","03","07",NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia, Km 11","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Fruto trigono","RFA31421",NA,"Itatiaia","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:30:50-03","UFRJ","RFA","5345","PreservedSpecimen","Plantae",NA,NA,"Iridaceae","Neomarica","glauca","Neomarica glauca","(Seub. ex Klatt) Sprague","A.Gil","P. Occhioni","1212","1949","04","07",NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia, Km 11","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"RFA31422",NA,"Itatiaia","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:19:58-03","UFRJ","RFA","5783","PreservedSpecimen","Plantae",NA,NA,"Iridaceae","Neomarica","glauca","Neomarica glauca","(Seub. ex Klatt) Sprague","A. Gil","P. Occhioni","797","1946","12","31",NA,"Brasil","Rio de Janeiro","Serra dos Órgãos. Morro Assú","-43.1786003112793","-22.5049991607666",NA,NA,NA,"Flor amarela, planta rhizomatosa","RFA31424",NA,"Petrópolis","36524","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:19:58-03","UFRJ","RFA","5787","PreservedSpecimen","Plantae",NA,NA,"Iridaceae","Neomarica","glauca","Neomarica glauca","(Seub. ex Klatt) Sprague","A. Gil","P. Occhioni","809","1947","03","05",NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia. Flor em 7/2/1952 no Parque da Cidade (Rio de Janeiro)","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Fruto trigono","RFA31423",NA,"Itatiaia","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:52:32-03","EAO","IAN","130517","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Iridaceae","Neomarica","glauca","Neomarica glauca","(Seub.) Sprague","Gil, A","Irwin, HS; Maxwell, HS","19754","1968","02","10","Southern America","Brasil","Minas Gerais","Serra do Iatabirito.",NA,NA,NA,NA,NA,"Leavesto ca. 2 m tall. Perianth essentially lavender, the inner whorl baded Yellow and purple. Gallery shade. Steep slopes, campo and adjacent gallery forest.","IAN130517",NA,NA,NA,NA,"2015","02","02",NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:44:58-03","EAO","IAN","31814","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Iridaceae","Neomarica","glauca","Neomarica glauca","(Seub.) Sprague",NA,"Sellow, F","1210",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN031814","IAN031814_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 08:45:49-03","NBC","NL-BOTANY","U.1342877","PreservedSpecimen","Plantae",NA,"Asparagales","Iridaceae","Neomarica","glauca","Neomarica glauca","(Seub. ex Klatt) Sprague","Lovo J","Irwin HS; Maxwell H; Wasshausen DC",NA,"1968","02","26","Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1342877 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1342877","NL-U1342877",NA,NA,NA,"2015","02","01","Magnoliopsidae","U 0082631",NA,NA,NA,NA
"12","2020-02-08 08:45:49-03","NBC","NL-BOTANY","U.1342878","PreservedSpecimen","Plantae",NA,"Asparagales","Iridaceae","Neomarica","glauca","Neomarica glauca","(Seub. ex Klatt) Sprague","Lovo J","Anderson WR; Stieber M; Kirkbride Jr JH; JH",NA,"1972","02","14","Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1342878 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1342878","NL-U1342878",NA,NA,NA,"2015","02","01","Magnoliopsidae","U 0082632",NA,NA,NA,NA
"13","2020-11-04 11:11:24-03","ESALQ","ESA","91975","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Iridaceae","Neomarica","glauca","Neomarica glauca","(Seub ex klatt)Sprague","Gil, A.","Boudet-Fernandes, H.Q.",NA,"1986","01","21",NA,"Brasil","Espírito Santo",NA,"-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"ESA091975","ESA091975","Santa Tereza","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
