"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","preparationType","coordinatePrecision","geoFlag","dayIdentified","relatedCatalogItem","continentOcean"
"1","2019-08-20 10:21:33-03","UNICAMP","UEC","148812","S","Plantae","Magnoliopsida","Myrtaceae","Myrcia","neocambessedeana","Myrcia neocambessedeana","E.Lucas & Sobral","Meireles, LD","2017","09","Aranha, BA","330","2006","08","12","Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela J, 380-msm","-45.084167","-23.366389","-45.084167","-23.366389","UEC111083","UEC111083",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:36:44-03","UNICAMP","UEC","178164","S","Plantae","Magnoliopsida","Myrtaceae","Myrcia","neocambessedeana","Myrcia neocambessedeana","E.Lucas & Sobral","Sobral, M","2017",NA,"Gomes, JAMA; Virillo, CB","652","2008","12","19","Brazil","São Paulo","Ubatuba","Fazenda Caprocornio, Parcela J (Parque Estadual da Serra do Mar, Núcleo Picinguaba), subparcela 78","-45.084167","-23.366111","-45.084167","-23.366111","UEC154323","UEC154323","377","377","2m altura flores brancas; floresta ombrófila densa submontana",NA,NA,NA,NA,NA,NA
"3","2015-11-02 19:57:20-02","MNHN","RECOLNAT_MNHN_P","P02273013","PreservedSpecimen",NA,NA,"Myrtaceae","Myrcia","neocambessedeana","Myrcia neocambessedeana","E.Lucas & Sobral","Amorim",NA,NA,"Beyrich, H.K.",NA,NA,"12",NA,"Brésil",NA,NA,"in nemorosis pr. Ste Anne, prov. Rio de Janeiro",NA,NA,NA,NA,"P02273013","P02273013_01",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02273013' target='other'> <mi>dwc_moreinfo</mi></a>","hb",NA,NA,NA,NA,NA
"4","2021-03-04 11:05:54-03","UFRB","HURB","14406","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrcia","neocambessedeana","Myrcia neocambessedeana","E.Lucas & Sobral",NA,NA,NA,"Victor Jr., V.","2019","2013","01","16","Brasil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.3736000061035","-14.1641998291016",NA,NA,"HURB000014406",NA,NA,NA,NA,NA,"33549","auto",NA,NA,NA
"5","2021-03-04 11:05:54-03","UFRB","HURB","14407","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrcia","neocambessedeana","Myrcia neocambessedeana","E.Lucas & Sobral",NA,NA,NA,"Victor Jr., V.","1271","2013","01","15","Brasil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.3736000061035","-14.1641998291016",NA,NA,"HURB000014407",NA,NA,NA,NA,NA,"33549","auto",NA,NA,NA
"6","2020-11-23 11:39:24-03","IAC","IAC","50457","S","Plantae",NA,"Myrtaceae-2.Myrtoideae","Myrcia","neocambessedeana","Myrcia neocambessedeana","E.Lucas & Sobral","M.E.G. Sobral","2017","06","J.A.M.A. Gomes & C.B. Virillo","652","2008","12","19","Brasil","São Paulo","Ubatuba","Fazenda Capricórnio, parcela J (Parque Estadual da Serra do Mar, Núcleo Picinguaba)","-45.084167","-23.366111","-45.084167","-23.366111",NA,NA,NA,NA,"Subparcela 78, coordenadas originais: 23°21#?#58S, 45°05#?#03W",NA,NA,NA,"30",NA,NA
"7","2020-07-23 12:15:57-03","CEPLAC","CEPEC","120044","PreservedSpecimen","Plantae",NA,"Myrtaceae","Gomidesia","cambessedeana","Gomidesia cambessedeana",NA,"D. S. Farias",NA,NA,"D. S. Farias","225","1994","05","10","Brasil","Rio de Janeiro","silva jardim","Reserva Biológica de Poço das Antas. Trilha Rodolfo Norte.","-42.3917007446289","-22.6508007049561",NA,NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Pitanga-do-mato",NA,"29995","auto",NA,"30/12/1994",NA
"8","2017-09-11 17:11:14-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Myrtaceae","Gomidesia","cambessedeana","Gomidesia cambessedeana","O.Berg",NA,NA,NA,"Beyrich, HC","s.n.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"in nemorosis prope S. Anna",NA,NA,NA,NA,NA,"P14P1N0001",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America"
"9","2021-02-08 12:44:00-03","UFRGS","ICN","060913","S","Plantae","Dicotyledon","Myrtaceae","Gomidesia","cambessedeana","Gomidesia cambessedeana","O. Berg.","Sobral, M","1988","07","Almeida, J; Santos, TS","229","1968","11","13","Brasil","ES","Conceição da Barra","35 Km ao Norte","-39.7322006225586","-18.5932998657227",NA,NA,NA,NA,NA,NA,"Árvore de 10 m de altura; 9 cm de diâmetro; flores com cálices verdes, pétalas brancas, sépalas amarelas e estames brancos; folhas pilosas.",NA,"41644","auto",NA,NA,"América do Sul"
