"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","coordinatePrecision","geoFlag","typeStatus","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01345683","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","glycyrrhizoides","Mimosa glycyrrhizoides","Barneby","R. C. Barneby","A. E. Burkart","18873","1951","10","21","South America","Paraguay","Caacupé, Barrerito, río Yaguary, forma espinillares","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1616797' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","419458","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","glycyrrhizoides","Mimosa glycyrrhizoides","Barneby","R. C. Barneby","G. G. Hatschbach","52315","1988","09","16","South America","Brazil","Rod. BR-280, prox. ao trevo para Clevelandia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=328705' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419458","Paraná","Clevelândia","-52.4706","-26.3958","920","920","NY00419458_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","419459","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","glycyrrhizoides","Mimosa glycyrrhizoides","Barneby","R. C. Barneby","G. G. Hatschbach","28228","1971","12","04","South America","Brazil","Rio Chopim","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=328704' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419459","Paraná","Palmas","-51.9906","-26.4844",NA,NA,"NY00419459_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:16:35-03","UFBA","ALCB","114908","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","glycyrrhizoides","Mimosa glycyrrhizoides","Barneby","Morales, M","Silva, JM; Poliquesi, CB; Cordeiro, J","6999","2008","09","26","Southern America","Brasil","Rio das Pedras.",NA,"1,8 m de altura, flor rosada.; Orla do Capão.","ALCB023746","Paraná","Garapuava",NA,NA,NA,NA,"ALCB023746","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 10:55:48-03","ESALQ","ESA","135507","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","glycyrrhizoides","Mimosa glycyrrhizoides","Barneby","M. Morales","J.M. Silva","6999.0","2008","09","26",NA,"Brasil",NA,NA,NA,"ESA135507","Paraná","Guarapuava","-51.4580993652344","-25.395299911499",NA,NA,NA,"2010","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:36:54-03","UFJF","CESJ","59452","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Mimosa","glycyrrhizoides","Mimosa glycyrrhizoides","Barneby","V.C. Martins; J. Cordeiro","J.M. Silva; E. Barbosa; J. Cordeiro","7343","2009","09","16","América do Sul","Brasil","Reserva Indígena de Mangueirinha",NA,"Arbusto, 2 m, flor rosada. Solo rochoso.","CESJ059452","Paraná","Mangueirinha","-52.1755981445312","-25.9410991668701",NA,NA,NA,"2010","42783","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-10-14 10:01:40-03","FURB","FURB","44563","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","glycyrrhizoides","Mimosa glycyrrhizoides","Barneby","Morales, M","Silva, J.M.; Poliquesi, C.B. & Cordeiro, J.","6999","2008","09","26",NA,"Brasil","Rio das Pedras.",NA,NA,"FURB25287","Paraná","Guarapuava","-51.4580993652344","-25.395299911499",NA,NA,"FURB25287","2010","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-16 08:39:27-03","UTFPR","HCF","19756","S","Plantae",NA,NA,"Fabaceae","Mimosa","glycyrrhizoides","Mimosa glycyrrhizoides","Barneby","M. Morales","J.M. Silva","6999","2008","09","26",NA,"Brasil","Rio das Pedras",NA,"arbusto, 1,80 m, flor rosada. Orla do capão.",NA,"PR","Guarapuava","-51.4580993652344","-25.395299911499",NA,NA,NA,"2010","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-21 19:35:37-03","UFC","EAC","14720","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","glycyrrhizoides","Mimosa glycyrrhizoides","Barneby","Barneby, R.","Hatschbach, G.","22526","1969","10","20","Southern America","Brasil","Rio das Mortes.",NA,"Arbusto 1,50m.; Campo pedregoso","EAC0014720","Paraná","Guarapuava","-51.4580993652344","-25.395299911499",NA,NA,"EAC0014720","1986","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-21 19:35:37-03","UFC","EAC","13378","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","glycyrrhizoides","Mimosa glycyrrhizoides","Barneby","Barneby, R.","Hatschbach, G.; Smith, L.B.; Klein, R.","28228","1971","12","04","Southern America","Brasil","Rio Chopim.",NA,"Arbusto 1m; Campo pedregoso","EAC0013378","Paraná","Palmas","-51.9906005859375","-26.4841995239258",NA,NA,"EAC0013378","1985","46666","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:27:19-03","MBM","MBM","1765","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","glycyrrhizoides","Mimosa glycyrrhizoides","Barneby","Barneby, R.","Hatschbach, G.","15480",NA,NA,NA,"Southern America","Brazil","Estrada Palmas - Mangueirinha",NA,"Arbusto 1,30m, borda de campo; Arbusto 1,30m.; Borda do campo.","MBM001765","Paraná","Palmas","-51.9906005859375","-26.4841995239258",NA,NA,"MBM001765","1985","46666","auto","HOLOTYPE",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:27:19-03","MBM","MBM","407898","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","glycyrrhizoides","Mimosa glycyrrhizoides","Barneby","Morales, M.","Wasum, R.","3855","2006","07","16","Southern America","Brazil","Pedra do Segredo",NA,"Em beira de estrada.","MBM407898","Rio Grande do Sul","Caçapava do Sul","-53.4914016723633","-30.5121994018555","250","250","MBM407898","2010","50525","auto",NA,"04","14",NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:27:19-03","MBM","MBM","232466","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","glycyrrhizoides","Mimosa glycyrrhizoides","Barneby",NA,"Sobral, M.; et al.; et al.","8689",NA,NA,NA,"Southern America","Brazil","Boron",NA,NA,"MBM232466","Rio Grande do Sul","Espumoso","-52.8497009277344","-28.7247009277344",NA,NA,"MBM232466",NA,"39479","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:27:19-03","MBM","MBM","398998","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","glycyrrhizoides","Mimosa glycyrrhizoides","Barneby","Ribas, O.S.","Savarais, M.","406","2012","11","10","Southern America","Brazil","próximo a ponte rio Iguaçu",NA,NA,"MBM398998","Paraná","Candói","-52.228019","-25.737589","518","518","MBM398998","2015",NA,NA,NA,NA,NA,"-52.228019","-25.737589",NA,NA,NA,NA
"15","2020-12-21 16:27:19-03","MBM","MBM","124683","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","glycyrrhizoides","Mimosa glycyrrhizoides","Barneby","Barneby, R.","Hatschbach, G.; Silva, J.M.; Silva, J.M.","52315",NA,NA,NA,"Southern America","Brazil","Rod. BR-280, próximo ao trevo para Clevelândia",NA,NA,"MBM124683","Paraná","Clevelândia","-52.4707984924316","-26.3957996368408",NA,NA,NA,NA,"30860","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
