"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","439879","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Blepharodon","bicuspidatum","Blepharodon bicuspidatum","E.Fourn.","J. A. Ratter","R4850","1983","11","13","South America","Brazil","São Paulo","Floresta de Angatuba. Instituto Florestal de Sao Paulo","-48.42","-23.45","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708968' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439879","NY00439879_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","439878","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Blepharodon","bicuspidatum","Blepharodon bicuspidatum","E.Fourn.","G. G. Hatschbach","20023","1968","10","12","South America","Brazil","Paraná","Rio das Cinzas","-49.8267","-24.1581","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708961' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439878","NY00439878_01","J. Fontella Pereira","Arapoti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","439880","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Blepharodon","bicuspidatum","Blepharodon bicuspidatum","E.Fourn.","A. M. V. de Carvalho","921","1981","12","07","South America","Brazil","Bahia","12 km ao S de Prado. Estrada para Alcobaça","-39.2206","-17.3411","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708966' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439880","NY00439880_01","R. Callejas Posada","Prado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","439877","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Blepharodon","bicuspidatum","Blepharodon bicuspidatum","E.Fourn.","I. Silberbauer-Gottsberger","2028","1971","09","03","South America","Brazil","São Paulo","18 km north of Botucatu, (14 km east of Sao Manuel). Along the Sao Manuel. Piracicaba highway. Near ex RR station <13 de maio>","-48.42","-22.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708960' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439877","NY00439877_01","J. Fontella Pereira","Botucatu","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","439882","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Blepharodon","bicuspidatum","Blepharodon bicuspidatum","E.Fourn.","G. G. Hatschbach","18066","1967","12","07","South America","Brazil","Paraná","Quebrada Funda","-49.3142","-25.1903","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708963' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439882","NY00439882_01","G. N. Morillo","Rio Branco do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","439883","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Blepharodon","bicuspidatum","Blepharodon bicuspidatum","E.Fourn.","D. C. Daly","941","1981","10","28","South America","Brazil","Pará","Approx. 18 km east of Tucurui and Rio Tocantins, by BR 263","-49.559238","-3.764177","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708965' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439883","NY00439883_01 NY00439883_02","R. Callejas Posada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","04177829","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Blepharodon","bicuspidatum","Blepharodon bicuspidatum","E.Fourn.","J. R. I. Wood","13183","1998","02","28","South America","Bolivia","Santa Cruz","c. 4 km SE of Santa Rosa de la Roca on the road to San Ignacio de Velasco",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4503256' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177829",NA,NA,"José Miguel de Velasco","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","439884","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Blepharodon","bicuspidatum","Blepharodon bicuspidatum","E.Fourn.","J. F. Ramos","174","1967","10",NA,"South America","Brazil","Mato Grosso","C. 270 km N of Xavantina. Collected near the base camp of the expedition","-51.87","-12.9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439884","NY00439884_01","G. N. Morillo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","439881","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Blepharodon","bicuspidatum","Blepharodon bicuspidatum","E.Fourn.","G. G. Hatschbach","20023","1968","10","12","South America","Brazil","Paraná","Rio das Cinzas","-49.8267","-24.1581","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708959' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439881","NY00439881_01","J. Fontella Pereira","Arapoti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02098663","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Blepharodon","bicuspidatum","Blepharodon bicuspidatum","E.Fourn.","W. W. Thomas","5720","1987","12","07","South America","Bolivia","Santa Cruz","Serrania de Huanchaca, Parque Nacional Prof. Noel Kempff Mercado","-60.72","-13.98","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475579' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098663","NY02098663_01","W. D. Stevens","José Miguel de Velasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","439885","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Blepharodon","bicuspidatum","Blepharodon bicuspidatum","E.Fourn.","G. G. Hatschbach","14254","1966","04","28","South America","Brazil","Paraná","Fda. Lagoa","-52.6047","-23.6633","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708964' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439885","NY00439885_01","R. Callejas Posada","Cianorte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-08 11:07:06-03","UNESP-IBB","BOTU","10406","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Blepharodon","bicuspidatum","Blepharodon bicuspidatum","E.Fourn.","Gottsberger, I.S.","192R-28972","1972","09","29",NA,"Brasil","São Paulo","18km north of Botucatu (14 km east of São Manuel). Along the São Manuel- Piracicaba highway. Near ex-RR station, 13 de Maio.","-48.416667","-22.75",NA,"Alt. ca 550m . Cerrado vegetation, xeromorphic tree & scrub woodland form, on gentle slope.; Coleção: Cerrado Estação 13 de Maio","BOTU010406","BOTU010406","Pereira, F.J.","Botucatu",NA,NA,"1979","48°25'w","22°45's",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-08 11:07:06-03","UNESP-IBB","BOTU","27205","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Blepharodon","bicuspidatum","Blepharodon bicuspidatum","E.Fourn.","Ishara, K.L.","100","2008","04","15",NA,"Brasil","São Paulo","Fazenda Palmeira da Serra","-48.733333","-22.8",NA,"Trepadeira, flores amareladas, com látex","BOTU027205","BOTU027205","Ishara, K.L.","Pratânia",NA,NA,NA,"48°44'w","22°48's",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-02-08 11:07:06-03","UNESP-IBB","BOTU","10404","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Blepharodon","bicuspidatum","Blepharodon bicuspidatum","E.Fourn.","Gottsberger, I.S.","776","1970","11","03",NA,"Brasil","São Paulo","18km north of Botucatu (14 km east of São Manuel). Along the São Manuel- Piracicaba highway. Near ex-RR station, 13 de Maio.","-48.416667","-22.75",NA,"Alt. ca 550m . Cerrado vegetation, xeromorphic tree & scrub woodland form, on gentle slope.; Coleção: Cerrado Estação 13 de Maio","BOTU010404","BOTU010404","Pereira, F.J.","Botucatu",NA,NA,"1979","48°25'w","22°45's",NA,NA,NA,NA,NA,NA,NA,NA,NA
