"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","01806045","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stilpnopappus","cearensis","Stilpnopappus cearensis","Huber","H. E. Robinson","J. L. da Costa Lima","377","2011","02","12","South America","Brazil","Rio Grande do Norte","Goianinha, Fazenda Nossa Senhora do Carmo","-35.2194","-6.3197","120","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2128575' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806045","NY01806045_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02694336","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stilpnopappus","cearensis","Stilpnopappus cearensis","Huber","H. E. Robinson","W. M.B. São-Mateus","26","2011","09","11","South America","Brazil","Rio Grande do Norte","Distrito de capela fazenda Diamante. Acesso cerca de 2km a esquerda da primeira rotatória da rodovia RN-064, após ceará-Mirim.","-35.429992","-5.588781","54","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2953183' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694336","NY02694336_01","Ceará-Mirim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02103519","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stilpnopappus","cearensis","Stilpnopappus cearensis","Huber","H. E. Robinson","P. da C. Gadelha Neto","3496","2013","04","11","South America","Brazil","Rio Grande do Norte","EMPARN: Mata do Jiqui.","-35.1989","-5.9281","45","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2247663' target='other'> <mi>dwc_moreinfo</mi></a>","NY02103519","NY02103519_01","Parnamirim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:11:18-03","UFBA","ALCB","125289","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stilpnopappus","cearensis","Stilpnopappus cearensis","Huber","Roque, N","Costa-Lima, JL; Roque, AA; Cestaro, LA","377","2011","02","12","Southern America","Brasil","Rio Grande do Norte","Fazenda Nossa Senhora do Carmo.","-35.219444","-6.319722","120",NA,"Cerca de 10-30 cm de altura; folhas membranáceas, discolores, face superior verde-escuro, inferior prateda. Capítulo com flroes de corola violácea.; Fragmento bem conservado. Cerradinho próximo a uma trlha do fragmento.",NA,NA,"Goianinha","2016","05","-35.219444","-6.319722","120",NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:11:18-03","UFBA","ALCB","125290","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stilpnopappus","cearensis","Stilpnopappus cearensis","Huber",NA,"Roque, AA; Costa, PL; Vitorino, AW","1594","2015","05","02","Southern America","Brasil","Rio Grande do Norte","Parque da Cidade Dom Nivaldo Monte: Trilha Pau Brasil.","-35.229444","-5.849167","68",NA,"Erva ereta ca. de 20cm de altura; folhas discolores com a face adaxial verde-escura com tricomas esbranquiçados e face abaxial verde-esbranquiçado. Flores lilases e frutos maduros brancos.",NA,NA,"Natal",NA,NA,"-35.229444","-5.849167","68",NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:11:18-03","UFBA","ALCB","125292","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stilpnopappus","cearensis","Stilpnopappus cearensis","Huber","São-Mateus, WMB","São-Mateus, WMB; Costa-Lima, JL","26","2011","09","11","Southern America","Brasil","Rio Grande do Norte","Dunas de Búzios ca. de 500m da rodovia RN-064, acesso cerca de 800m após a rotatória, Pirambúzios/ Búzios...","-35.115556","-6.003611","60",NA,"Erva cespitosa; folhas e exapo verde claro. Inflorescência amarronzada.",NA,NA,"Nísia Floresta","2011","09","-35.115556","-6.003611","60",NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:11:18-03","UFBA","ALCB","125291","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stilpnopappus","cearensis","Stilpnopappus cearensis","Huber","Roque, N","Marinho, AM","147","2010","08","27","Southern America","Brasil","Rio Grande do Norte","APA Jenipabu.","-35.209400177002","-5.79500007629395",NA,NA,"Erva ereta. Flores roxas.",NA,NA,"Natal","2016","05",NA,NA,NA,"12751","auto",NA,NA,NA,NA
"8","2020-09-23 10:00:09-03","UFPI","TEPB","27744","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stilpnopappus","cearensis","Stilpnopappus cearensis","Huber","Loiola M.I.B.","M. I. B. loiola","670","2002","04","25",NA,"Brasil","Rio Grande do Norte","Rio do Fogo","-35.3830986022949","-5.27277994155884",NA,NA,"Erva, flores lilás; alt.ca de 20 cm <ll>dwc_commonname:</ll> camará",NA,NA,"Rio do Fogo","2007","07",NA,NA,NA,"22668","auto","21",NA,NA,NA
"9","2019-02-15 11:34:33-02","IPA","IPA","61826","S","Plantae","Plantae",NA,"Asteraceae","Stilpnopappus","cearensis","Stilpnopappus cearensis","Huber",NA,"Almeida, E.B.","33","1999","08","06","Southern America","Brasil","Rio Grande do Norte","Santuário Ecológico de Pipa","-35.0918998718262","-6.18666982650757",NA,NA,"Erva, flores roxas.","IPA0061826",NA,"Tibau do Sul",NA,NA,NA,NA,NA,"13790","auto",NA,NA,NA,NA
"10","2019-02-15 11:34:33-02","IPA","IPA","11428","S","Plantae","Plantae",NA,"Asteraceae","Stilpnopappus","cearensis","Stilpnopappus cearensis","Huber","Soares Nunes","Andrade-Lima","58-2870","1958","01","28","Southern America","Brasil","Pernambuco",NA,"-35.002498626709","-7.56056022644043",NA,NA,"Tabuleiro.","IPA0011428",NA,"Goiana","1980","02",NA,NA,NA,"22853","auto","01",NA,NA,NA
