"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","phylum","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-12-20 21:16:28-03","UFV","VIC","31823","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","longistaminea","Vriesea longistaminea","Paula & Leme","Guarçoni, E.","2008","05","22","Guarçoni, E.","1326","2006","11","27","Brasil","Minas Gerais","Brumadinho","Serra da Calçada, Parque Estadual da Serra do Rola-Moça, capão de mata em Campo Rupestre Ferruginoso","-44.1996994018555","-20.1432991027832","26639","Terrestre, esciófila, florida em cultivo na Unidade de Pesquisa e Conservação de Bromeliaceae (UPCB #?# UFV) em 04.I.2008","VIC031823","VIC031823","auto",NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:16:28-03","UFV","VIC","052199","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","longistaminea","Vriesea longistaminea","Paula & Leme",NA,NA,NA,NA,"Paulo, M.L.; de Paula, C.C.","s.n.","2008","08","17","Brasil","Minas Gerais","Mariana",NA,"-43.4160995483398","-20.377799987793","33524",NA,"VIC052199","VIC052199 VIC052199_1","auto",NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:16:28-03","UFV","VIC","34795","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","longistaminea","Vriesea longistaminea","Paula & Leme",NA,NA,NA,NA,"Guarçoni, E.; Paula, C.C. de","1013","2011","02","04","Brasil","Minas Gerais","Mariana","Estrada Mariana-Catas Altas, a ca. 5 Km de Santa Rita Durães, região da Mina da Fazenda, 925 m alt.","-43.4160995483398","-20.377799987793","33524","Campo Rupestre Ferruginoso #?# capão de mata; terrestre.","VIC034795","VIC034795","auto",NA,NA,NA,NA,NA,NA
"4","2019-11-05 16:46:30-03","UFOP","OUPR","21921","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","longistaminea","Vriesea longistaminea","C.C.Paula & Leme","Machado, T.M.","2016","10",NA,"Messias, M.C.T.B.; Ataíde, E.S.","2156","2008","08","15","Brasil","Minas Gerais","Ouro Preto","Serra de Antônio Pereira, Samarco, Alegria 7","-43.5080986022949","-20.2875003814697","44599","Erva rupícola. Frutos secos cinza-paleáceos. Sementes aladas paleáceas. Em ampos sujos sobre canga ferruginosa.",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"5","2019-11-05 16:46:30-03","UFOP","OUPR","20621","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","longistaminea","Vriesea longistaminea","C.C.Paula & Leme","Machado, T.M.","2016","10",NA,"Messias, M.C.T.B.; Silva, J.L.; Tonaco, A.C. & Ataíde, E.S.","1671","2007","12","12","Brasil","Minas Gerais","Ouro Preto","Serra de Antônio Pereira, Samarco, Alegria 7","-43.5080986022949","-20.2875003814697","44599","Erva. Em botões florais sobre escapo desenvolvido com 1m de altura. Em campo rupestre",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:43:36-03","UFMG","BHCB","123564","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","longistaminea","Vriesea longistaminea","C.C.Paula & Leme",NA,NA,NA,NA,"Rezende, SG; Dourado, BR","2456","2008","03","07","Brasil","Minas Gerais","Mariana","Região da Mina de Fabrica Nova","-43.432222","-20.197222",NA,"Formação ferruginosa de canga, herbácea",NA,NA,NA,"Monocotyledon","Southern America","-43.432222","-20.197222","1011","1011"
"7","2020-12-11 11:43:36-03","UFMG","BHCB","176512","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","longistaminea","Vriesea longistaminea","C.C.Paula & Leme",NA,"2016","06","01","Paiva, JAM; Pivari, MOD; Tomich, S; Nascimento, L","190","2015","04","28","Brasil","Minas Gerais","Mariana","Mina Fazendão","-43.436667","-20.153611",NA,"Erva; frutos imaturos verdes.; Campo Rupestre Ferruginoso",NA,NA,NA,"Monocotyledon","Southern America","-43.436667","-20.153611","940","940"
"8","2020-12-11 11:43:36-03","UFMG","BHCB","176545","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","longistaminea","Vriesea longistaminea","C.C.Paula & Leme",NA,"2016","06","01","Paiva, JAM; Pivari, MOD; Tomich, S; Nascimento, L","461","2015","05","14","Brasil","Minas Gerais","Mariana","RPPN Horto Alegria","-43.436667","-20.153611",NA,"Prensado em álcool; Erva; frutos maduros castanhos; Campo Rupestre Quartzitico",NA,NA,NA,"Monocotyledon","Southern America","-43.436667","-20.153611",NA,NA
"9","2020-12-11 11:43:36-03","UFMG","BHCB","176582","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","longistaminea","Vriesea longistaminea","C.C.Paula & Leme",NA,"2016","06","01","Pivari, MOD; Paiva, JAM; Tomich, S; Nascimento, L","2419","2015","06","24","Brasil","Minas Gerais","Mariana","RPPN Horto Alegria","-43.436667","-20.153611",NA,"Erva; heliófita; folhas verdes com máculas roxas; brácteas castanhas; frutos imaturos verdes.; Campo Rupestre Quartzítico",NA,NA,NA,"Monocotyledon","Southern America","-43.436667","-20.153611",NA,NA
"10","2020-12-11 11:43:36-03","UFMG","BHCB","186686","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","longistaminea","Vriesea longistaminea","C.C.Paula & Leme",NA,"2016","08","24","Vidal, CV","s.n.","2016","07","19","Brasil","Minas Gerais","Mariana",NA,"-43.423889","-20.16",NA,"Campo Rupestre sobre Formação Ferrífera","BHCB186686",NA,NA,"Monocotyledon","Southern America","-43.423889","-20.16","879","879"
