"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","803349","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","M. R. Ritter","R. Goldenberg","488","1999","03","12","South America","Brazil","Paraná","Campo Largo","Serra de São Luiz do Purunã, próximo ao Cristo Redentor.","-49.5281","-25.4586","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803291' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803349","NY00803349_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","803350","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","M. R. Ritter","A. C. Cervi","s.n.","1988","03","21","South America","Brazil","Paraná","Balsa Nova","BR-376, São Luiz do Purunã.","-49.6356","-25.5842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803350","NY00803350_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","811602","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","L. B. Smith","R. Reitz","17440","1965","12","12","South America","Brazil","Paraná",NA,"Serra de São Luiz, Balsa Nova.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811602","NY00811602_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1039106","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","R. A. X. Borges","M. M. Saavedra","274","2006","05","16","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Trilha subida Monjolinho - Gruta dos Viajantes.","-43.8792","-21.7042","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1481885' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039106","NY01039106_01","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","894915","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","W. C. Holmes","L. Riedel","s.n.","1824","09",NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967802' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894915","NY00894915_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","797346","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","decumbens","Mikania decumbens","Malme",NA,"S. Diesel","2444","2001","03","17","South America","Brazil","Rio Grande do Sul",NA,"Sao Francisco de Paula","-50.576516","-29.448498","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566094' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797346","NY00797346_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","811601","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","G. M. Barroso","L. B. Smith","11234","1957","02","11","South America","Brazil","Santa Catarina","Lajes","2 km east of Indios.","-50.3258","-27.8161","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811601","NY00811601_01","800","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","797347","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","W. C. Holmes","J. R. Mattos","9667","1961","10","28","South America","Brazil","São Paulo",NA,"Moji-Guaçu, Fazenda Campininha","-47.164784","-22.242395","sheet","[Collector = Joao Mattos] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566093' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797347","NY00797347_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:50:25-03","NBC","NL-BOTANY","L.3657043","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Mikania","decumbens","Mikania decumbens","Malme",NA,"Hatschbach GG",NA,"1961","04","01","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3657043 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3657043","NL-L3657043",NA,NA,"Magnoliopsidae","L 0276633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:01:56-03","ESALQ","ESA","32268","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","Oliveira, C.T.","Hatschbach, G. et al.","56389.0","1992","02","19",NA,"Brasil","Santa Catarina","Água Doce",NA,"-51.5560989379883","-26.9978008270264",NA,NA,"ESA032268","ESA032268",NA,NA,NA,NA,"52743","auto",NA,NA,NA,NA,NA,NA,NA,NA
