"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","occurrenceRemarks","continentOcean","locality","yearIdentified","typeStatus"
"1","2020-11-04 12:17:30-03","ESALQ","ESA","77324","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Epidendrum","infaustum","Epidendrum infaustum","Rchb.f.","Forster, W.","Folli, D.A.","2629.0","1995","06","29","Brasil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","ESA077324","ESA077324","auto",NA,NA,NA,NA,NA
"2","2021-03-31 13:40:49-03","MN","R","35781","PreservedSpecimen","Plantae",NA,"Orchidaceae","Epidendrum","cauliflorum","Epidendrum cauliflorum","Lindl.",NA,"Hans, D.",NA,"1939","05",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:40:58-03","MN","R","24966","PreservedSpecimen","Plantae",NA,"Orchidaceae","Epidendrum","iguapense","Epidendrum iguapense","Schltr.","Brade, A.C.","Brade, A.C.","7796","1919","05",NA,"Brasil","São Paulo","Iguape","-47.5499992370605","-24.7000007629395","55628",NA,NA,"auto","Herbarium Brasiliense",NA,NA,NA,NA
"4","2017-09-11 17:11:40-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Epidendrum","cauliflorum","Epidendrum cauliflorum","Lindl.",NA,"Warming, JEB","s.n.",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Floret Octobri","Southern America","in prov. Minas Geraes ad Lagoa Santa in solo sylvestri crescit",NA,NA
"5","2017-09-11 17:11:40-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Epidendrum","cauliflorum","Epidendrum cauliflorum","Lindl.",NA,"Loddiges, CL","s.n.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America","Habitat in prov. Rio de Janeiro",NA,NA
"6","2017-09-11 17:11:40-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Epidendrum","cauliflorum","Epidendrum cauliflorum","Lindl.",NA,"Loddiges, CL","s.n.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America","Habitat in prov. Rio de Janeiro",NA,NA
"7","2017-09-11 17:11:40-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Epidendrum","cauliflorum","Epidendrum cauliflorum","Lindl.",NA,"Warming, JEB","s.n.",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Floret Octobri","Southern America","in prov. Minas Geraes ad Lagoa Santa in solo sylvestri crescit",NA,NA
"8","2017-09-11 17:11:45-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Epidendrum","infaustum","Epidendrum infaustum","Rchb.f.",NA,"Incógnit","s.n.",NA,NA,NA,"Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,"ex Reichb. f. loc. cit.","Southern America","Habitat in prov. Bahia",NA,NA
"9","2017-09-11 17:11:45-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Epidendrum","infaustum","Epidendrum infaustum","Rchb.f.",NA,"Incógnit","s.n.",NA,NA,NA,"Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,"ex Reichb. f. loc. cit.","Southern America","Habitat in prov. Bahia",NA,NA
"10","2019-11-21 10:13:10-03","IBt","SP","69912","S","Plantae",NA,"Orchidaceae","Epidendrum","iguapense","Epidendrum iguapense","Schltr.","Schlechtler, R","Brade, AC","7796","1919","05",NA,"Brasil","São Paulo","Iguape","-47.5499992370605","-24.7000007629395","55628","SP002058","SP002058","auto","Waelder am Tucum. Fl. weisslich-hellgelb",NA,"Morro das Pedras","1922","Isotype"
