"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","class","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:33:34-03","UNESC","CRI","12753","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","caprifoliatum","Hypericum caprifoliatum","Cham. & Schltdl.","Renato Colares","2017","10","13","Amanda Martiola","2017","10","04","Brasil","Santa Catarina","Içara","Bairro Vila Nova","-49.308889","-28.713611","49º18'32''W","28º42'49''S","52","52","Flor laranja. Planta ruderal. Habito: Herbácea","CRI011017","CRI011017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:21-03","UNESC","CRI","14115","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","caprifoliatum","Hypericum caprifoliatum","Cham. & Schltdl.","Amanda Matiola","2018","10","18","Amanda Matioa","2018","10","18","Brasil","Santa Catarina","Içara","Vila Nova","-49.271111","-28.758611","49º16'16''W","28º45'31''S",NA,NA,"Flor amarela. Habito: Arbustivo","CRI012765",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","476845","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","caprifoliatum","Hypericum caprifoliatum","Cham. & Schltdl.","S. F. Smith",NA,NA,NA,"F. Soares","1991","12","06","Brazil","Rio Grande do Sul","Caxias do Sul","Desvio Rizzo","-51.1792","-29.1683",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531201' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476845","NY00476845_01","Magnoliophyta","Malpighiales","8374","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","476849","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","caprifoliatum","Hypericum caprifoliatum","Cham. & Schltdl.",NA,NA,NA,NA,"B. Rambo","1949","04","06","Brazil","Rio Grande do Sul","Dois Irmaos","Reutersberg; pr. Dois Irmaos","-51.0853","-29.5806",NA,NA,"600","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531211' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476849","NY00476849_01","Magnoliophyta","Malpighiales","41879","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","476846","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","caprifoliatum","Hypericum caprifoliatum","Cham. & Schltdl.","B. Rambo",NA,NA,NA,"E. Henz","1946","10","23","Brazil","Rio Grande do Sul","Sao Leopoldo","Sao Leopoldo","-51.143791","-29.75136",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476846","NY00476846_01","Magnoliophyta","Malpighiales","35377","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","476851","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","caprifoliatum","Hypericum caprifoliatum","Cham. & Schltdl.","J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","1966","12","29","Brazil","Rio Grande do Sul","Canoas","Near Canoas, 15 km north of Porto Alegre","-51.1833","-29.9181",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531205' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476851","NY00476851_01","Magnoliophyta","Malpighiales","3898","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 14:39:00-03","NY","NYBG","476840","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","caprifoliatum","Hypericum caprifoliatum",NA,"F. O. Zuloaga",NA,NA,NA,"F. O. Zuloaga","1996","04","13","Argentina","Misiones","San Pedro","Parque Provincial Moconá, pasando la casa del guardaparque hacia el río Uruguay","-53.88","-27.15",NA,NA,"230","230","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476840",NA,"Magnoliophyta","Malpighiales","5451","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","476843","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","caprifoliatum","Hypericum caprifoliatum","Cham. & Schltdl.","G. G. Hatschbach",NA,NA,NA,"A. C. Cervi","1997","11","12","Brazil","Paraná","Ponta Grossa","Rio dos Papagaios","-49.73","-25.42",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476843","NY00476843_01","Magnoliophyta","Malpighiales","6475","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","476852","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","caprifoliatum","Hypericum caprifoliatum","Cham. & Schltdl.","M. Sobral",NA,NA,NA,"M. Sobral","1983","02","20","Brazil","Rio Grande do Sul","Porto Alegre","Morro Santana","-51.12393","-30.055742",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531199' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476852","NY00476852_01","Magnoliophyta","Malpighiales","1474","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","476844","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","caprifoliatum","Hypericum caprifoliatum","Cham. & Schltdl.",NA,NA,NA,NA,"Palacios-Cuezzo","1948","01","29","Brazil","Rio Grande do Sul",NA,"Morro Sapucaia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531210' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476844","NY00476844_01","Magnoliophyta","Malpighiales","498","South America","sheet",NA,NA,NA,NA,NA,NA,NA
