"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","class","order","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","preparationType","individualCount","typeStatus"
"1","2019-10-09 11:09:57-03","UFBA","ALCB","128905","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Gaio, J","2015","10","Demeda, C; Gaio, J; Gonzatti, F; Link, O","170","2015","09","13","Southern America","Brasil","Rio Grande do Sul","Osório","Lagoa das Traíras","-50.191111","-29.863056","-50.191111","-29.863056","2","2","Margem noroeste","ALCB046442","ALCB046442",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:48:01-03","NBC","NL-BOTANY","L.3026033","PreservedSpecimen","Plantae",NA,"Compositae","Baccharis","penningtonii","Baccharis penningtonii","Heering",NA,NA,NA,"Vervoorst F",NA,"1957","03","25","Southern America","Argentina",NA,NA,"Argentina: Buen Aires: pdo. Monte: Monte cauico a Gol Belgrano, desvio Ranches.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3026033 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3026033","NL-L3026033","Magnoliopsidae","Asterales",NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:48:01-03","NBC","NL-BOTANY","U.1117068","PreservedSpecimen","Plantae",NA,"Compositae","Baccharis","penningtonii","Baccharis penningtonii","Heering",NA,NA,NA,"Schinini A",NA,"1993","01","19","Southern America","Argentina",NA,NA,"Corrientes, Dep. San Miguel, Ruta 17. Ea. Curuzú Laurel. 11 km NE de San Miguel.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1117068 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1117068","NL-U1117068","Magnoliopsidae","Asterales",NA,NA,NA,NA,NA,NA,NA
"4","2019-02-15 11:33:48-02","IPA","IPA","77017","S","Plantae","Plantae","Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Gaio, J.","2015","10","Demeda, C.; Gaio, J.; Gonzatti, F.; Link, O.; Gaio, J.; Gonzatti, F.; Link, O.","170","2015","09","13","Southern America","Brasil","Rio Grande do Sul","Osório","Lagoa das Traíras., Margem noroeste.","-50.191111","-29.863056","-50.191111","-29.863056","2","2",NA,"IPA0077017","IPA0077017",NA,NA,"21",NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:27:02-03","IAP","PACA-AGP","63328","PreservedSpecimen","Plantae","Magnoliophyta","Compositae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Gustavo Heiden","2005","03","J. C. Sacco","808","1957","12","04",NA,"Brasil","RS","Pelotas",NA,"-52.3424987792969","-31.771900177002",NA,NA,NA,NA,"VULNERÁVEL&nf;Confirmado por A.A. Schneider em 2007. Habitat: in humidis Fenofase: fruto","PACA063328",NA,"Magnoliatae","Asterales","02","51462","auto",NA,NA,NA,NA
"6","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0007907","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","C. L. Cristóbal",NA,NA,"A. Schinini;","27549","1993","1","19",NA,"Argentina","Corrientes",NA,"Ruta 17. Ea. Curuzu Laurel. 11 km NE de San Miguel.","-57.6","-28",NA,NA,NA,NA,"2.5m alt., flores blancas, perfumadas, muy visitada por abejas negritas, toda la planta verde-cinerea.",NA,NA,NA,"Asterales",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-16 17:50:32-03","UCS","HUCS","43592","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Gaio, J.","2015","10","Demeda, C.","170","2015","09","13",NA,"Brasil","Rio Grande do Sul","Osório","Lagoa das Traíras","-50.191136","-29.863114","-50.191136","-29.863114","2","2","margem noroeste",NA,NA,NA,"Asterales","21",NA,NA,NA,NA,NA,NA
"8","2021-03-16 17:50:32-03","UCS","HUCS","36287","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Schneider, A.A.",NA,NA,"Schneider, A.A.","1376","2006","10","30",NA,"Brasil","Rio Grande do Sul","Rio Grande","BR 471, km 478 - Perto da Quinta em direção ao Taim","-52.0985984802246","-32.0349998474121",NA,NA,NA,NA,"Herbário ICN 153688; Banhado",NA,NA,NA,"Asterales",NA,"82892","auto",NA,NA,NA,NA
"9","2020-06-29 09:29:25-03","UFRRJ","RBR","8778","S","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","G. Heiden","2016","05","A. Schinini; C. Quarin","14505","1977","11","18",NA,"Argentina","Corrientes","Corrientes","Paso Lucero, Ruta 23 y Rio Corriente",NA,NA,NA,NA,NA,NA,NA,"RBR00008778","RBR00008778",NA,NA,"12",NA,NA,NA,NA,NA,NA
"10","2021-02-11 16:52:54-03","UFSM","SMDB","7224","S","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Heiden, G","2005","05","Záchia, R.A","3276","1999","02","25",NA,"Brasil","Rio Grande do Sul","São Borja","Bororé","-56.0043983459473","-28.6606006622314",NA,NA,NA,NA,NA,"SMDB007224",NA,NA,NA,NA,"75549","auto",NA,NA,NA,NA
