"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","individualCount"
"1","2021-04-05 14:33:57-03","UNESC","CRI","15183","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll","Silva, R.V.","2014","11","06","Silva, R.V.; Coelho, C.G.","2014","11","06","Brasil","Minas Gerais","Monte Belo","RPPN Fazenda Lagoa, Mata da Olaria, entre as trilhas 6 e 7.","-46.252222","-21.405556","46º15'8''W","21º24'20''S","867","867","Ereto e posteriormente inclinando sobre a vegetação adjacente. Entrenós com 17,5 - 63 cm de comprimento. cerca de 2-2,5 de diâmetro, verde com estrias amarelas. (VIC - 48.934) Habito: Bambu","CRI014598","CRI014598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00915479","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll","R. Vinícius-Silva",NA,NA,NA,"L. G. Clark","1990","02","27","Brazil","Minas Gerais","Diamantina","Road west from Diamantina to BiriBiri, on the other side of Riberão das Pedras about 0.5 km from the bridge, 1.5 km from BiriBiri","-43.63","-18.17",NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1196048' target='other'> <mi>dwc_moreinfo</mi></a>","NY00915479","NY00915479_01","Magnoliophyta","Poales","712","South America","sheet",NA,NA,NA,NA,NA
"3","2021-03-30 12:53:37-03","EAO","IAN","65001","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll","Kuhl",NA,NA,NA,"Regnell, CC",NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"JUDZIEWICZ (2000:73) citou: T-Protol.: Brasilia: habitat ad Caldas prov. Minarum, Regnell III 1424. T-Specim.: 1 of 1. Brazil: Minas Gerais, 28 Dec 1859, A. F. Regnell II. 1424 [HT: S (fragm., US-1021515); IT: S-1021516].","IAN065001",NA,"Monocotiledônea",NA,"s.n.","Southern America",NA,"isotipo",NA,NA,NA,NA
"4","2019-10-09 11:28:59-03","UFBA","ALCB","005411","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Doell.","Swallen, JR","1953","08",NA,"Torrend, Padre CSJ",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALCB019111","ALCB019111","Monocotyledon",NA,"s/n","Southern America",NA,NA,NA,NA,NA,NA
"5","2020-11-04 12:18:44-03","ESALQ","ESA","70110","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa",NA,"Ferreira, F.M.",NA,NA,NA,"Krieger, L. ; Brügger, M.C.","1989","06","20","Brasil","Minas Gerais","Argirita",NA,"-42.8361015319824","-21.6100006103516",NA,NA,NA,NA,NA,"ESA070110","ESA070110","Magnoliophyta",NA,NA,NA,NA,NA,"11331","auto",NA,NA
"6","2020-12-20 21:19:00-03","UFV","VIC","48777","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll","Vinícius-Silva, R.","2017","01","19","Costa, C.J.","2016","12","25","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Cerca de 500 m do trevo de acesso a São Gonçalo do, Na beira da estrada","-43.3908004760742","-18.0041999816895",NA,NA,NA,NA,"Ocorrente em borda de mata de Cerrado. Ápice de floração. Colmos ca. de 3-4 m de comp. Entrenós 20-25 cm de comp.","VIC048777","VIC048777",NA,NA,"132",NA,NA,NA,"26697","auto",NA,NA
"7","2020-12-20 21:19:00-03","UFV","VIC","48778","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll","Vinícius-Silva, R.","2017","01","19","Viana, P.L.; Mota, N.O.F.; Carvalho, F.A.","2016","01","03","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Estrada de acesso a São Gonçalo do Rio Preto, Aproximadamente 10 Km da cidade","-43.3908004760742","-18.0041999816895",NA,NA,NA,NA,"Ocorrente em borda de mata. Floração massiva.","VIC048778","VIC048778",NA,NA,"s.n.",NA,NA,NA,"26697","auto",NA,NA
"8","2020-12-20 21:19:00-03","UFV","VIC","043993","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll","Silva, R.V.","2014","12","20","Silva, R.V.; Silva, A.P.","2014","07","23","Brasil","Minas Gerais","Ibirité","Parque Estadual da Serra do Rola Moça, Estrada para o Manancial Taboões","-44","-20","-44","-20","1056","1056","Indivíduo com 15 a 17 m de altura, inicialmente eretos e posteriormente inclinando-se sobre a vegetação adjacente. Entrenós verde com estrias amarelas, 19-53 cm de comprimento; 2.2-3.2 cm de diâmetro.","VIC043993","VIC043993 VIC043993_1",NA,NA,"44",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:19:00-03","UFV","VIC","043994","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll","Silva, R.V.","2014","12","20","Silva, R.V.; Silva, A.P.","2014","07","23","Brasil","Minas Gerais","Ibirité","Parque Estadual da Serra do Rola Moça, Manancial Bálsamo","-44","-20","-44","-20","1102","1102","Indivíduo com 10 a 13 m de altura, inicialmente eretos e posteriormente inclinando-se sobre a vegetação adjacente. Entrenós verde com estrias amarelas, 6-52.5 cm de comprimento; 1.6-2.5 cm de diâmetro.","VIC043994","VIC043994 VIC043994_1",NA,NA,"43",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:19:00-03","UFV","VIC","48934","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll","Silva, R.V.","2014","11","06","Silva, R.V.; Coelho, C.G.","2014","11","06","Brasil","Minas Gerais","Monte Belo","RPPN Fazenda Lagoa, Mata da Olaria, entre as trilhas 6 e 7","-46","-21","-46","-21","867","867","Indivíduo com 10-12 m de altura; inicialmente ereto e, posteriormente inclinando sabre a vegetação adjacente. Entrenós com 17.5-63 cm de comprimento, cerca de 2-2.5 cm de diâmetro, verde com estrias amarelas.","VIC048934","VIC048934",NA,NA,"49",NA,NA,NA,NA,NA,NA,NA
