"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2020-09-23 10:38:32-03","E","E","151891","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","compressus","Cyperus compressus","Smith, Herbert H.","2389","W. Tropical South America","CO","herbarium specimen of unspecif","BGBASE:160066","<a href=http://data.rbge.org.uk/herb/E00151891 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151891",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:32-03","E","E","153140","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","compressus","Cyperus compressus","Schomburgk, R.H.","882","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:160302","<a href=http://data.rbge.org.uk/herb/E00153140 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153140","1905","01","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:32-03","E","E","153141","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","compressus","Cyperus compressus","Harley, R.M.","19255","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:160300","<a href=http://data.rbge.org.uk/herb/E00153141 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153141","1977","03","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:32-03","E","E","153138","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","compressus","Cyperus compressus","Spruce, R.",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:160303","<a href=http://data.rbge.org.uk/herb/E00153138 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153138","1905","01","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:38:32-03","E","E","153137","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","compressus","Cyperus compressus","Saltzmann",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:160304","<a href=http://data.rbge.org.uk/herb/E00153137 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153137","1905","01","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:38:32-03","E","E","153139","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","compressus","Cyperus compressus","Parker, Charles C","3","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:160301","<a href=http://data.rbge.org.uk/herb/E00153139 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:38:32-03","E","E","153135","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","compressus","Cyperus compressus","Spruce, R.",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:160305","<a href=http://data.rbge.org.uk/herb/E00153135 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153135","1905","01","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","668373","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","compressus","Cyperus compressus","S. G. Beck","3412","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668373","1980","04","16","Magnoliophyta","Poales","L.","T. M. Koyama","El Beni","José Ballivián","Espiritu en la zona de influencia del rio Yacuma.","-66.6167","-14.2","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","622435","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","compressus","Cyperus compressus","J. L. Hage","1905","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622435","1986","02","06","Magnoliophyta","Poales","L.","G. C. Tucker","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus/Itabuna (BR 415). Quadra B. Jardim situado entre o Restaurante e a Oficina/POsto.","-39.2273659","-14.771874","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","709519","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","compressus","Cyperus compressus","L. Buscalioni","3167","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=857645' target='other'> <mi>dwc_moreinfo</mi></a>","NY00709519","1899","05","28","Magnoliophyta","Poales","L.","G. C. Tucker","Pará",NA,"Rio Tocantins, Campos do Brea-Branco.",NA,NA,NA,NA,"NY00709519_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
