"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","470920","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Copaifera","lucens","Copaifera lucens","Dwyer","W. W. Thomas","W. W. Thomas","8250","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on Rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=504877' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470920","NY00470920_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1921768","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Copaifera","lucens","Copaifera lucens","Dwyer","J. Silva Costa","J. G. Kuhlmann","s.n.","1942","04","06","South America","Brazil","Distrito Federal",NA,"Jardim Botânico",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2337822' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921768","NY01921768_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1144706","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Copaifera","lucens","Copaifera lucens","Dwyer","H. C. de Lima","M. V. Peron","899","1992","02","02","South America","Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Trilha próximo ao encanamento sa CEDAE. Área FP15.","-42.883","-22.483","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1298463' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144706","NY01144706_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00979683","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Copaifera","lucens","Copaifera lucens","Dwyer","H. C. de Lima","H. C. de Lima","3048","1987","06","30","South America","Brazil","Rio de Janeiro","Santa Maria Madalena","Parque Estadual do Desengano, Sossego, Fazenda da Forquilha, pró ao Rio do Norte.","-41.83","-21.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083964' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979683","NY00979683_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","470700","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Copaifera","lucens","Copaifera lucens","Dwyer","J. Silva Costa","W. W. Thomas","8009","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=552010' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470700","NY00470700_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02636705","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Copaifera","lucens","Copaifera lucens","Dwyer","H. C. de Lima","P. Fiaschi","1328","2003","02","18","South America","Brazil","Bahia","Canavieiras","Entrada à direita, ca. 14 km da estrada de Canavieiras para Una, ca. 3,2 km da entrada. Região do Cotovelo.","-38.9667","-15.55","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475174' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636705","NY02636705_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:30:27-03","UFRJ","RFA","32499","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Copaifera","lucens","Copaifera lucens","Dwyer","Sebastião José Silva Neto","Vânia Alves Garcia",NA,"2000","05",NA,NA,"Brasil","Minas Gerais","Santana do Deserto","Mata Bela Fama","-43.1664009094238","-21.9500007629395",NA,NA,"RFA21163",NA,"2000","12740","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:30:27-03","UFRJ","RFA","39546","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Copaifera","lucens","Copaifera lucens","Dwyer","R. D. Ribeiro","Finotti R.; Caruzo J.","14",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Guapimirim","Antigo assentamento do INCRA","-42.845833","-22.577222",NA,"Arvore de 8 metros de altura e PAP de 33.1 cm.","RFA24514",NA,NA,NA,NA,"42º50'45''W","22º34'38''S","50","50",NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:40:48-03","EAO","IAN","106079","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Detarioideae","Copaifera","lucens","Copaifera lucens","Dwyer",NA,"Ducke, A","s.n.","1955","05",NA,"Southern America","Brasil","Ceará",NA,NA,NA,NA,NA,"Árvore típica.","IAN106079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:40:48-03","EAO","IAN","178449","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Detarioideae","Copaifera","lucens","Copaifera lucens","Dwyer","Cowan, RS","Santos, TS dos","310","1968","12","13","Southern America","Brasil","Bahia","Una","Fazenda São Rafael. Mata. IPA 27770.","-39.0752983093262","-15.2932996749878",NA,"Árvore de 25 m x 30 cm; flores em botões verdes.","IAN178449",NA,"1978","36070","auto",NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA
