"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","identifiedBy","class","order","individualCount","phylum","day","coordinatePrecision","geoFlag"
"1","2020-12-21 16:19:23-03","MBM","MBM","198344","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","delicata","Dyckia delicata","Larocca & Sobral","ISOTYPE","Larocca, J.; Nilson, A.D.; Sobral, M.; Nilson, A.D.; Sobral, M.","961","1996","01","Southern America","Brazil","Rio Grande do Sul","Barros Cassal","Linha Pessegueiro, A ca 5 km da sede do município","-52.583333","-29.116667","-52.583333","-29.116667","350","350","Erva com afloramento basáltico de orientação solar noroeste, com inclinações entre 60 e 90 graus; Erva.; Em afloramento basáltico de orientação solar noroste, com inclinações entre 60° e 90°, ocorrendo juntamente com Parodia haselber","MBM198344","MBM198344",NA,NA,NA,NA,NA,NA,NA,NA
"2","2008-05-27 22:02:00-03","MO","MOBOT","2452728","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","delicata","Dyckia delicata","Larocca & Sobral",NA,"J. Larocca","Larocca 96001","1996",NA,"South America","Brazil","Rio Grande do Sul",NA,"Barros Cassal. Linha Pessegueiro, ca. 5 km da sede do municipio","-52.58333","-29.11666",NA,NA,"350.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-03-29 10:41:16-03","UFSM","HDCF","6505","S","Plantae","Bromeliaceae","Dyckia","delicata","Dyckia delicata","Larocca & Sobral",NA,"Witeck, L.",NA,"2012","10","América","Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,"Pétalas amarelas, saxícola. Cultivada no Jardim Botânico do Colégio Politécnico da UFSM",NA,NA,"Büneker, H. M.",NA,NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","3321544","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","delicata","Dyckia delicata","Larocca & Sobral","Isotype","J. Larocca, A. Nilson & M. Sobral","96/001","1996","1","South America","Brazil","Rio Grande do Sul",NA,"Barros Cassal, em Linha Pessegueiro, a ca. 5 km da sede do município","-52.58","-29.12",NA,NA,"350",NA,NA,"US00479206","US00479206_01",NA,"Monocotyledonae","Bromeliales","1",NA,NA,NA,NA
"5","2021-02-08 12:50:44-03","UFRGS","ICN","188077","S","Plantae","Bromeliaceae","Dyckia","delicata","Dyckia delicata","Larocca & Sobral",NA,"Breitsameter, CJ; Büneker, H; Troleis, J; Mariath, JEA","s.n.","2015","11","América do Sul","Brasil","RS","Barros Cassal",NA,"-52.641111","-29.107222","-52.641111","-29.107222",NA,NA,"Material testemunho; margem foliar com espinhos flexíveis, flores amareladas glabras; saxicola","ICN00029970",NA,NA,NA,NA,NA,"Monocotyledon","29",NA,NA
"6","2021-02-08 12:50:44-03","UFRGS","ICN","110757","S","Plantae","Bromeliaceae","Dyckia","delicata","Dyckia delicata","Larocca & Sobral","Paratypus","Larocca, J; Zacchia, RA","95/25","1995","12","América do Sul","Brasil","RS","Barros Cassal","Linha Pessegueiro a cerca de 5 Km da sede do município","-52.5828018188477","-29.0932998657227",NA,NA,NA,NA,"Espécie ameaçada de extinção (Vulnerável).; Erva; em afloramento basáltico de orientação solar noroeste, com inclinações entre 60° e 90°,ocorrendo juntamente com Parodia haselbergii, Sinningia macrostachya, Tillandsia recurvata.","ICN00000145","ICN00000145 ICN00000145_1","Sobral, M; Larocca, J",NA,NA,NA,"Monocotyledon",NA,"20054","auto"
"7","2021-02-08 12:50:44-03","UFRGS","ICN","110756","S","Plantae","Bromeliaceae","Dyckia","delicata","Dyckia delicata","Larocca & Sobral","Holotypus","Larocca, J; et al.","96/001","1996","01","América do Sul","Brasil","RS","Barros Cassal","Linha Pessegueiro a cerca de 5 Km da sede do município 29°07'S 52°35'W 350 m.s.m","-52.583333","-29.116667","-52.583333","-29.116667",NA,NA,"Espécie ameaçada de extinção (Vulnerável).; Erva em afloramento basáltico de orientação solar noroeste, com inclinações entre 60° e 90°,ocorrendo juntamente com Parodia haselbergii, Sinningia macrostachya, Tillandsia recurvata.","ICN00000144","ICN00000144 ICN00000144_1","Sobral, M; Larocca, J",NA,NA,NA,"Monocotyledon",NA,NA,NA
"8","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","36098","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","delicata","Dyckia delicata","Larocca & Sobral",NA,"Sobral, M.","s.n.","1998","03",NA,"Brasil","Rio Grande do Sul","Barros Cassal",NA,"-52.5828018188477","-29.0932998657227",NA,NA,NA,NA,"Cultivada na coleção Te 1131/849","HAS0036098",NA,NA,NA,NA,NA,"Magnoliophyta",NA,"20054","auto"
"9","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","101065","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","delicata","Dyckia delicata","Larocca & Sobral",NA,"Nilson, A.D.","s.n.","1996","01",NA,"Brasil","Rio Grande do Sul","Barros Cassal",NA,"-52.5828018188477","-29.0932998657227",NA,NA,NA,NA,"JB 421; TS 1899","HAS0101065",NA,"Strehl, T.",NA,NA,NA,"Magnoliophyta",NA,"20054","auto"
