"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","phylum","order","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","infraspecificEpithet","class","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:25:06-03","UNESC","CRI","8964","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","philippocoburgii","Vriesea philippocoburgii","Wawra","Marcelo R. Pasetto","2011","10","20","Lislaine Cardoso de Oliveira","2011","10","20","Brasil","Santa Catarina","Araranguá","Sanga do Veado.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","Floresta brejosa","CRI001838","CRI001838",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:06-03","UNESC","CRI","7557","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","philippocoburgii","Vriesea philippocoburgii","Wawra","Jorge Luiz Waechter","2007","03","25","T. E. V. Azeredo","2007","03","25","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso - Rio Cedro Alto.","-49.498056","-28.637222","49º29'53''W","28º38'14''S","74","74","Habitat: mata ciliar","CRI001842","CRI001842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:06-03","UNESC","CRI","2617","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","philippocoburgii","Vriesea philippocoburgii","Wawra",NA,NA,NA,NA,"R. Reitz","1975","04","15","Brasil","Rio de Janeiro","Petrópolis","Vargem Grande - Pico do Conto.","-43.178889","-22.505556","43º10'44''W","22º30'20''S","800","800",NA,"CRI001844","CRI001844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:22-03","UNESC","CRI","2629","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","philippocoburgii","Vriesea philippocoburgii","Wawra","R. Reitz",NA,NA,NA,"R. Real","1974","05","21","Brasil","Rio de Janeiro","Petrópolis","Floresta da Tijuca, Parque Nacional da Tijuca.","-43.178889","-22.505556","43º10'44''W","22º30'20''S","836","836","Habito: epífita","CRI001843","CRI001843","7598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","2911","S","Plantae","Bromeliaceae","Vriesea","philippocoburgii","Vriesea philippocoburgii","Wawra","Elton. C. M. Leme","2011","08",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,"254",NA,NA,NA,"Magnoliophyta","Poales","38539","2","auto",NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","486","S","Plantae","Bromeliaceae","Vriesea","philippocoburgii","Vriesea philippocoburgii","Wawra","Elton. C. M. Leme","2011","08",NA,"Elton M. C. Leme; Jones Caldas da Silva; Manuel de Mello","1998","11","20","Brasil","Rio Grande do Sul","Três Forquilhas","Cascata","-50.0643997192383","-29.5368995666504",NA,NA,NA,NA,"254",NA,NA,NA,"Magnoliophyta","Poales","22285","1","auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","383","S","Plantae","Bromeliaceae","Vriesea","philippocoburgii","Vriesea philippocoburgii","Wawra","Elton. C. M. Leme","2009","05",NA,"Rosângela Occhi;",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Parqu Nacional da Tijuca, trilha para o Pico da Tijuca","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"254",NA,NA,NA,"Magnoliophyta","Poales","57442","1","auto",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","400521","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","philippocoburgii","Vriesea philippocoburgii","Wawra","L. B. Smith",NA,NA,NA,"L. B. Smith","1952","04","20","Brazil","Rio de Janeiro","Nova Friburgo","Between Teodoro de Oliveira and Nova Friburgo","-42.5","-22.42",NA,NA,"800","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400521","NY00400521_01","7111","Magnoliophyta","Poales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","400524","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","philippocoburgii","Vriesea philippocoburgii","Wawra","P. K. H. Dusén",NA,NA,NA,"P. K. H. Dusén","1916","04","09","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,NA,NA,"cult., c.fl. reg. lit. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400524","NY00400524_01","s.n.","Magnoliophyta","Poales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","400525","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","philippocoburgii","Vriesea philippocoburgii","Wawra","S. M. Silva",NA,NA,NA,"R. M. Britez","1988","03","12","Brazil","Paraná","Paranaguá","Reserva Ecológica, Ilha do Mel","-48.346614","-25.510118",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400525","NY00400525_01","1834","Magnoliophyta","Poales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA
