"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","locality","year","month","day","minimumElevationInMeters","decimalLongitude","decimalLatitude","maximumElevationInMeters","yearIdentified","monthIdentified","county","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","class","order","imagecode","typeStatus","dayIdentified","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","02211208","PreservedSpecimen","Plantae","Marchantiophyta","Arnelliaceae","Gongylanthus","liebmannianus","Gongylanthus liebmannianus","(Lindenb. & Gott) Steph.","R. Grolle","A. F. M. Glaziou","7044","South America","Brazil","Rio de Janeiro","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2368073' target='other'> <mi>dwc_moreinfo</mi></a>","NY02211208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02211211","PreservedSpecimen","Plantae","Marchantiophyta","Arnelliaceae","Gongylanthus","liebmannianus","Gongylanthus liebmannianus","(Lindenb. & Gott) Steph.","R. Grolle","W. Jameson","s.n.","South America","Ecuador",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2368244' target='other'> <mi>dwc_moreinfo</mi></a>","NY02211211","Quito.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02211219","PreservedSpecimen","Plantae","Marchantiophyta","Arnelliaceae","Gongylanthus","liebmannianus","Gongylanthus liebmannianus","(Lindenb. & Gott) Steph.","C. Juárez M.","S. R. Gradstein","Gr.4264","South America","Colombia","Cundinamarca","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2368440' target='other'> <mi>dwc_moreinfo</mi></a>","NY02211219","Páramo de Chirgaza, around lagunita, along trail to St. Juanito.","1982","09","23","3400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02211160","PreservedSpecimen","Plantae","Marchantiophyta","Arnelliaceae","Gongylanthus","liebmannianus","Gongylanthus liebmannianus","(Lindenb. & Gott) Steph.","C. Juárez M.","A. M. Cleef","38","South America","Colombia","Cundinamarca","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2366150' target='other'> <mi>dwc_moreinfo</mi></a>","NY02211160","Páramo de Sumapaz, Chisacá, cabeceras de la Quebrada Chisacá. Exp. E-SE.","1971","11","15","3640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02211209","PreservedSpecimen","Plantae","Marchantiophyta","Arnelliaceae","Gongylanthus","liebmannianus","Gongylanthus liebmannianus","(Lindenb. & Gott) Steph.","R. Grolle","A. F. M. Glaziou","7044","South America","Brazil","Rio de Janeiro","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2368074' target='other'> <mi>dwc_moreinfo</mi></a>","NY02211209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02211213","PreservedSpecimen","Plantae","Marchantiophyta","Arnelliaceae","Gongylanthus","liebmannianus","Gongylanthus liebmannianus","(Lindenb. & Gott) Steph.","J. Váňa","D. G. Griffin","PV-22","South America","Venezuela","Mérida","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2368267' target='other'> <mi>dwc_moreinfo</mi></a>","NY02211213","páramo de Pinañgo, un sector del gran páramo de Mucuchíes.","1984","06","17","4300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02211212","PreservedSpecimen","Plantae","Marchantiophyta","Arnelliaceae","Gongylanthus","liebmannianus","Gongylanthus liebmannianus","(Lindenb. & Gott) Steph.",NA,"S. R. Gradstein","Gr.3405","South America","Ecuador","Carchi","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2368264' target='other'> <mi>dwc_moreinfo</mi></a>","NY02211212","Páramo de El Angel, road Tulcán-El Angel, ca. 16 km S of Tulcán.","1976","04","04","3350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01149640","PreservedSpecimen","Plantae","Marchantiophyta","Arnelliaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","R. Grolle","A. Schäfer-Verwimp","11496","South America","Brazil","Espírito Santo","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301410' target='other'> <mi>dwc_moreinfo</mi></a>","NY01149640","Serra de Caparaó, zwischen Terreirão und Pico da Bandeira","1989","07","20","2500","-41.82","-20.42","2500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02211210","PreservedSpecimen","Plantae","Marchantiophyta","Arnelliaceae","Gongylanthus","liebmannianus","Gongylanthus liebmannianus","(Lindenb. & Gott) Steph.","R. Grolle","W. Jameson","s.n.","South America","Ecuador",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2368088' target='other'> <mi>dwc_moreinfo</mi></a>","NY02211210","Quito.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-05-02 10:52:13-03","IBt","SP-BRYOPHYTA","086362","S","Plantae",NA,"Arnelliaceae","Gongylanthus","liebmannianus","Gongylanthus liebmannianus",NA,"Carmo, D.M.","Vital, D.M.","22","Southern America","BRASIL","Rio de Janeiro",NA,"+ Cephaloziella divaricata (Sm.) Schiffn.","SP060834",NA,"1962","03","09","2350","-44.563333","-22.496111","2350","2011","02","Itatiaia","-44.563333","-22.496111",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-05-02 10:52:13-03","IBt","SP-BRYOPHYTA","086392","S","Plantae",NA,"Arnelliaceae","Gongylanthus","liebmannianus","Gongylanthus liebmannianus",NA,"Carmo, D.M.","Vital, D.M.","52","Southern America","BRASIL","Rio de Janeiro",NA,"no chão úmido, mais ou menos 2350m","SP060864",NA,"1962","03","09","1120","-44.563333","-22.496111","1120","2011","02","Itatiaia","-44.563333","-22.496111",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-05-02 10:52:13-03","IBt","SP-BRYOPHYTA","086442","S","Plantae",NA,"Arnelliaceae","Gongylanthus","liebmannianus","Gongylanthus liebmannianus",NA,"Carmo, D.M.","Vital, D.M.","102","Southern America","BRASIL","Rio de Janeiro",NA,"na encosta montanhosa, mais ou menos 2350m","SP060915",NA,"1962","03","21","1120","-44.563333","-22.496111","1120","2011","02","Itatiaia","-44.563333","-22.496111",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2017-10-16 20:49:00-02","MO","MOBOT","101004632","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.",NA,"Antoine M. Cleef","Cleef 8842","South America","Colombia","Arauca",NA,NA,NA,"Sierra Nevada del Cocuy, Cabecera Quebrada El Playon, Patio Bolos.","1973","3","7","4285.00000000","-72.3","6.4166667",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
