"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00916552","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Thryallis","parviflora","Thryallis parviflora","C.E.Anderson","C. E. Anderson","H. S. Irwin","15733","1966","05","08","South America","Brazil","Distrito Federal","Brasília","Rio Contagem, ca. 35 km N. of Brasília","-47.88","-15.48","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916552","NY00916552_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00916553","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Thryallis","parviflora","Thryallis parviflora","C.E.Anderson","C. E. Anderson","J. M. Pires","9574","1963","04","30","South America","Brazil","Distrito Federal","Brasília","Fundação Zoobotânica.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916553","NY00916553_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00916554","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Thryallis","parviflora","Thryallis parviflora","C.E.Anderson","C. E. Anderson","H. S. Irwin","11341","1965","12","16","South America","Brazil","Distrito Federal","Brasília","Córrego Landím, ca. 20 km N. of Brasília","-47.9167","-15.60256","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988749' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916554","NY00916554_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:12:48-03","ESALQ","ESA","107585","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Thryallis","parviflora","Thryallis parviflora",NA,"Ramalho, C.L.","Ramalho, C.L.","42.0","2002","01","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA107585","ESA107585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:32:59-03","MBM","MBM","48864","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Thryallis","parviflora","Thryallis parviflora","C.E. Anderson","Anderson, C.E.","Hatschbach, G.","39355","1977","01","09","Southern America","Brazil","Goiás","Formosa","JK","-47.334400177002","-15.5371999740601",NA,NA,NA,"Trepadeira lenhosa, flor amarela, floresce alto das árvores junto à córrego; Trepadeira lenhosa, flor amarela.; Floresce no alto das árvores junto a córrego.","MBM048864","MBM048864","PARATYPE","1995","113054","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:37:44-03","UFMG","BHCB","201135","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Thryallis","parviflora","Thryallis parviflora","C.E.Anderson",NA,"Melo, PHA de; Pezzini, FF","5068","2016","03","24","Southern America","Brasil","Goiás","Formosa","Fazenda Sucupira, Proximidades do povoado Barreiro.","-47.184944","-15.352631","796","796",NA,"Prensada em álcool 70%, amostra preservada em sílica.; Trepadeira, terrícola, frutos imaturos verdes.; Morros com afloramentos de calcário em camadas soerguidas, paredões, campos de lápias, sumidouros e decidual e mata ciliar. Envolto","BHCB201135","BHCB201135",NA,"2017",NA,NA,"05","10","-47.184944","-15.352631",NA,NA,NA
"7","2009-07-17 14:12:00-03","MO","MOBOT","1845443","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Thryallis","parviflora","Thryallis parviflora","C.E. Anderson","Christiane Anderson","Howard S. Irwin|R. Souza|R. Reis dos Santos","Irwin 11341","1965","12","16","South America","Brazil",NA,NA,"Liana ca. 2 m. high. Creek margin. Gallery forest and creek margin, Córrego Landím, ca. 20 km. N. of Brasília.",NA,NA,"950.00000000",NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-26 13:55:52-03","IMA","MAC","8438","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Thryallis","parviflora","Thryallis parviflora","C.Anderson","A.M.Amorim","J.H.Kirkbride Jr.","3953","1981","02","26",NA,"Brasil","Distrito Federal","Brasília","Margem do rio Salinas.","-47.95","-15.516667",NA,NA,NA,"Arbusto fraco, ca. de 4m de alt. Corolas amarelas. Frutos jovens castanhos.; Cerrado","MAC0008438",NA,NA,"1999",NA,NA,NA,NA,"-47.95","-15.516667",NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","2752580","PreservedSpecimen","Plantae",NA,"Polygalales","Malpighiaceae","Thryallis","parviflora","Thryallis parviflora","C.E. Anderson",NA,"H. S. Irwin, R. Souza & R. G. P. Santos","11341","1965","12","16","South America - Neotropics","Brazil","Distrito Federal",NA,"Corrego Landim, ca. 20 km N of Brasilia.",NA,NA,"950","950",NA,NA,"US00603916","US00603916_01","Isotype",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"10","2020-09-12 05:00:02-03","US","US","2989272","PreservedSpecimen","Plantae",NA,"Polygalales","Malpighiaceae","Thryallis","parviflora","Thryallis parviflora","C.E. Anderson",NA,"E. P. Heringer","14262","1975","1","10","South America - Neotropics","Brazil","Brasília",NA,"Sobradinho, Fercal",NA,NA,NA,NA,NA,NA,"US01876859","US01876859_01 US01876859_02",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
