"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","year","month","locality","minimumElevationInMeters","maximumElevationInMeters","day","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","typeStatus","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","617525","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","glaziovianum","Eryngium glaziovianum","Malme","L. Constance","A. F. M. Glaziou","12747","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=686919' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617525","NY00617525_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","617524","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","glaziovianum","Eryngium glaziovianum","Malme","L. Constance","P. von Luetzelburg","6191","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=686918' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617524","NY00617524_01","1915","06","Orgelgebirge (Organ Mountains).","2700","2700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:28:50-03","UFRJ","RFA","29033","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","glaziovianum","Eryngium glaziovianum","Urb.",NA,"K.T. Ribeiro; B. Medina","245",NA,"Brasil","Rio de Janeiro",NA,"Inflorescências roxas, indescentes, aroma forte e doce nos capítulos não fecundados. besouros metálicos polinizam","RFA36379",NA,"2000","01","Planalto do Itatiaia. Parque Nacional dp Itatiaia. Maciço das Prateleiras","2400","2400","29","Itatiaia","-44.666667","-22.5","44º40'W","22º30'S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:18:47-03","UFRJ","RFA","22909","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","glaziovianum","Eryngium glaziovianum","Urb.","M.E. Mathias & L. Constance","F. Segadas-Vianna; A.C. Brade 20269","5150",NA,"Brasil","Rio de Janeiro",NA,NA,"RFA36381",NA,"1950","05","Serra do Itatiaia","2300","2300",NA,"Resende","-44.4467010498047","-22.468900680542",NA,NA,"1958","36089","auto",NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:18:47-03","UFRJ","RFA","29454","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","glaziovianum","Eryngium glaziovianum","Urb.","M.E. Mathias & L. Constance","F. Segadas-Vianna","680",NA,"Brasil","Rio de Janeiro",NA,NA,"RFA36380",NA,"1945","01","Serra dos Órgãos. Morro do Assú, Castelo","2000","2000","18","Petrópolis","-43.1786003112793","-22.5049991607666",NA,NA,"1958","36524","auto",NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:43:50-03","NBC","NL-BOTANY","L.2576132","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","glaziovianum","Eryngium glaziovianum","Urb.",NA,"Smith LS; Reitz R",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2576132 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2576132","NL-L2576132","1957","01","Santa Catarina, Mun. Bom Retiro: Bog, Fazenda Campo dos Padres, Campo dos Padres.",NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"7","2020-02-08 08:43:50-03","NBC","NL-BOTANY","U.1077120","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","glaziovianum","Eryngium glaziovianum","Urb.","Lindeman JC","Lindeman JC; Haas JH de",NA,"Southern America","Brazil","Rio de Janeiro",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1077120 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1077120","NL-U1077120","1967","04",NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0137143",NA,NA,NA,NA
"8","2020-02-08 08:43:50-03","NBC","NL-BOTANY","U.1077121","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","glaziovianum","Eryngium glaziovianum","Urb.","Lindeman JC","Lindeman JC; Haas JH de",NA,"Southern America","Brazil","Rio de Janeiro",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1077121 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1077121","NL-U1077121","1967","04",NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0137144",NA,NA,NA,NA
"9","2020-02-08 08:43:50-03","NBC","NL-BOTANY","U.1077122","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","glaziovianum","Eryngium glaziovianum","Urb.",NA,"Lindeman JC; Haas JH de",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1077122 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1077122","NL-U1077122","1967","02","Est. Paraná. In banhado, marshy valley along creek, 10 km E of Curitiba.",NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"10","2020-02-08 08:43:50-03","NBC","NL-BOTANY","U.1077123","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","glaziovianum","Eryngium glaziovianum","Urb.",NA,"Camerik AM",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1077123 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1077123","NL-U1077123","1975","06","Brasil; Est.R,J, Italiau!,!iras;2.300m.",NA,NA,"04",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"11","2019-11-21 14:30:12-03","UFJF","CESJ","72065","PreservedSpecimen","Plantae","Angiosperma",NA,"Apiaceae","Eryngium","glaziovianum","Eryngium glaziovianum","Urb.","D.B. Lucas","L.N. Gonçalves; P. Duffles","445","América do Sul","Brasil","Minas Gerais",NA,"Folhas simples, com espinhos, base arroxeada e estreita; inflorescência roxa; 1º maciço do Pico dos Marins, acima do Morro do Careca;","CESJ072065",NA,"2017","10","Pico dos Marins, 1º maciço","1900","1900","19","Marmelópolis","-45.135556","-22.500833","-45.135556","-22.500833","2017",NA,NA,NA,NA,"10","23",NA,NA
