"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","county","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2016-09-26 23:51:00-03","NY","NYBG","1094","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","revoluta","Vochysia revoluta","isolectotype","W. A. Ducke","RB-24155","1931","11","28","South America","Brazil","Amazonas","Manaus, circa cataractam altam fluminis Tarumá","-60.0580502","-3.001413","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274089' target='other'> <mi>dwc_moreinfo</mi></a>","NY00001094","NY00001094_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02027224","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","revoluta","Vochysia revoluta",NA,"J. M. Pires","14243","1974","04","24","South America","Brazil","Roraima","R. Univini, Igarapé do Campo, Água limpa","-61.784323","0.918238","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2183538' target='other'> <mi>dwc_moreinfo</mi></a>","NY02027224","NY02027224_01","Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2027225","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","revoluta","Vochysia revoluta",NA,"O. C. Nascimento","610","1978","10","13","South America","Brazil","Amazonas","Margem esquerda do Rio Negro.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2183539' target='other'> <mi>dwc_moreinfo</mi></a>","NY02027225","NY02027225_01","Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2027226","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","revoluta","Vochysia revoluta",NA,"J. A. Silva","366","1985","07","28","South America","Brazil","Amazonas","Rio Araca a 15 horas de Barcelos, beira do rio","-63.25","-0.167","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2183540' target='other'> <mi>dwc_moreinfo</mi></a>","NY02027226","NY02027226_01","Ducke","Barcelos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2027227","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","revoluta","Vochysia revoluta",NA,"W. A. Ducke","93","1935","11","24","South America","Brazil","Amazonas","Rio Tarumá","-60.0250015258789","-3.10193991661072","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2183541' target='other'> <mi>dwc_moreinfo</mi></a>","NY02027227","NY02027227_01","Ducke","Manaus","138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:50:46-03","EAO","IAN","101931","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vochysiaceae","Vochysia","revoluta","Vochysia revoluta",NA,"Pires, JM; Silva, NT da","7561","1959","02",NA,"Southern America","Brasil","Pará","Taracua, rio Uaupés, Catinga. Mata (34).",NA,NA,NA,NA,"IAN101931",NA,"Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:50:46-03","EAO","IAN","110555","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vochysiaceae","Vochysia","revoluta","Vochysia revoluta",NA,"Mello, FC de",NA,"1955","11","18","Southern America","Brasil","Amazonas","Cachoeira alta do Tarumã, terreno firme, arenoso, mata virgem.","-60.0250015258789","-3.10193991661072",NA,"Árvore de 10m. Flores amarelas.","IAN110555",NA,"Ducke","Manaus","138090","auto","Stafleu, FA","1956","07",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:50:46-03","EAO","IAN","9835","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vochysiaceae","Vochysia","revoluta","Vochysia revoluta",NA,"Ducke, A","93","1942","11","12","Southern America","Brasil","Amazonas","Rio Tarumã, mata ligeiramente pantanosa, perto da cachoeira alta.","-60.0250015258789","-3.10193991661072",NA,"Árvore bastante grande, flor amarela.","IAN009835","IAN009835 IAN009835_e","Ducke","Manaus","138090","auto","Shimizu, GH","2016","09",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:08:33-03","NBC","NL-BOTANY","U 0007166","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Vochysia","revoluta","Vochysia revoluta","isotype","Ducke A",NA,"1931","11","28","Southern America","Brazil","Amazonas","Manáos (Amazonas), circa cataractam altam flum. Tarumá","-60.025278","-3.113333",NA,"silva humosa<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007166 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007166","NL-U0007166","Ducke",NA,NA,NA,"Stafleu FA",NA,NA,"Magnoliopsidae","-60.025278","-3.113333","13098 A",NA,NA,NA,NA
"10","2020-02-08 10:08:33-03","NBC","NL-BOTANY","U.1769676","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Vochysia","revoluta","Vochysia revoluta",NA,"Mello F",NA,NA,NA,NA,"Southern America","Brazil",NA,"Amazonas - Manaus, firme, arinoso, mata-vingem Cachorira alta do Taruma.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1769676 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1769676","NL-U1769676","Ducke",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
