"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","barcode","order","imagecode","class","relatedCatalogItem","fieldNumber","typeStatus","sex"
"1","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","3003","S","Plantae","Pteridophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring","Carlos A. Ferreira Jr.","2009","11","12","Carlos Alberto F. Jr.;","2009","11","12","Brasil","Minas Gerais","Santana do Pirapama","Fazenda Tocan Cipó, Caminho do Rio Cipó","43°46.582'","19°00.248'","659","659","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","2268","S","Plantae","Pteridophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring",NA,NA,NA,NA,"Míriam Pimentel Mendonça;",NA,NA,NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó",NA,NA,NA,NA,"1","254","-43.7449989318848","-19.513599395752","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","3004","S","Plantae","Pteridophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring","Carlos A. Ferreira Jr.","2009","11","12","Carlos Alberto F. Jr.;","2009","11","12","Brasil","Minas Gerais","Santana do Pirapama","Fazenda Tocan Cipó, Caminho do Rio Cipó","43°46.582'","19°00.248'","659","659","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","2267","S","Plantae","Pteridophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring",NA,NA,NA,NA,"Lívia Echternacht Andrade;",NA,NA,NA,"Brasil","Minas Gerais","São Francisco","Fazenda Daniela",NA,NA,NA,NA,NA,"254","-44.8643989562988","-15.9485998153687","47492","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:26-03","E","E","119563","PreservedSpecimen","Plantae",NA,"Selaginellaceae","Selaginella","convoluta","Selaginella convoluta",NA,NA,NA,NA,NA,"Rodrigues, C.E.; Silva, M.R.;","1992","07","12","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00119563 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"144","E. Tropical South America","herbarium specimen of unspecif","BGBASE:175649","E00119563",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","789059","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring","A. H. G. Alston",NA,NA,NA,"J. N. Rose","1915","06","19","Brazil","Bahia",NA,"Vicinity of Machado Portello",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795899' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"20012","South America","sheet",NA,"NY00789059","Selaginellales","NY00789059_01",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02553401","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring",NA,NA,NA,NA,"W. J. Burchell",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2796043' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2716","South America","sheet",NA,"NY02553401","Selaginellales","NY02553401_01",NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3843956","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring",NA,NA,NA,NA,"J. Richard Abbott","1995","02","21","Bolivia","Santa Cruz","Ñuflo de Chávez","Loerio; ca 63 Km south of Concepción to Las Trancas community, then ca 5 Km to north on access road",NA,NA,"500",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4131564' target='other'> <mi>dwc_moreinfo</mi></a>","-61.87","-16.58",NA,NA,"16310","South America","sheet",NA,"NY03843956","Selaginellales",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","686915","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring","R. C. Moran",NA,NA,NA,"W. W. Thomas","2001","10","24","Brazil","Bahia","Jequié","Fazenda of Marcus Ludovico and Joao Andrade--W on BR 330 14.7 km from junction with BR 116 in Jequié, then S on dirt road to Prainha Lomanto for 5.9 km to fazenda road; right on fazenda road 11.9 km to wide dry river bed with silt and sand over rock",NA,NA,"640","640",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=418315' target='other'> <mi>dwc_moreinfo</mi></a>","-40.314483","-13.795617",NA,NA,"12580","South America",NA,NA,"NY00686915","Selaginellales","NY00686915_01",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","789053","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring","J. T. Mickel",NA,NA,NA,"B. M. Boom","1981","06","06","Brazil","Bahia","Paulo Afonso","15-20km NW of Paulo Alfonso on airport road that eventually leads to Petrolandia.",NA,NA,"300","300",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795857' target='other'> <mi>dwc_moreinfo</mi></a>","-38.2144","-9.4061",NA,NA,"1055","South America","sheet",NA,"NY00789053","Selaginellales","NY00789053_01",NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","3843957","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring",NA,NA,NA,NA,"I. G. Vargas Caballero","1994","10","22","Bolivia","Santa Cruz","Chiquitos","Valle de Tucabaca; 10 km al SW del Rio Tucabaca (15 km al NE de Santiago de Chiquitos).",NA,NA,"250",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4131565' target='other'> <mi>dwc_moreinfo</mi></a>","-59.5133","-18.2633",NA,NA,"3442","South America","sheet",NA,"NY03843957","Selaginellales",NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","789055","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring",NA,NA,NA,NA,"H. S. Irwin","1971","02","15","Brazil","Bahia",NA,"Seabra, on road between Ibotirama and Itaberaba.",NA,NA,"900","900",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795882' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"33271","South America","sheet",NA,"NY00789055","Selaginellales","NY00789055_01",NA,NA,NA,NA,NA
"13","2016-09-29 18:47:00-03","NY","NYBG","789056","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta",NA,NA,NA,NA,NA,"G. P. Lewis","1982","01","15","Brazil","Bahia",NA,"Km 45 da rodovia BR 235 Petrolina para Casa Nova.",NA,NA,"360","360",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795884' target='other'> <mi>dwc_moreinfo</mi></a>","-40.88","-9.3",NA,NA,"1073","South America","sheet",NA,"NY00789056","Selaginellales","NY00789056_01",NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","3843958","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring",NA,NA,NA,NA,"T. J. Killeen","1994","10","19","Bolivia","Santa Cruz","José Miguel de Velasco","Reserva Forestal Bajo Paraguá, Cerro Pelao",NA,NA,"450",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4131566' target='other'> <mi>dwc_moreinfo</mi></a>","-61.4922","-14.5314",NA,NA,"7028","South America","sheet",NA,"NY03843958","Selaginellales",NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","02478948","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring",NA,NA,NA,NA,"P. H. Labiak E.","2007","07","16","Brazil","Espírito Santo","Afonso Cláudio","Serra Pelada. Pedra dos Três Pontões.",NA,NA,"1050","1050",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2690348' target='other'> <mi>dwc_moreinfo</mi></a>","-41.0392","-20.0767",NA,NA,"4148","South America","sheet",NA,"NY02478948","Selaginellales","NY02478948_01",NA,NA,NA,NA,NA
"16","2017-07-03 11:52:00-03","NY","NYBG","02553400","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta",NA,NA,NA,NA,NA,"E. P. Stevens","1868",NA,NA,"Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2796042' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"s.n.","South America","sheet",NA,"NY02553400","Selaginellales","NY02553400_01",NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","03843955","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring",NA,NA,NA,NA,"I. G. Vargas Caballero","1990","12","24","Bolivia","Santa Cruz","Vallegrande","El Estanque, 40 km al S de la ciudad de Vallegrande (línea recta)",NA,NA,"1400",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4131561' target='other'> <mi>dwc_moreinfo</mi></a>","-64.1417","-18.93",NA,NA,"873","South America","sheet",NA,"NY03843955","Selaginellales",NA,NA,NA,NA,NA,NA
"18","2016-09-29 21:45:00-03","NY","NYBG","921361","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta",NA,"R. C. Moran",NA,NA,NA,"B. M. T. Walter","1991","12","10","Brazil","Goiás","Colinas do Sul","Estrada Colinas do Sul - Niquelândia. Ponte sobre o Rio Tocantizinho a 6 Km de Colinas do Sul. Bacia de inundação da UHE Serra da Mesa. Coletado na margem esquerda do rio.",NA,NA,"420","420",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993335' target='other'> <mi>dwc_moreinfo</mi></a>","-48.07","-14.13",NA,NA,"969","South America","sheet",NA,"NY00921361","Selaginellales","NY00921361_01",NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","789052","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring","J. T. Mickel; L. G. Atehortúa",NA,NA,NA,"B. M. Boom","1981","06","07","Brazil","Bahia","Paulo Afonso","BR 110, road from Paulo Alfonso to Jeremoabo, 39-46km S of Paulo Alfonso.",NA,NA,"300","400",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795854' target='other'> <mi>dwc_moreinfo</mi></a>","-38.2144","-9.4061",NA,NA,"1058","South America","sheet",NA,"NY00789052","Selaginellales","NY00789052_01",NA,NA,NA,NA,NA
