"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:38:38-03","E","E","151993","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","Dusen, P.","7762","1909","01","07","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:160235","<a href=http://data.rbge.org.uk/herb/E00151993 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","622458","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","P. K. H. Dusén","7762","1909","01","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373951' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622458","Magnoliophyta","Poales","R.Br.","H. T. O'Neill","Paraná","Pinhais in paludosis.","-49.17","-25.42","NY00622458_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","568686","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","S. Tsugaru","B-2174","1987","11","22","South America","Brazil","sheet",NA,"Herb. Oomoto Kameyama Botanical Garden <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568686","Magnoliophyta","Poales","R.Br.","G. C. Tucker","São Paulo","Near Cargo do Meio, 50 km NW from Sao José do Rio Preto.","-49.6397","-20.6203","NY00568686_01","Tanabi","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-19 10:00:00-02","NY","NYBG","668625","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","E. M. Zardini","24971","1990","12","07","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373949' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668625","Magnoliophyta","Poales",NA,"G. C. Tucker","Central","Estero del Ypoá, 10 km SW of Nueva Italia, south of Cañada, 1 km from the coast.","-57.47","-25.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00925511","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","H. S. Irwin","26999","1970","03","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999001' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925511","Magnoliophyta","Poales","R.Br.","E. R. Guaglianone","Minas Gerais","Ca. 3 km S. of Joaquim Felício, E. base of Serra do Cabral","-44.1708333","-17.7588","NY00925511_01","Joaquim Felício","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00925509","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","G. G. Hatschbach","30528","1972","10","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998994' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925509","Magnoliophyta","Poales","R.Br.",NA,"Mato Grosso do Sul","Rio Verde.","-52.0367","-21.2558","NY00925509_01","Brasilândia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","622457","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","T. M. Koyama","13820","1970","03","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622457","Magnoliophyta","Poales","R.Br.","G. C. Tucker","Paraná","Road PR 5.","-49.7156","-25.7697","NY00622457_01","Lapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-10-19 10:00:00-02","NY","NYBG","668626","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","G. W. Harling","21826","1985","02","08","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373948' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668626","Magnoliophyta","Poales",NA,"G. C. Tucker","Loja","Nudo de Sabanilla, W slope on road to Yangana - Valladolid.",NA,NA,NA,NA,"2400","2400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","668628","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides bromoides","B. Rambo","36650","1938","01","26","South America","Brazil","sheet",NA,"Ex Herb. M. Barros <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349199' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668628","Magnoliophyta","Poales","(Link) C.B.Clarke","M. Barros","Rio Grande do Sul","Porto Alegre, Cambara.","-50","-29","NY00668628_01",NA,NA,NA,"bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","622456","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","G. G. Hatschbach","23990","1970","03","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373945' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622456","Magnoliophyta","Poales","R.Br.","T. M. Koyama","Paraná","Rod. do Xisto","-49.5344","-25.6758","NY00622456_01","Contenda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00925508","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","W. R. Anderson","7456","1973","03","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998990' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925508","Magnoliophyta","Poales","R.Br.",NA,"Goiás","Chapada dos Veadeiros, 9 km by road S of Terezina.","-47.2647","-13.85775","NY00925508_01","Teresina de Goiás","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","668627","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","R. A. Pursell","9369","1967","06","21","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373944' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668627","Magnoliophyta","Poales","R.Br.","T. M. Koyama","Monagas","Bare area along Rio Tonoro ca. 15 km s.s.w. (35° W of S) of Santa Barbara.",NA,NA,NA,NA,"220","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
