"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:32-03","E","E","84490","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","Munhoz, C.","260","1995","05","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:93673","<a href=http://data.rbge.org.uk/herb/E00084490 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:32-03","E","E","207070","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","Proenca, C.; Oliveira, R.S.","295","1998","04","01","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217980","<a href=http://data.rbge.org.uk/herb/E00207070 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00207070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:32-03","E","E","43512","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","Stannard, Brian L.","37","1984","03","06","W. Tropical South America","VE","herbarium specimen of unspecif","BGBASE:50927","<a href=http://data.rbge.org.uk/herb/E00043512 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00043512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:32-03","E","E","84492","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","Munhoz, C., Silva, S.R. & Ribeiro, J.F.","231","1995","03","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:93677","<a href=http://data.rbge.org.uk/herb/E00084492 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","909895","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","H. S. Irwin","27718","1970","03","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982677' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909895","Magnoliophyta","Myrtales","(Aubl.) Naudin","J. J. Wurdack","Minas Gerais","Serra do Espinhaço, Ca. 23 km E. of Diamantina","-43.5028","-18.162","900","900","NY00909895_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 00:00:00-03","NY","NYBG","1289663","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","M. G. da Silva","4911","1979","06","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1759110' target='other'> <mi>dwc_moreinfo</mi></a>","NY01289663","Magnoliophyta","Myrtales",NA,"M. G. da Silva","Rondônia","Vilhena, beira da estrada para Porto Velho",NA,NA,NA,NA,"NY01289663_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1289669","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","G. T. Prance","15687","1971","10","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1759116' target='other'> <mi>dwc_moreinfo</mi></a>","NY01289669","Magnoliophyta","Myrtales","(Aubl.) Naudin","J. J. Wurdack","Amazonas","Road from Camanaus to Uaupés.","-67.005921","-0.1518397",NA,NA,"NY01289669_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02713546","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","M. J. M. Christenhusz","2051","2002","09","08","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3016474' target='other'> <mi>dwc_moreinfo</mi></a>","NY02713546","Magnoliophyta","Myrtales","(Aubl.) Naudin",NA,"San Martín","Carachamera, a few Houses along the Tarapoto-Yurimaguas road, Roadside vegetation","-76.25","-6.43","600",NA,"NY02713546_01","San Martín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1289650","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","B. Maguire","34964","1953","04","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1759098' target='other'> <mi>dwc_moreinfo</mi></a>","NY01289650","Magnoliophyta","Myrtales","(Aubl.) Naudin","J. J. Wurdack","Amazonas","Rio Negro. 75 meters south of Brazil-Venezuela boundary marker.",NA,NA,"100",NA,"NY01289650_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","478088","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","R. M. Harley","21860","1980","04","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376959' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478088","Magnoliophyta","Myrtales","(Aubl.) Naudin","J. J. Wurdack","Bahia","Chapadao Ocidental da Bahia, 12 km N of Correntina, on the road to Inhúmas","-44.67","-13.25","600","600","NY00478088_01","Correntina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","221650","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa ovata",NA,NA,NA,NA,NA,"South America","Brazil","sheet",NA,"Probably Pohl 1183 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=427207' target='other'> <mi>dwc_moreinfo</mi></a>","NY00221650","Magnoliophyta","Myrtales","Cogn.",NA,NA,"Pl. Bras. occid. Tamberlik",NA,NA,NA,NA,"NY00221650_01",NA,"ovata","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","4218360","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","F. Almeda","7827","1998","06","08","South America","Brazil","Sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451219' target='other'> <mi>dwc_moreinfo</mi></a>","NY04218360","Magnoliophyta","Myrtales","(Aubl.) Naudin",NA,"Minas Gerais","Estrada para Biribiri, ca. 6km de Diamantina.","-43.61666667","-18.28333333",NA,NA,NA,"Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02713549","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","O. Huber","7920","1983","06","27","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3016477' target='other'> <mi>dwc_moreinfo</mi></a>","NY02713549","Magnoliophyta","Myrtales","(Aubl.) Naudin",NA,"Bolívar","sabana arbustiva sobra glacis a unos 3 km al SW de Peray-tepui, en el camino Santa Elena- Icabaru","-61.52","4.53","1000",NA,"NY02713549_01","Roscio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","02713548","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","S. Elcoro","774","1990","06",NA,"South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3016476' target='other'> <mi>dwc_moreinfo</mi></a>","NY02713548","Magnoliophyta","Myrtales","(Aubl.) Naudin",NA,"Bolívar","ASC. Farreras Maripa- Aripao","-65.33","7.48","80",NA,"NY02713548_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","478087","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","E. P. Heringer","8288-482","1961","04","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376958' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478087","Magnoliophyta","Myrtales","(Aubl.) Naudin","J. J. Wurdack","Distrito Federal","Horto do Guará","-47.9294","-15.7797",NA,NA,"NY00478087_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","909901","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","H. S. Irwin","6574","1964","10","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982699' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909901","Magnoliophyta","Myrtales","(Aubl.) Naudin","J. J. Wurdack","Mato Grosso","Ca. 1 km. N.E. of Garapú.","-52.57","-13.18","300","400","NY00909901_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1289658","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","J. M. Pires","1900","1947",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1759105' target='other'> <mi>dwc_moreinfo</mi></a>","NY01289658","Magnoliophyta","Myrtales","(Aubl.) Naudin","J. J. Wurdack","Amazonas","Bacia do alto Rio Negro.",NA,NA,NA,NA,"NY01289658_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
