"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","country","county","year","month","day","stateProvince","preparationType","locality","occurrenceRemarks","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","barcode","imagecode","continentOcean"
"1","2021-01-14 15:23:13-03","MN","R","217065","PreservedSpecimen","Plantae","Araceae","Lemna","arrhiza","Lemna arrhiza","L.","Bureau, L.E.","1865","07","23","Netto, L.S.M.","4116","França","Loire Inferieure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:23:13-03","MN","R","105007","PreservedSpecimen","Plantae","Araceae","Wolffia","arrhiza","Wolffia arrhiza","(L.) Horkel ex Wimm.",NA,NA,NA,NA,"Mason, H.L.","14629","Estados Unidos","Condado de Shasta","1955","06","08","Califórnia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:23:13-03","MN","R","217174","PreservedSpecimen","Plantae","Araceae","Wolffia","arrhiza","Wolffia arrhiza","(L.) Horkel ex Wimm.",NA,NA,NA,NA,"Podpera, J.","1188","República Tcheca","Moravia","1936","06","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:23:13-03","MN","R","217499","PreservedSpecimen","Plantae","Araceae","Wolffia","arrhiza","Wolffia arrhiza","(L.) Horkel ex Wimm.",NA,NA,NA,NA,"Bove, C.P. 1788; Costa, W.",NA,"Brasil","Búzios","2006","11","03","Rio de Janeiro","Álcool 70%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:23:13-03","MN","R","223836","PreservedSpecimen","Plantae","Araceae","Wolffia","arrhiza","Wolffia arrhiza","(L.) Horkel ex Wimm.","Lourenço, A.R.",NA,NA,NA,"Lourenço, A.R.","72","Brasil","Cachoeira de Macacu","2015","06","29","Rio de Janeiro",NA,"Guapiaçu","Cobrindo toda a superfície do lago",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-19 10:22:44-03","CPAP","CPAP","10870","PreserverdSpecimen","Plantae","Araceae","Wolffia","arrhiza","Wolffia arrhiza","L.","A. M. Giulietti",NA,NA,NA,"Eysink, G.","s/n","Brasil","Pindamonhangaba","1984","08","01","SP",NA,"Lagoa da firma Vibasa","Erva aquática flutuante livre. FREQUÊNCIA: Abundante. AMBIENTE: Lagoa.","-45.4599990844727","-22.9200000762939","24176","auto",NA,NA,NA,NA
"7","2020-11-19 10:22:44-03","CPAP","CPAP","18910","PreserverdSpecimen","Plantae","Araceae","Wolffia","arrhiza","Wolffia arrhiza","L.","V. J. Pott","1998","06",NA,"Faria, A. D.","97/367","Brasil","Itapetininga","1997","02","24","SP",NA,"SP-127, margem da rodovia, em lagoa próxima a ponte sobre o rio Turvo","Erva aquática. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Lagoa. SUBSTRATO: . RELEVO: .","-48.0499992370605","-23.5900001525879","40712","auto",NA,NA,NA,NA
"8","2020-11-19 10:22:44-03","CPAP","CPAP","18909","PreserverdSpecimen","Plantae","Araceae","Wolffia","arrhiza","Wolffia arrhiza","L.","V. J. Pott","1998","06",NA,"Faria, A. D.","96/498","Brasil","Sete Barras","1996","12","15","SP",NA,"Estrada Juquia - Sete Barras, km27/28","Erva aquática. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Lago. SUBSTRATO: . RELEVO: .","-47.9199981689453","-24.3799991607666","34059","auto",NA,NA,NA,NA
"9","2020-02-18 09:32:00-03","UNICAMP","UEC","100331","S","Plantae","Araceae","Wolffia","arrhiza","Wolffia arrhiza","(L.) Horkel ex E.Wimm.",NA,NA,NA,NA,"Faria, AD; Matsumoto, K; Aona, LYS; Galvão, JC; Belinello, R; Feres, FR","96/498","Brazil","Sete Barras","1996","12","15","São Paulo",NA,"Estrada Juquiá- Sete Barras, Km 27/28.",NA,"-47.9199981689453","-24.3799991607666","34059","auto","Liliopsida","UEC039619","UEC039619",NA
"10","2020-02-10 17:48:49-03","UNICAMP","UEC","100332","S","Plantae","Araceae","Wolffia","arrhiza","Wolffia arrhiza","(L.) Horkel ex E.Wimm.",NA,NA,NA,NA,"Faria, AD; Matsumoto, K; Galvão, JC; Belinello, R","97/367","Brazil","Sete Barras","1997","02","24","São Paulo",NA,"Estrada Juquiá- Sete Barras, Km 27/28.",NA,"-47.9199981689453","-24.3799991607666","34059","auto","Liliopsida","UEC039622","UEC039622",NA
"11","2017-09-11 17:07:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Araceae","Wolffia","arrhiza","Wolffia arrhiza","(L.) Horkel ex Wimm.",NA,NA,NA,NA,"Glaziou, AFM","3267","Brazil",NA,NA,NA,NA,"Rio de Janeiro",NA,"Crescit praeterea in India occidentali; in orbis veteris regionibus temperatis et calidis late dispersa.",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America"
