"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","yearIdentified","coordinatePrecision","individualCount","geoFlag","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","885201","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","stipularis","Couepia stipularis","Ducke","G. T. Prance","W. A. Ducke","1755","1945","09","14","South America","Brazil","Amazonas","Manaus","Silva tenuis altis ultra flores.","-60.0134075","-3.0587534","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885201","NY00885201_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","428143","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","stipularis","Couepia stipularis","Ducke",NA,"W. A. Ducke","35583","1937","04","17","South America","Brazil",NA,NA,"Manaos","-59.9953079","-3.0673242","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=660573' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428143","NY00428143_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","901701","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","stipularis","Couepia stipularis","Ducke","G. T. Prance","W. A. Ducke","1755","1945","09","14","South America","Brazil","Amazonas","Manaus","Silva tenuis altis ultra flores.","-60.0134075","-3.0587534","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982632' target='other'> <mi>dwc_moreinfo</mi></a>","NY00901701","NY00901701_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:36:47-03","EAO","IAN","12383","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Chrysobalanaceae","Couepia","stipularis","Couepia stipularis","Ducke",NA,"Ducke, A","1755",NA,NA,NA,"Southern America","Brasil","Amazonas",NA,"Mata de terras altas A nordeste de Flores",NA,NA,NA,"Arvore grande , flor verde ,petalas e estames Brancas","IAN012383","IAN012383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:45:23-03","NBC","NL-BOTANY","U 0001085","PreservedSpecimen","Plantae",NA,"Malpighiales","Chrysobalanaceae","Couepia","stipularis","Couepia stipularis","Ducke","Ducke A","Ducke A",NA,"1937","04","17","Southern America","Brazil","Amazonas",NA,"Manáos, silva terris altis ultra Flores","-60.025278","-3.113333",NA,"silva terris altis ultra<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200001085 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0001085","NL-U0001085","isotype","Magnoliopsidae","-60.025278","-3.113333","41321 A",NA,NA,NA,NA,NA,NA,NA
"6","2015-10-02 02:25:42-03","MNHN","RECOLNAT_MNHN_P","P00741114","PreservedSpecimen",NA,NA,NA,"Chrysobalanaceae","Couepia","stipularis","Couepia stipularis","Ducke","Ducke","Ducke, A.",NA,"1937","4","17",NA,"Brésil",NA,NA,"Manaos, silva terris altis ultra Flores",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00741114' target='other'> <mi>dwc_moreinfo</mi></a>","P00741114","P00741114_01","isotype",NA,NA,NA,NA,"35583",NA,NA,NA,NA,NA,NA
"7","2020-08-31 09:00:49-03","INPA","INPA","15954","S","Plantae","Dicotyledon Com-Clade","Malpighiales","Chrysobalanaceae","Couepia","stipularis","Couepia stipularis","Ducke","Ducke, A","Ducke, A","JB35583","1937","04","17","Southern America","Brasil","Amazonas","Manaus","Flores, Ao NE de Flores. Mata de terra firme, alta. Solo argiloso.","-60.033333","-3.416667",NA,NA,"INPA0015954","INPA0015954 INPA0015954_e INPA0015954_e1","isotype",NA,"-60.033333","-3.416667",NA,NA,"1938",NA,NA,NA,NA,NA
"8","2021-01-10 20:45:02-03","INPA","INPA","16056","Dupli","Plantae","Dicotyledon Com-Clade","Malpighiales","Chrysobalanaceae","Couepia","stipularis","Couepia stipularis","Ducke","Ducke, A","Ducke, A","JB35583","1937","04","17","Southern America","Brasil","Amazonas","Manaus","Flores, Ao NE de Flores. Mata de terra firme, alta. Solo argiloso.","-60.033333","-3.416667",NA,NA,"INPA0016056","INPA0016056 INPA0016056_d INPA0016056_e INPA0016056_e1","isotype",NA,"-60.033333","-3.416667",NA,NA,"1938",NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","1908232","PreservedSpecimen","Plantae",NA,"Rosales","Rosaceae","Couepia","stipularis","Couepia stipularis","Ducke",NA,"A. Ducke","1755","1945","9","14","South America - Neotropics","Brazil","Amazonas","Manaus","A nordeste de Flores","-60.0250015258789","-3.10193991661072",NA,NA,"US01856255","US01856255_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA,"138090","1","auto",NA,NA
"10","2020-09-12 05:00:02-03","US","US","1740725","PreservedSpecimen","Plantae",NA,"Rosales","Rosaceae","Couepia","stipularis","Couepia stipularis","Ducke",NA,"A. Ducke","35583","1937","4","17","South America - Neotropics","Brazil","Amazonas",NA,"Manaos.",NA,NA,NA,NA,"US00130950","US00130950_01","Isotype","Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
