"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","month","day","yearIdentified","locality","decimalLongitude","decimalLatitude","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","infraspecificEpithet","individualCount","class","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","686550","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates","B. Gates","L. Riedel","1036","1832","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834886' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686550","NY00686550_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","442427","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates","B. Gates","L. Riedel","1037","1832","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83686' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442427","NY00442427_01 NY00442427_02","10","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","442428","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates","B. Gates","L. Riedel","1037","1832","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83687' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442428","NY00442428_01 NY00442428_02","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:31:30-03","MN","R","7863","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A. Juss.) B. Gates","Gates, B.","Glaziou, A.F.M.","8587","1876",NA,"Brasil","Rio de Janeiro",NA,"Plantas do Brasil Central","R000007863","R000007863_001","10","12","1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0025903","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates","W. R. Anderson","G. Hatschbach; A. C. Cervi, J. M. Silva","58040","1992",NA,"Brazil","Espirito Santo",NA,"PMC-DPP 004; Trepadeira lenhosa, flor amarela.",NA,NA,"10","14",NA,"Ligacao Rod. BR-101 a Ponta do Ipiranga (mun. Sao Mateus) Espirito Santo, Brazil","-39.859389","-18.716712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-04-27 16:10:17-03","UFES","VIES","12628","S","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates","Barros, P.H.D.","Barros, P.H.D.; Cardoso, W.C. & Firmino, A.D.","227","2013",NA,"Brasil","Espírito Santo",NA,NA,"VIES012628","VIES012628","08","28","2013","Campus da UFES - Goiabeiras.","-40.3377990722656","-20.3194007873535","08","28","Vitória","15291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:32:32-03","MBM","MBM","426115","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates","Almeida, R.F.","Lozano, E.D.; Daniel, V.A.; Girão, V.J.; Daniel, V.A.; Girão, V.J.","3970","2017","Southern America","Brazil","Espírito Santo",NA,"Trepadeira, flores creme, borda de mata secundária. Prensada com álcool.; Restinga.","MBM426115",NA,"10","20","2017","Itaúnas, Área de Restauração Natural da Fibria","-39.736778","-18.490833",NA,NA,"Conceição da Barra",NA,NA,"-39.736778","-18.490833",NA,NA,NA,NA,NA,NA,NA
"8","2015-09-28 14:46:09-03","MNHN","RECOLNAT_MNHN_P","P00673682","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Banisteria","sellowiana","Banisteria sellowiana","A.Juss.",NA,"s.c.",NA,NA,NA,"[Brésil]",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00673682' target='other'> <mi>dwc_moreinfo</mi></a>","P00673682","P00673682_01",NA,NA,NA,"s.l.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA,NA,NA,NA
"9","2015-11-07 00:50:37-02","MNHN","RECOLNAT_MNHN_P","P02429033","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates",NA,"Blanchet, J.S.",NA,"1838",NA,"Brésil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02429033' target='other'> <mi>dwc_moreinfo</mi></a>","P02429033","P02429033_01",NA,NA,NA,"Mont de la Jacobine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2576",NA,NA,NA,NA,NA
"10","2015-11-07 00:52:12-02","MNHN","RECOLNAT_MNHN_P","P02429034","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates",NA,"Blanchet, J.S.",NA,"1838",NA,"Brésil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02429034' target='other'> <mi>dwc_moreinfo</mi></a>","P02429034","P02429034_01",NA,NA,NA,"Mont de la Jacobine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2576",NA,NA,NA,NA,NA
