"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","class","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2020-09-23 10:37:43-03","E","E","202849","PreservedSpecimen","Plantae","Compositae","Ichthyothere","agrestis","Ichthyothere agrestis","Proença, C.","2090","1999","07","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217303","<a href=http://data.rbge.org.uk/herb/E00202849 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","797835","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","agrestis","Ichthyothere agrestis","B. Maguire","57006","1963","10","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=434743' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797835","Magnoliophyta","Asterales","Baker","G. M. Barroso","Distrito Federal","Brasília","30 km north of Brasilia, Corrego Sobradinho, Farm N° 19","-47.9294","-15.7797","NY00797835_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00856276","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","agrestis","Ichthyothere agrestis","H. S. Irwin","7908","1965","08","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938154' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856276","Magnoliophyta","Asterales","Baker","G. M. Barroso","Distrito Federal","Brasília","Parque Nacional de Brasília","-47.9297","-15.7797","NY00856276_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","797838","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","agrestis","Ichthyothere agrestis","I. Mimura","527","1962","08","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=434745' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797838","Magnoliophyta","Asterales","Baker","J. J. Wurdack","São Paulo","Sao José dos Campos","Ca. 8,8 km SSE em linha reta da praça principal de Sao José dos Campos","-45.88","-23.1703","NY00797838_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00856275","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","agrestis","Ichthyothere agrestis","J. A. Ratter","3692","1972","09","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938149' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856275","Magnoliophyta","Asterales","Baker",NA,"Distrito Federal","Brasília","Close to the Campus of University of Brasília.","-47.9294","-15.7797","NY00856275_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00856273","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","agrestis","Ichthyothere agrestis","H. S. Irwin","8996","1965","10","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856273","Magnoliophyta","Asterales","Baker","G. M. Barroso","Distrito Federal","Brasília","3 km S. of Sobradinho","-47.8167","-15.66041","NY00856273_01","1075","1075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","797837","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","agrestis","Ichthyothere agrestis","O. Handro","158","1950","01","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=434746' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797837","Magnoliophyta","Asterales","Baker","Graziela","São Paulo","Sao Paulo","Jabaquara","-46.63","-23.5403","NY00797837_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","797836","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","agrestis","Ichthyothere agrestis","B. Maguire","57006","1963","10","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=434744' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797836","Magnoliophyta","Asterales","Baker","G. M. Barroso","Distrito Federal","Brasília","30 km north of Brasilia, Corrego Sobradinho, Farm N° 19","-47.9294","-15.7797","NY00797836_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00856267","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","integrifolia","Ichthyothere integrifolia","H. S. Irwin","6224","1964","09","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937933' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856267","Magnoliophyta","Asterales","(DC.) Baker","H. Robinson","Distrito Federal","Brasília","Ca. 20 km. E. of Brasília, nr. Sobradinho.","-47.82","-15.65","NY00856267_01","700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00856268","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","integrifolia","Ichthyothere integrifolia","H. S. Irwin","6703","1964","10","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937939' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856268","Magnoliophyta","Asterales","(DC.) Baker","H. Robinson","Mato Grosso",NA,"Ca. 75 km. N. of Xavantina.","-52.3657","-13.585","NY00856268_01","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
