"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","dayIdentified","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","798941","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Steyermarkina","dispalata","Steyermarkina dispalata","(Gardner) R.M.King & H.Rob.","A. P. Duarte","4980","1959","08","18","South America","Brazil","Rio de Janeiro","Estado da Guanabara, entre Mesa do Imperador e Alto da Boa Vista","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441133' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798941","NY00798941_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","798942","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Steyermarkina","dispalata","Steyermarkina dispalata","(Gardner) R.M.King & H.Rob.","A. P. Duarte","4942","1959","06","28","South America","Brazil","Rio de Janeiro","Estado da Guanabara, entre Mesa do Imperador e Alto da Vista","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441134' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798942","NY00798942_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:11:18-03","UFBA","ALCB","129633","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Steyermarkina","dispalata","Steyermarkina dispalata","(Gardner) R.M.King & H.Rob.","Martnelli, G; Maurenza, D; Maurenza, D; Negrão, L; Moraes, M","19389","2016","08","10","Southern America","Brasil","Rio de Janeiro","Área de proteção Ambiental de Macaé de Cima. Macaé de Cima, nascente do Rio das Flores, acima do Sítio Sophoronitis.",NA,"robusta, ciófila, folhas verdes, discolores, flores alvacentas com pedicelo verde, receptáculo verde.; Mata atlântica.","ALCB047283","ALCB047283","Roque, N","2017","08","Nova Friburgo","-42.521944","-22.436111","-42.521944","-22.436111","1000","1000",NA,NA,NA,NA,NA
"4","2019-11-21 14:32:14-03","UFJF","CESJ","22545","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Steyermarkina","dispalata","Steyermarkina dispalata","(Gardner) R.M.King & H.Rob.","L. Krieger; et al.","CESJ22545","1988","09","07","América do Sul","Brasil","Minas Gerais",NA,NA,"Cipó robusto, em encosta de montanha, no vale, frequente.","CESJ022545",NA,"A.C. Fernandes","2011","10","Rio Preto","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"20815","auto",NA,NA,NA
"5","2021-03-01 16:25:19-03","UNICAMP","UEC","1881","S","Plantae","Magnoliopsida",NA,"Asteraceae","Steyermarkina","dispalata","Steyermarkina dispalata","(Gardner) R.M.King & H.Rob.","Duarte, AP","4980","1959","08","18",NA,"Brazil","Rio de Janeiro","Estado da Guanabara. Entre Mesa do Impedador e Alto da Boa Vista.",NA,"Planta ascendente, flexuosa com 6 a 8 metros de alt.","UEC130573","UEC130573","Esteves, RL","2002","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA
"6","2020-12-21 16:17:23-03","MBM","MBM","346733","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Steyermarkina","dispalata","Steyermarkina dispalata","(Gardn.) R.M.King & H. Rob.","Krieger, L.; et al.; et al.","22545","1988","09","07","Southern America","Brazil","Minas Gerais",NA,NA,"Cipó robusto, em encosta de montanha, no vale, frequente","MBM346733","MBM346733","Ribas, O.S.","2009","06","Rio Preto","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"20815","auto","08",NA,NA
"7","2020-09-12 05:00:02-03","US","US","2650242","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Steyermarkina","dispalata","Steyermarkina dispalata","(Gardner) R.M. King & H. Rob.","A. P. Duarte","4980","1959","8","18","South America","Brazil",NA,"Brasil, Estado da Guanabara, entre Mesa do Imperador e Alto da Boa Vista",NA,NA,"US01665234","US01665234_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"8","2020-09-12 05:00:02-03","US","US","3724924","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Steyermarkina","dispalata","Steyermarkina dispalata","(Gardner) R.M. King & H. Rob.","G. Martinelli, D. Maurenza, R. Negrão & M. Moraes","19389","2016","8","10","South America - Neotropics","Brazil","Rio de Janeiro","Nova Friburgo. Area de Protecao Ambiental de Macae de Cima. Macae de Cima, nascente do Rio das Flores, acima do Sitio Sophronitis",NA,NA,"US01274902","US01274902_01","Roque, N.",NA,NA,NA,"-42.5219","-22.4361",NA,NA,"1000",NA,NA,NA,NA,"Dicotyledonae","1"
"9","2020-09-12 05:00:02-03","US","US","3549031","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Steyermarkina","dispalata","Steyermarkina dispalata","(Gardner) R.M. King & H. Rob.","Glaziou, --","s.n.","1869",NA,NA,"South America","Brazil",NA,"Brésil",NA,NA,"US01665235","US01665235_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"10","2019-05-06 11:54:09-03","UFU","HUFU","32889","S","Plantae",NA,NA,"Asteraceae","Steyermarkina","dispalata","Steyermarkina dispalata","(Gardner) R.M.King & H.Rob.","Krieger, L.; Brugger, M.","22545","1988","09","07",NA,"Brasil","Minas Gerais",NA,NA,"Cipó robusto; Em encosta de montanha, no vale.","HUFU00055614","HUFU00055614","Nakajima, J.N.","2016","03","Rio Preto","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"20815","auto",NA,NA,NA
