"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","continentOcean","class","order","individualCount","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","preparationType","occurrenceRemarks","phylum","dayIdentified"
"1","2020-12-04 13:19:38-03","UDESC","LUSC","4262","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","alpinum","Piptochaetium alpinum","L.B.Sm.","Miquelluti, D.L.","Miquelluti, D.L.","13","2008","09","16","Brasil","Santa Catarina","Lages","Fazenda do Tanque.","-50.326099395752","-27.8160991668701","70701","LUSC007365","LUSC007365","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2018-06-22 05:24:00-03","MO","MOBOT","216323","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","alpinum","Piptochaetium alpinum","L.B. Sm.",NA,"Pe. Raulino Reitz|Roberto M. Klein","Reitz 7710","1958","12","10","Brazil",NA,NA,"Fazenda de Laranja, Bom Jardim, S. Joaquim",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2012-11-16 05:11:00-02","MO","MOBOT","2975045","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","alpinum","Piptochaetium alpinum","L.B. Sm.","A. Ciaedula","Ana Zanin","Zanin 68091","1987","12","18","Brazil","Rio Grande do Sul",NA,"Cambará do Sul, Itaimbezinha, RS.",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2009-11-23 17:57:00-02","MO","MOBOT","2975165","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","alpinum","Piptochaetium alpinum","L.B. Sm.","A. Cialdella","Hilda M. Longhi-Wagner","Longhi-Wagner 2121","1990","11","23","Brazil",NA,NA,"Estrada para Tainha + 20 km antes.",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","1297516","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","alpinum","Piptochaetium alpinum","L.B. Sm.",NA,"E. Gunther","54","1926",NA,NA,"Chile","Valparaíso (V)",NA,"Near Valparaiso.",NA,NA,NA,NA,NA,NA,"South America","Monocotyledonae","Cyperales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","2379514","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","alpinum","Piptochaetium alpinum","L.B. Sm.",NA,"R. Reitz & R. M. Klein","7710","1958","12","10","Brazil","Santa Catarina",NA,"Fazenda de Laranja, Bom Jardim, S. Joaquim.",NA,NA,NA,"US00140984","US00140984_01",NA,"South America","Monocotyledonae","Cyperales","1","Isotype","1400","1400",NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","2640934","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","alpinum","Piptochaetium alpinum","L.B. Sm.",NA,"Valls, -. Lindeman & A. Girardi","1875",NA,NA,NA,"Brazil","Rio Grande do Sul",NA,"Cambará do Sul, estrada Itaimbezinho-Azulega, km 5.",NA,NA,NA,NA,NA,NA,"South America","Monocotyledonae","Cyperales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-02 16:37:40-03","Cenargen","CEN","4141","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","alpinum","Piptochaetium alpinum","L.B.Sm.","J. Mujica-Sallés","José Francisco Montenegro Valls","1875","1971","12","03","Brasil","RS","CAMBARA DO SUL","Estrada Itaimbezinho - Azulega, km 5.","-50.1446990966797","-29.0478000640869","30776","CEN00004141","CEN00004141","auto",NA,NA,NA,"1",NA,NA,NA,"1990","12","Exsicatas","Em banhado com água corrente, Doação - Herb. U.F.R.G.S. - Porto Alegre. n°: 9677",NA,NA
"9","2020-08-20 20:41:41-03","UFSC","FLOR","35640","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","alpinum","Piptochaetium alpinum","L.B.Sm.","Longhi-Wagner, H.M.","Zanin, A.; Longhi-Wagner, H.M.; Souza, M.L. & Rieper, M.","1241","2006","12","06","Brasil","Santa Catarina","Urubici","Fazenda do Sr. Arno Philippe, campo entre a casa da Fazenda e a cachoeira atrás da casa, Campo dos Padres.","-49.5917015075684","-28.0149993896484","30102","FLOR0035640","FLOR0035640_01 FLOR0035640_02","auto",NA,NA,"Poales",NA,NA,NA,NA,"2006",NA,NA,"erva Habitat: campo pastejado",NA,NA
"10","2021-02-08 12:54:14-03","UFRGS","ICN","150622","S","Plantae","Poaceae","Piptochaetium","aff. alpinum","Piptochaetium aff. alpinum","L.B. Sm.","Longhi-Wagner, HM","Zanin, A; et al.","1241","2006","12","06","Brasil","SC","Urubici","Campo dos Padres Fazenda do Sr. Arno Philippe campo entre a casa da Fazenda e a cachoeira atrás da casa","-49.5917015075684","-28.0149993896484","30102",NA,NA,"auto","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Doação Herbário FLOR.; Erva.; Campo pastejado.","Monocotyledon",NA
