"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","652715","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","J. R. Swallen","W. Rodrigues","4291","1962","01","11","South America","Brazil","Rondônia","Forto Principe da Beira, local Baia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652715","NY00652715_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 12:04:00-03","NY","NYBG","652717","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","hylaeicum","Panicum hylaeicum",NA,"F. O. Zuloaga","O. Morrone","1075","1996","02","21","South America","Argentina","Misiones","Parque Prov. Teyú Cuaré, Peñón de la Reina Victoria","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652717",NA,"San Ignacio","-55.58","-27.27","240","240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1166566","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"J. M. Pires","52092",NA,NA,NA,"South America","Brazil","Amapá",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399827' target='other'> <mi>dwc_moreinfo</mi></a>","NY01166566","NY01166566_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1166567","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"E. A. Goeldi","119",NA,NA,NA,"South America","Brazil","Pará",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400315' target='other'> <mi>dwc_moreinfo</mi></a>","NY01166567","NY01166567_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","652716","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","E. J. Judziewicz","J. Jangoux","177","1978","12","04","South America","Brazil","Maranhão","Rio Alto Turiaçu, Nova Esperença","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381294' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652716","NY00652716_01","Pinheiro","-45.75","-2.92",NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","652714","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","E. J. Judziewicz","J. C. Lindeman","4322","1967","01","21","South America","Brazil","Paraná","Mouth of Rio Ivaí","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652714","NY00652714_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:30:30-03","UNESP-IBB","BOTU","16435","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Gemtchújnicov, I.D.",NA,"1976","06","10",NA,"Brasil","Amazonas","Margem do Rio Madeira",NA,NA,"BOTU016435",NA,"Humaitá",NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:53:49-03","EAO","IAN","117629","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Zuloaga, FO","Pires, JM; Cavalcante, PB","52092","1962","07","12","Southern America","Brasil","Amapá","Not in flowers, frequent in swampy savanna, along border of Rio Matapí.",NA,NA,"IAN117629",NA,NA,"-52.916667","-0.916667",NA,NA,"-52.916667","-0.916667","1988","12",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:53:49-03","EAO","IAN","100401","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Swallen, JR","3595","1934","02","18","Southern America","Brasil","Maranhão","Caxias to Barra do Corda. Decumbent base, edge of water hole.",NA,NA,"IAN100401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:53:49-03","EAO","IAN","100840","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Zuloaga, FO","Fróes, RL","34114","1958","03","01","Southern America","Brasil","Pará",NA,NA,"Arbustinho à beira do rio, frutos.","IAN100840",NA,NA,NA,NA,NA,NA,NA,NA,"1988","12",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:53:49-03","EAO","IAN","132959","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Zuloaga, FO","Serrão, A; Bulhosa, JA","18","1970","05","27","Southern America","Brasil","Pará","Fazenda Menino Jesus, Marajó. Planta coletada em campo de pastagem, terreno baixo.",NA,"Frutificação, sementes.","IAN132959",NA,NA,NA,NA,NA,NA,NA,NA,"1988","12",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:53:49-03","EAO","IAN","151163","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Rosa, NA; Coêlho, LF","561","1975","11","17","Southern America","Brasil","Amazonas","Rio Jutaí. Projeto RADAM.",NA,"Capim de 2m; frutos verdes.","IAN151163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:53:49-03","EAO","IAN","16268","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Fróes, RL","20549","1945","04","15","Southern America","Brasil","Amazonas","Rio Solimões.",NA,NA,"IAN016268","IAN016268 IAN016268_1 IAN016268_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:53:49-03","EAO","IAN","42693","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Fróes, RL","23787","1948","12","26","Southern America","Brasil","Amazonas","Rio Solimões; Igarapé Belém; silty soil, varzea of Solimões river.",NA,"Grass, growing.","IAN042693",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:53:49-03","EAO","IAN","42876","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Fróes, RL","23940","1949","01","16","Southern America","Brasil","Amazonas","Fóz do igarapé Jandiatuba.",NA,NA,"IAN042876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-30 12:53:49-03","EAO","IAN","43618","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Zuloaga, FO","Swallen, JR","6930","1943","12","06","Southern America","Brasil","Pará","Moist open ground Jacaré Bay, Rio Tapajós.",NA,NA,"IAN043618",NA,NA,NA,NA,NA,NA,NA,NA,"1988","12",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-30 12:53:49-03","EAO","IAN","51999","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Zuloaga, FO","Fróes, RL","25756","1950","01","31","Southern America","Brasil","Amapá","Beira do Rio Oiapoque; cachoeira do Carratá.",NA,"Capim na areia da praia.","IAN051999",NA,NA,"-52.916667","-0.916667",NA,NA,"-52.916667","-0.916667","1988","12",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-30 12:53:49-03","EAO","IAN","50161","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Pires, JM; Black, GA","1579 a","1949","07","30","Southern America","Brasil","Maranhão","Ilha dos Botes, a duas léguas de Carolina.",NA,NA,"IAN050161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:53:49-03","EAO","IAN","50941","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Fróes, RL; Black, GA","24422","1949","06","12","Southern America","Brasil","Pará","Rio Itacaiuna; capoeira São Domingos.",NA,"Anual; coletado por apresentar ataque de fungo.","IAN050941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:53:49-03","EAO","IAN","51102","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Fróes, RL; Black, GA","24551","1949","06","17","Southern America","Brasil",NA,"Rio Itacaiuna; Serubim.",NA,"Capim.","IAN051102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-30 12:53:49-03","EAO","IAN","52171","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Fróes, RL","25932","1950","02","08","Southern America","Brasil","Amapá","Rio Oiapoque; margem do rio.",NA,NA,"IAN052171",NA,NA,"-52.916667","-0.916667",NA,NA,"-52.916667","-0.916667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-30 12:53:49-03","EAO","IAN","53492","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Black, GA","8015","1949","07","05","Southern America","Brasil","Pará","Praia arenosa.",NA,"Perene, como taboca; panícula densa.","IAN053492",NA,"Jacundazinho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-30 12:53:49-03","EAO","IAN","52039","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Fróes, RL","25796","1950","02","01","Southern America","Brasil","Amapá","Rio Oiapoque; terra firme, baixa. À margem do rio.",NA,"Capim.","IAN052039",NA,NA,"-52.916667","-0.916667",NA,NA,"-52.916667","-0.916667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-30 12:53:49-03","EAO","IAN","58407","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Zuloaga, FO","Pires, JM; Black, GA","1975","1950","05","24","Southern America","Brasil","Amazonas","Ilha dos Botes, duas léguas abaixo de Carolina. Rio Tocantins.",NA,NA,"IAN058407",NA,NA,NA,NA,NA,NA,NA,NA,"1988","12",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-30 12:53:49-03","EAO","IAN","62748","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Chase, A","11099","1930","03","28","Southern America","Brasil","Mato Grosso",NA,NA,NA,"IAN062748","IAN062748 IAN062748_e IAN062748_e1","Porto Esperança",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-30 12:53:49-03","EAO","IAN","66235","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Zuloaga, FO","Sampaio, AJ de","5918","1928","12","29","Southern America","Brasil","Pará","Rio Cuminá; cachoeira do Jacaré e Zoado.",NA,NA,"IAN066235",NA,NA,NA,NA,NA,NA,NA,NA,"1988","12",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-30 12:53:49-03","EAO","IAN","74018","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Zuloaga, FO","Black, GA; Ledoux, PVD","14290","1952","04","26","Southern America","Brasil","Pará","Fazenda Tuiuiú, Rio Ararí; Ilha do Marajó.",NA,"Perene, à beira do rio.","IAN074018",NA,NA,NA,NA,NA,NA,NA,NA,"1988","12",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-30 12:53:49-03","EAO","IAN","75748","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Zuloaga, FO","Black, GA; Cordeiro, E","15005","1952","06","15","Southern America","Brasil","Rondônia","Rio Guaporé; Bahia do meio; campo dos amigos.",NA,"Taboca perene; aquática.","IAN075748",NA,NA,NA,NA,NA,NA,NA,NA,"1988","12",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-30 12:53:49-03","EAO","IAN","77541","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Zuloaga, FO","Black, GA","15474","1952","07","06","Southern America","Brasil","Pará","Cacaual Grande; canal do Piapó. Na terra do dique.",NA,NA,"IAN077541",NA,NA,NA,NA,NA,NA,NA,NA,"1988","12",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-30 12:53:49-03","EAO","IAN","77984","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Swallen, JR","Silva, JF da","344","1952","08","11","Southern America","Brasil","Rondônia","Rio Yata; campo.",NA,"Capim.","IAN077984",NA,NA,NA,NA,NA,NA,NA,NA,"1962",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:53:49-03","EAO","IAN","78059","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Zuloaga, FO","Silva, JF da","426","1952","08",NA,"Southern America","Brasil","Rondônia",NA,NA,NA,"IAN078059",NA,NA,NA,NA,NA,NA,NA,NA,"1988","12",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-30 12:53:49-03","EAO","IAN","82754","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Zuloaga, FO","Swallen, JR","6962","1944","06","02","Southern America","Brasil","Pará","In shallow water Ilha Marajó.",NA,NA,"IAN082754",NA,NA,NA,NA,NA,NA,NA,NA,"1988","12",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-30 12:53:49-03","EAO","IAN","83716","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Black, GA","16294","1954","06","01","Southern America","Brasil","Pará","Beira do Rio Mojú; fábrica e cercanías.",NA,"Perene; inflorescência escura.","IAN083716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-30 12:53:49-03","EAO","IAN","83719","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Black, GA","16298","1954","06","01","Southern America","Brasil","Pará","Beira do Rio Mojú, Fábrica e cercanías.",NA,"Capim escandente.","IAN083719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:53:49-03","EAO","IAN","95149","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Zuloaga, FO","sc","s.n.",NA,NA,NA,NA,"Guiana Francesa",NA,"Approuague carbet Crique Apoucin.",NA,NA,"IAN095149",NA,NA,NA,NA,NA,NA,NA,NA,"1988","12",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:53:49-03","EAO","IAN","166276","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Cordeiro, MR; Batista, J","2639","1997","04","26","Southern America","Brasil","Amapá","Fazenda São Bento. Bloco-5. Coleta feita às margens do Igarapé Euzébio.",NA,"Capim. Frutos verdes.","IAN166276",NA,"Macapá","-51.0663986206055","-0.366667002439499",NA,NA,NA,NA,NA,NA,"225229","auto",NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:53:49-03","EAO","IAN","70163","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Zuloaga, FO","Black, GA; Fróes, RL","12342","1951","07","18","Southern America","Brasil","Amapá","Igarapé do Lago. Em lugar encharcado.",NA,NA,"IAN070163",NA,"Macapá","-51.0663986206055","-0.366667002439499",NA,NA,NA,NA,"1988","12","225229","auto",NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:53:49-03","EAO","IAN","70201","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Zuloaga, FO","Black, GA; Fróes, RL","12365","1951","07","22","Southern America","Brasil","Amapá","Rio Aporema.",NA,"Trepadeira, dentro d'água.","IAN070201",NA,"Macapá","-51.0663986206055","-0.366667002439499",NA,NA,NA,NA,"1988","12","225229","auto",NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:53:49-03","EAO","IAN","62135","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Zuloaga, FO","Black, GA; Ledoux, PVD","10846","1950","11","18","Southern America","Brasil","Amazonas","Rio Jumundá; Aminarú-Assú.",NA,"Inflorescência delicada; aspecto de um trabalho de renda.","IAN062135","IAN062135 IAN062135_e IAN062135_e1","Parintins","-56.7358016967773","-2.62832999229431",NA,NA,NA,NA,"1988","12","80460","auto",NA,NA,NA,NA,NA,NA
"40","2021-03-30 12:53:49-03","EAO","IAN","42864","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Fróes, RL","23928","1949","01","14","Southern America","Brasil","Amazonas","Igarapé Jandiatuba. Border of river, varzea land.",NA,"Grass.","IAN042864",NA,"São Paulo de Olivença","-68.8724975585938","-3.37832999229431",NA,NA,NA,NA,NA,NA,"362329","auto",NA,NA,NA,NA,NA,NA
"41","2021-03-30 12:53:49-03","EAO","IAN","50119","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Pires, JM; Black, GA","1536","1949","07","29","Southern America","Brasil","Maranhão",NA,NA,"Inflorescência arroxeada; praia.","IAN050119",NA,"Carolina","-47.4693984985352","-7.33277988433838",NA,NA,NA,NA,NA,NA,"99438","auto",NA,NA,NA,NA,NA,NA
"42","2021-03-30 12:53:49-03","EAO","IAN","73786","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Ferreira, FA","s.n.","1951","02","22","Southern America","Brasil","Pará","I.A.N.",NA,NA,"IAN073786",NA,"Belém","-48.5043983459473","-1.4558299779892",NA,NA,NA,NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA
