"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","county","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1032226","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Octomeria","glazioviana","Octomeria glazioviana","Regel","F. C. Hoehne","G. F. J. Pabst","s.n.","1951","01","07","South America","Brazil","Rio de Janeiro","Tijuca, caminho do Pico da Tijuca","-43.296022","-22.95134","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192281' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032226","NY01032226_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1032225","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Octomeria","glazioviana","Octomeria glazioviana","Regel","G. F. J. Pabst","G. F. J. Pabst","1021","1951","04","22","South America","Brazil","Rio de Janeiro","Serra da Carioca, Estrada do Sumare",NA,NA,"600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192280' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032225","NY01032225_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:20:35-03","UFRJ","RFA","9861","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Octomeria","diaphana","Octomeria diaphana","Lindl.","G.F.J. Pabst","G.G. Hatschbach","23398","1970",NA,NA,NA,"Brasil","Paraná","Serra Ibitiraquire, Abrigo 1","-49.0553016662598","-25.3055992126465","1700","1700",NA,"Epífita, flor alva","RFA31721",NA,"1970","Campina Grande do Sul","55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:26:38-03","PUCPR","HUCP","17863","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Octomeria","diaphana","Octomeria diaphana","Lindl.","Kersten, RA","Kersten, RA","825","2004","03","02",NA,"Brasil","Paraná","Morro do Anhangava","-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,"HUCP00003273","HUCP00003273",NA,"Quatro Barras","17116","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:46:32-03","NBC","NL-BOTANY","L.1532130","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Octomeria","albopurpurea","Octomeria albopurpurea","Barb.Rodr.",NA,"Hatschbach GG",NA,"1962","10","28","Southern America","Brazil",NA,"Est Parana, Mun. Campina Gde. do Sul, Jaguatirica.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1532130 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1532130","NL-L1532130",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:46:32-03","NBC","NL-BOTANY","L.1532134","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Octomeria","diaphana","Octomeria diaphana","Lindl.",NA,"Hatschbach GG",NA,"1970","01","23","Southern America","Brazil",NA,"Serra Ibitiraquire, Ahrigo l (Mun. Campina Gde. do Sul) Parana. *.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1532134 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1532134","NL-L1532134",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:46:32-03","NBC","NL-BOTANY","L.1532135","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Octomeria","diaphana","Octomeria diaphana","Lindl.",NA,"Reitz R; Klein RM",NA,"1960","12","22","Southern America","Brazil",NA,"Santa Catarina. Monte Crista, Garuva, São Francisco do Sul.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1532135 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1532135","NL-L1532135",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 12:17:38-03","ESALQ","ESA","103314","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Octomeria","diaphana","Octomeria diaphana",NA,"Forster, W.","Proto, P.C.",NA,"1998","08","15",NA,"Brasil","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"ESA103314","ESA103314",NA,"Rio de Janeiro","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:17:38-03","ESALQ","ESA","99216","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Octomeria","diaphana","Octomeria diaphana",NA,"Neto, L.M.","Neto, L.M.","111.0","2004","02","06",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"ESA099216","ESA099216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 12:17:38-03","ESALQ","ESA","79884","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Octomeria","diaphana","Octomeria diaphana","Lindl.","Forster, W.","Savassi, A.P.; Silva, F.D.; Campos, L.M.; Duarte, A.R.; Arango, B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.","367.0","2002","04","24",NA,"Brasil","São Paulo","BLOQUEADO","-47.9900016784668","-23.8700008392334",NA,NA,NA,"Epífita a 2m de altura sobre árvore, coletada na borda da trilha. Botões florais branco-amarelados. Labelo com base vinácea e ápice branco-amarelado.","ESA079884","ESA079884","2002","São Miguel Arcanjo","27904","auto",NA,"04","02",NA,NA,NA,NA,NA,NA,NA
