"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2020-09-23 10:43:50-03","E","E","285297","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","lanceolata","Symplocos lanceolata","unspecified kind of","Martius","723","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:293388","<a href=http://data.rbge.org.uk/herb/E00285297 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","593427","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","lanceolata","Symplocos lanceolata",NA,"W. Ganev","3131","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593427","Magnoliophyta","Ericales","A.DC.","Y. B. Harvey","1994","04","26","Bahia","Abaíra","Serra da Serrinha, caminho Capâo-Serrinha-Bicota","-41.85","-13.33","1220","1450","NY00593427_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-02-01 13:40:00-02","NY","NYBG","486811","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","lanceolata","Symplocos lanceolata",NA,"T. Rojas","3735","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521251' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486811","Magnoliophyta","Ericales",NA,"S. R. Hill","1921","05",NA,NA,NA,"Rio verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","945365","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","lanceolata","Symplocos lanceolata",NA,"E. P. Heringer","10110","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032432' target='other'> <mi>dwc_moreinfo</mi></a>","NY00945365","Magnoliophyta","Ericales","A.DC.",NA,"1965","03","15","Distrito Federal","Brasília","Fundos do Colégio La Salle.","-47.9294","-15.7797",NA,NA,"NY00945365_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","945364","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","lanceolata","Symplocos lanceolata",NA,"R. de Mello-Silva","1166","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032425' target='other'> <mi>dwc_moreinfo</mi></a>","NY00945364","Magnoliophyta","Ericales","A.DC.","J. L. M. Aranha Filho","1996","06","15","Minas Gerais","Diamantina","Colinas a nordeste da cidade, Serra dos Cristais, Sítio Alto do Jacuba, a partir da rodovia para Mendanha (BR 367).","-43.6017","-18.2253","1220","1220","NY00945364_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","486795","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","lanceolata","Symplocos lanceolata",NA,"P. K. H. Dusén","2453","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521230' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486795","Magnoliophyta","Ericales","A.DC.","P. K. H. Dusén","1903","12","06","Paraná","Ponta Grossa","Capao Grande. Rio Iguassú","-50.1617","-25.095",NA,NA,"NY00486795_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","593428","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","lanceolata","Symplocos lanceolata",NA,"W. Ganev","599","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593428","Magnoliophyta","Ericales","A.DC.","Y. B. Harvey","1992","06","25","Bahia","Abaíra","Agua Limpa","-41.66","-13.25","1400","1400","NY00593428_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","593423","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","lanceolata","Symplocos lanceolata",NA,"W. Ganev","2167","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593423","Magnoliophyta","Ericales","A.DC.","Y. B. Harvey","1993","08","30","Bahia","Rio de Contas","Ladeira do Toucinho. Caminho Catolés-Arapiranga","-42.33","-13.83","1200","1200","NY00593423_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","486809","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","lanceolata","Symplocos lanceolata",NA,"G. G. Hatschbach","19640","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486809","Magnoliophyta","Ericales","A.DC.",NA,"1968","08","29","Paraná","Sao José dos Pinhais","Serra do Emboque","-49.2064","-25.5347","1000","1000","NY00486809_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","593429","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","lanceolata","Symplocos lanceolata",NA,"W. Ganev","3578","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521248' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593429","Magnoliophyta","Ericales","A.DC.","Y. B. Harvey","1994","07","18","Bahia","Abaíra","Bem-Querer - Garimpo da CIA","-41.88","-13.28","1200","1200","NY00593429_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
