"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","02681654","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Allagoptera","arenaria","Allagoptera arenaria","(Gomes) Kuntze","A. J. Castelo","29","2012","08","11","South America","Brazil","Rio de Janeiro","Arraial do Cabo","Praia da Figueira. Área de Proteção Ambiental de Massambaba","-42.203333","-22.942222","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2959250' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681654","NY02681654_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00568021","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Allagoptera","arenaria","Allagoptera arenaria","(Gomes) Kuntze","J. W. C. Harshberger","3249","1927","07","16","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Ipanema, Rio de Janeiro, Brazil","-43.2075","-22.9031","sheet","Harold N. Moldenke's name print in label, word collector crossed out <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=557807' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568021","NY00568021_01","M. Moraes Ramírez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00878983","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Allagoptera","arenaria","Allagoptera arenaria","(Gomes) Kuntze","W. W. Thomas","12698","2001","11","02","South America","Brazil","Bahia","Una","Fazenda Bolandeira, ca. 3 km N of Comandatuba on fazenda road paralleling canal between mainland and Ilha de Comandatuba","-39.000567","-15.309567","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=358890' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878983","NY00878983_01 NY00878983_02 NY00878983_03",NA,"5","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00568045","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Allagoptera","arenaria","Allagoptera arenaria","(Gomes) Kuntze","G. G. Hatschbach","46760","1983","08","06","South America","Brazil","Espírito Santo","Linhares","Ponta do Mansaraz.","-40.0719","-19.3911","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=557793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568045","NY00568045_01 NY00568045_02 NY00568045_03 NY00568045_04","M. Moraes Ramírez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","568079","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Allagoptera","arenaria","Allagoptera arenaria","(Gomes) Kuntze","A. Krapovickas","23166","1973","02","07","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Barra de Tijuca, Estado Guanabara","-43.369099","-22.995332","separate fruit","Mixed collection: Fruits are Allagoptera arenaria (Gomes) Kuntze. Revision of the genus Allagoptera det. Mónica Moraes R., June 1989. Leaves are A. campestris (C. Martius) Kuntze <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=557798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568079","NY00568079_01","S. F. Glassman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 15:05:00-03","NY","NYBG","00568049","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Allagoptera","arenaria","Allagoptera arenaria",NA,"J. R. Pirani","2894","1993","05","16","South America","Brazil","Rio de Janeiro","Arraial do Cabo","A 28 km do trevo de Cabo Frio, na Praia de Maçambaba. Area das Salinas PRING S:A.","-42.0278","-22.9661","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=557805' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568049","NY00568049_01 NY00568049_02 NY00568049_03 NY00568049_04 NY00568049_05 NY00568049_06 NY00568049_07 NY00568049_08 NY00568049_09","A. J. Henderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00568078","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Allagoptera","arenaria","Allagoptera arenaria","(Gomes) Kuntze","F. R. Fosberg","43379","1962","11","02","South America","Brazil","Rio de Janeiro","Barra de Tijuca",NA,NA,NA,"separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=557801' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568078","NY00568078_01","A. J. Henderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00568044","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Allagoptera","arenaria","Allagoptera arenaria","(Gomes) Kuntze","W. W. Thomas","11615","1997","07","18","South America","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal. North of Barra Velha.","-39.1442","-16.8753","packeted","Site: MP <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=557803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568044","NY00568044_01 NY00568044_02 NY00568044_03 NY00568044_04 NY00568044_05 NY00568044_06 NY00568044_07","A. J. Henderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 15:05:00-03","NY","NYBG","00568027","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Allagoptera","arenaria","Allagoptera arenaria",NA,"D. S. D. de Araújo","1580","1977","04","15","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Restinga de Marambaia","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=557792' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568027","NY00568027_01","M. Moraes Ramírez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 15:05:00-03","NY","NYBG","00568042","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Allagoptera","arenaria","Allagoptera arenaria",NA,"D. A. Folli","1103","1990","03","08","South America","Brazil","Espírito Santo","Linhares","Reserva Biológica de Comboios - IBAMA - Regência.","-40.0719","-19.3911","packeted","N° de Registro 2556 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=557806' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568042","NY00568042_01 NY00568042_02 NY00568042_03","A. J. Henderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
