"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem","infraspecificEpithet","sex"
"1","2020-09-23 10:39:17-03","E","E","161343","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","pilosa","Manihot pilosa","Kirkbride, J.H., Matsunaga Ono, E.K. & Ferreira, L.M.","3428","1980","02","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:169039","<a href=http://data.rbge.org.uk/herb/E00161343 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1550699","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","pilosa","Manihot pilosa","H. S. Irwin","20822","1968","02","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1825180' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550699","Magnoliophyta","Malpighiales","Pohl","D. J. Rogers","Minas Gerais","Serra do Espinhaço, at Lapinha, ca. 20km N. of Sêrro on road (MG 2) to Diamantina.","-43.57","-18.55","1200","1200","NY01550699_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1065184","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","pilosa","Manihot pilosa","A. C. Allem","3400","1986","02","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220830' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065184","Magnoliophyta","Malpighiales","Pohl","A. C. Allem","Minas Gerais","Ao longo do Estacinamento I da Gruta de Maquine.","-44.37","-19.17","750","750","NY01065184_01","Cordisburgo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1065185","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","pilosa","Manihot pilosa","Y. E. J. Mexia","4153","1929","12","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220876' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065185","Magnoliophyta","Malpighiales","Pohl","D. J. Rogers; S. G. Appan","Minas Gerais","Road from Viçosa to São Miguel, km. 20.",NA,NA,"600","600","NY01065185_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1018838","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","pilosa","Manihot pilosa","M. M. Saavedra","593","2007","11","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262904' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018838","Magnoliophyta","Malpighiales","Pohl","M. L. L. Martins","Minas Gerais","Fazenda Lagoa, RPPN do Instituto Sul Mineiro de Estudo e Conservação da Natureza.","-46.2653","-21.3661","844","844","NY01018838_01","Monte Belo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1550718","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","pilosa","Manihot pilosa","R. de S. Secco","173","1982","05","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1825309' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550718","Magnoliophyta","Malpighiales","Pohl","J. A. Kallunki","Pará","Marabá, N5, arredores do lago",NA,NA,NA,NA,"NY01550718_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1065534","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","pilosa","Manihot pilosa","H. M. Curran","617","1918","12","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237969' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065534","Magnoliophyta","Malpighiales","Pohl",NA,"Rio de Janeiro",NA,"-42.5308","-22.2819",NA,NA,"NY01065534_01","Nova Friburgo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1552385","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","pilosa","Manihot pilosa","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1941463' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552385","Magnoliophyta","Malpighiales","Pohl","D. J. Rogers",NA,NA,NA,NA,NA,NA,"NY01552385_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1550700","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","pilosa","Manihot pilosa","H. S. Irwin","19774","1968","02","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1825195' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550700","Magnoliophyta","Malpighiales","Pohl","D. J. Rogers","Minas Gerais","Serra do Itabirito, ca. 55 km S.E. of Belo Horizonte.","-43.8","-20.28","1500","1500","NY01550700_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","517902","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","pilosa","Manihot pilosa","W. W. Thomas","9060","1992","05","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=107815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517902","Magnoliophyta","Malpighiales","Pohl","R. L. Liesner","Bahia","Rd. from Olivença to Maruim, 6.1 km W of Olivença. Forest on N side of road","-39.05","-14.98",NA,NA,"NY00517902_01","Ilhéus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
