"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","relatedCatalogItem","occurrenceRemarks","barcode","imagecode","phylum","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","recordNumber","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","dayIdentified","typeStatus"
"1","2020-02-08 08:46:49-03","NBC","NL-BOTANY","U.1475082","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Orchidaceae","Rodrigueziella","jucunda","Rodrigueziella jucunda","(Rchb.f.) Garay","Pabst GFJ","Maas PJM; Martinelli G","1977","10","20","Southern America","Brazil","Rio de Janeiro","Edo. Rio de Janeiro, Mun. Terezopolis, Parque Nacional da Serra dos Orgaos, Rio Beijaflor.","U 0251102","Forest.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1475082 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1475082","NL-U1475082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:17:39-03","ESALQ","ESA","78489","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Rodrigueziella","handroi","Rodrigueziella handroi",NA,"Braga, P.I.","Krieger, L. et al.","1988","12","17",NA,"Brasil","Minas Gerais","BLOQUEADO",NA,NA,"ESA078489","ESA078489","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-07-05 11:14:18-03","FFCLRP","LBMBP","679","S","Plantae",NA,NA,"Orchidaceae","Gomesa","handroi","Gomesa handroi","(Hoehne) Pabst","E.R. Pansarin","E.R. Pansarin",NA,NA,NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,"Jundiaí","-46.883333","-23.183333","46°53'W","23°11'S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:20:10-03","UNICAMP","UEC","206504","S","Plantae",NA,NA,"Orchidaceae","Gomesa","jucunda","Gomesa jucunda","(Rchb.f.) M.W.Chase & N.H.Williams","Nunes, CEP","Nunes, CEP","2013","08","15",NA,"Brazil","São Paulo","Trilha do Ipiranga, Núcleo Santa Virgínia, Parque Estadual da Serra do Mar",NA,"Erva epífita.; Floresta Ombrófila Densa Sub-Montana.","UEC091667","UEC091667","Liliopsida","São Luiz do Paraitinga","-45.133333","-23.316667","-45.133333","-23.316667","2018","06","2013/62","80","1200",NA,NA,NA,NA
"5","2019-08-20 10:00:46-03","UNICAMP","UEC","161345","S","Plantae",NA,NA,"Orchidaceae","Gomesa","jucunda","Gomesa jucunda","(Rchb.f.) M.W.Chase & N.H.Williams","Meneguzzo, TEC","Sazima, I; Sazima, M","1978","06","30",NA,"Brazil","São Paulo","Cachoeira do Ipiranguinha",NA,NA,"UEC017504","UEC017504","Liliopsida","Ubatuba","-45.0699996948242","-23.4300003051758",NA,NA,"2015",NA,"8162",NA,NA,"34265","auto",NA,NA
"6","2020-10-14 10:04:22-03","FURB","FURB","36288","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Rodrigueziella","handroi","Rodrigueziella handroi","(Hoehne) Pabst","Caetano, JO","Caetano, J.O.","2011","08","19",NA,"Brasil","Santa Catarina","Próximo ao CEESAN Liberdade.",NA,NA,"FURB02863","FURB02863",NA,"Benedito Novo","-49.4286111","-26.7858333","-49.4286111","-26.7858333","2011","08",NA,"371","371",NA,NA,"19",NA
"7","2020-12-21 16:38:30-03","MBM","MBM","397559","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","handroi","Gomesa handroi","(Hoehne) Pabst","Ariati, V.","Augusto-Silva, M.","2012","08","21","Southern America","Brazil","Santa Catarina","Resgate de flora LT 230 kv Joinville Norte - Curitiba C2",NA,"Epífita.; Floresta Ombrófila Densa.","MBM397559","MBM397559",NA,"Garuva","-48.894708","-26.170406","-48.894708","-26.170406",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:38:49-03","MBM","MBM","397475","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Rodrigueziella","handroi","Rodrigueziella handroi","(Hoehne) Pabst","Ariati, V.","Ariati, V.; Detzel, L.; Detzel, L.","2012","08","25","Southern America","Brazil","Santa Catarina","Resgate de flora LT 230 kv Joinville Norte - Curitiba C2",NA,"Epífita com pétalas e sépalas verde-creme com três listras marrom na parte de fora. Labelo cor creme.; Floresta Ombrófila Densa. Estágio inicial-intermediário, próximo ao banhado.","MBM397475","MBM397475",NA,"Garuva","-48.8549995422363","-26.0266990661621",NA,NA,NA,NA,"816",NA,NA,"22441","auto",NA,NA
"9","2020-12-11 11:44:51-03","UFMG","BHCB","35219","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Rodrigueziella","handroi","Rodrigueziella handroi","(Hoehne) Pabst",NA,"Krieger, L","1988","12","17","Southern America","Brasil","Minas Gerais","Parque Nacional Caparaó .Corrego do Inácio",NA,"Epífita; A beira de riacho, local sombreado","BHCB029470",NA,"Monocotyledon","Caparaó","-41.9043998718262","-20.523099899292",NA,NA,NA,NA,"23277",NA,NA,"15056","auto",NA,NA
"10","2021-02-11 17:20:56-03","UFPR","UPCB","81219","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","handroi","Gomesa handroi","(Hoehne) Pabst","Grupo Verde & Temponi, L.","Dinato, D.O.","2012","10","22",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha Suspensa.",NA,"PRENSADO EM ÁLCOOL. Amostra em sílica. Mata Atlântica. Epífita, folhas papiráceas, brácteas no escapo verdes, brácteas das flores verdes com máculas roxas. Sépalas e pétalas verde amareladas com estrias vináceas externamente. Labelo","UPCB0029961","UPCB0029961",NA,"Teresópolis","-43.001","-22.271","-43.001","-22.271","2012","10","3","1146","1146",NA,NA,NA,NA
