"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","fieldNumber","month","day","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","county","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","386539","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","gracilis","Diplusodon gracilis","Koehne","isotype","G. Gardner","3155","1838","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386539","NY00386539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:43:20-03","EAO","IAN","18949","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lythraceae","Diplusodon","gracilis","Diplusodon gracilis","Koehne",NA,"Gardner, A","3155",NA,"Southern America","Brasil",NA,NA,NA,"IAN018949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-11-07 05:06:23-02","MNHN","RECOLNAT_MNHN_P","P01901900","PreservedSpecimen",NA,NA,NA,"Lythraceae","Diplusodon","gracilis","Diplusodon gracilis","Koehne","isotype","Gardner, G.",NA,"1841",NA,"Brésil","Province de Goyaz","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901900' target='other'> <mi>dwc_moreinfo</mi></a>","P01901900","P01901900_01","3155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-01-16 19:07:07-02","MNHN","RECOLNAT_MNHN_P","P01901901","PreservedSpecimen",NA,NA,NA,"Lythraceae","Diplusodon","gracilis","Diplusodon gracilis","Koehne","isotype","Gardner, G.",NA,"1841",NA,"Brésil","Province de Goyaz","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901901' target='other'> <mi>dwc_moreinfo</mi></a>","P01901901","P01901901_01","3155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-09-16 17:19:34-03","MNHN","RECOLNAT_MNHN_P","P01901902","PreservedSpecimen",NA,NA,NA,"Lythraceae","Diplusodon","gracilis","Diplusodon gracilis","Koehne","isotype","Gardner, G.",NA,"1841",NA,"Brésil","Province de Goyaz","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901902' target='other'> <mi>dwc_moreinfo</mi></a>","P01901902","P01901902_01","3155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2013-08-23 04:12:00-03","MO","MOBOT","3257986","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","gracilis","Diplusodon gracilis","Koehne",NA,"Taciana B. Cavalcanti","Cavalcanti 3489","2003","South America","Brazil","Mun: Dianopolis. Beira da estrada, apos lagoa Bonita. Ambiente: Cerrado. Relevo: Ondulado. Substrato: Arenoso.",NA,NA,NA,NA,NA,"9","29","Tocantins","-46.66305","-11.63694","626.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-02 16:31:34-03","Cenargen","CEN","61826","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","gracilis","Diplusodon gracilis","Koehne",NA,"Taciana Barbosa Cavalcanti","3535","2004",NA,"Brasil","Divisa TO/BA, km 8. Subida da serra.","Exsicatas","Folhas patentes. 12 estames.","CEN00061826","CEN00061826",NA,"09","01","TO","-47.348333","-12.353888","700","T. B. Cavalcanti","2007","02","TAGUATINGA","-47.348333","-12.353888","700","4",NA
"8","2020-09-02 16:31:34-03","Cenargen","CEN","52907","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","gracilis","Diplusodon gracilis","Koehne",NA,"Taciana Barbosa Cavalcanti","3243","2003",NA,"Brasil","Em encosta de morro.","Exsicatas","Flor 1,5 cm de diâmetro. Hipanto verde. Bracteolas e segmento do epicálice suberetos. 12 estames. Formando touceira.","CEN00052907","CEN00052907",NA,"09","28","TO","-46.330277","-11.598611","680","T. B. Cavalcanti","2007","04","DIANOPOLIS","-46.330277","-11.598611","680","10",NA
"9","2020-09-02 16:31:34-03","Cenargen","CEN","46980","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","gracilis","Diplusodon gracilis","Koehne",NA,"Taciana Barbosa Cavalcanti","3148","2003",NA,"Brasil","Estrada Taguatinga - Luis Eduardo Magalhães, 10 km do entroncamento.","Exsicatas","Folhas discolores. Ramos jovens creme e vináceos. Crescendo em área fechada em meio a cerrado alto.","CEN00046980","CEN00046980",NA,"01","28","TO","-46.338611","-12.348888","850","T. B. Cavalcanti","2007","02","TAGUATINGA","-46.338611","-12.348888","850","5",NA
"10","2020-09-02 16:31:34-03","Cenargen","CEN","52977","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","gracilis","Diplusodon gracilis","Koehne",NA,"Taciana Barbosa Cavalcanti","3489","2003",NA,"Brasil","Beira da estrada, após Lagoa Bonita.","Exsicatas",NA,"CEN00052977","CEN00052977",NA,"09","29","TO","-46.663055","-11.636944","626","T. B. Cavalcanti","2003",NA,"DIANOPOLIS","-46.663055","-11.636944","626","5",NA
"11","2020-09-02 16:31:34-03","Cenargen","CEN","53010","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","gracilis","Diplusodon gracilis","Koehne",NA,"Aldicir Osni Scariot","783","2003",NA,"Brasil","Encosta de morro.","Exsicatas",NA,"CEN00053010","CEN00053010",NA,"09","26","TO","-46.330555","-11.565277","720","T. B. Cavalcanti","2007","04","DIANOPOLIS","-46.330555","-11.565277","720","3",NA
"12","2020-09-02 16:31:34-03","Cenargen","CEN","74425","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","gracilis","Diplusodon gracilis","Koehne",NA,"Francisco das Chagas de Araujo Oliveira","1493","2009",NA,"Brasil","Bacia do Tocantins. Sub-bacia: Manuel Alves da Natividade (T-5, área 7, ponto 17a).","Exsicatas","Folha: SC-23-Y-C. Cerrado ralo/campo sujo, associado a morro com vegetação de transição (Área de Tensão). Estames amarelos. Projeto Mapeamento e Inventário do Estado do Tocantins. Doação do Herbário IBGE - Reserva Ecológica do IBGE. Plantas do Brasil - Tocantins. (70212)","CEN00074425","CEN00074425",NA,"07","03","TO",NA,NA,"634","T. B. Cavalcanti","2015","04","RIO DA CONCEICAO","-46740833.0","-11423055.0","634","1",NA
"13","2019-01-23 11:16:44-02","F","FMNH-SEEDPLANTS","V0076317F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lythraceae","Diplusodon","gracilis","Diplusodon gracilis",NA,"Isotype","G. Gardner","3155","1842","South America","Brazil",NA,NA,NA,"V0076317F","V0076317F_01",NA,NA,NA,"Goiás","-48","-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"14","2019-01-23 11:15:25-02","F","FMNH-SEEDPLANTS","V0076318F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lythraceae","Diplusodon","gracilis","Diplusodon gracilis",NA,"Isotype","G. Gardner","3155","1842","South America","Brazil",NA,NA,NA,"V0076318F","V0076318F_01",NA,NA,NA,"Goiás","-48","-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"15","2019-09-05 17:05:14-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lythraceae","Diplusodon","gracilis","Diplusodon gracilis",NA,"Isotype","G. Gardner","3155","1842","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Goiás","-48","-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"16","2017-09-11 17:10:27-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lythraceae","Diplusodon","gracilis","Diplusodon gracilis","Koehne",NA,"Gardner, G","3155",NA,"Southern America","Brazil","Habitat in provincia Goyaz",NA,NA,NA,"P13P2N0060",NA,NA,NA,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2014-09-23 10:58:31-03","G","G","G00227373","S","Plantae",NA,NA,"Lythraceae","Diplusodon","gracilis","Diplusodon gracilis","Koehne","TYPUS of Diplusodon gracilis Koehne","Gardner, G.","3155","1841","AMERIQUE DU SUD","Brazil",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206366&base=img&lang=en","G00227373","G00227373",NA,NA,"00","Goias","-49.56972222","-15.81194444",NA,"?",NA,NA,NA,"-49.56972222","-15.81194444",NA,NA,NA
"18","2014-09-23 10:58:31-03","G","G","G00227374","S","Plantae",NA,NA,"Lythraceae","Diplusodon","gracilis","Diplusodon gracilis","Koehne","TYPUS of Diplusodon gracilis Koehne","Gardner, G.","3155","1841","AMERIQUE DU SUD","Brazil",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206367&base=img&lang=en","G00227374","G00227374",NA,NA,"00","Goias","-49.56972222","-15.81194444",NA,"?",NA,NA,NA,"-49.56972222","-15.81194444",NA,NA,NA
"19","2014-09-23 10:58:31-03","G","G","G00227375","S","Plantae",NA,NA,"Lythraceae","Diplusodon","gracilis","Diplusodon gracilis","Koehne","TYPUS of Diplusodon gracilis Koehne","Gardner, G.","3155","1841","AMERIQUE DU SUD","Brazil",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206368&base=img&lang=en","G00227375","G00227375",NA,NA,"00","Goias","-49.56972222","-15.81194444",NA,"?",NA,NA,NA,"-49.56972222","-15.81194444",NA,NA,NA
