"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","county","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:40-03","E","E","212414","PreservedSpecimen","Plantae","Moraceae","Brosimum","guianense","Brosimum guianense","Ratter, J.A.; Milliken, W.; Coelho, Dionysia & Lima, José","1987","03","27","E. Tropical South America","BR","Roraima","Ilha de Maraca.","-61.416667","3.366667","-61.416667","3.366667","herbarium specimen of unspecif","BGBASE:226796","<a href=http://data.rbge.org.uk/herb/E00212414 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00212414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1015488","PreservedSpecimen","Plantae","Moraceae","Brosimum","discolor","Brosimum discolor","C. Farney","1987","03","24","South America","Brazil","Rio de Janeiro","Restinga de Ipitangas.","-42.5103","-22.9203",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106522' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015488","Magnoliophyta","Rosales","Schott","1362","Saquarema","NY01015488_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2171895","PreservedSpecimen","Plantae","Moraceae","Brosimum","guianense","Brosimum guianense","O. C. Nascimento","1978","10","30","South America","Brazil","Amazonas","Camanaus, Rio Miua.","-66.8315935","-0.015707",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2317108' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171895","Magnoliophyta","Rosales","(Aubl.) Huber","839",NA,"NY02171895_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 02:08:00-03","NY","NYBG","1181700","PreservedSpecimen","Plantae","Moraceae","Brosimum","guianense","Brosimum guianense","J. A. Lombardi","2008","01","30","South America","Brazil","Bahia","Rafael Jambeiro. BR-242, lado doreito sentido Santo Estevão/Argoim.","-39.46903","-13.55817",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387070' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181700","Magnoliophyta","Rosales",NA,"7216",NA,"NY01181700_01","R. Tsuji",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 11:32:00-03","NY","NYBG","565855","PreservedSpecimen","Plantae","Moraceae","Brosimum","guianense","Brosimum guianense","Pessoal do Horto Florestal","1927","10","31","South America","Brazil","Rio de Janeiro","Gávea, matas do januário",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=350859' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565855","Magnoliophyta","Rosales",NA,"s.n.",NA,"NY00565855_01","J. P. P. Carauta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","565853","PreservedSpecimen","Plantae","Moraceae","Brosimum","guianense","Brosimum guianense","W. W. Thomas","1991","07","01","South America","Brazil","Bahia","7.3 km N of Serra Grande on road to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=350857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565853","Magnoliophyta","Rosales","(Aubl.) Huber","7101","Uruçuca","NY00565853_01","W. W. Thomas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02171915","PreservedSpecimen","Plantae","Moraceae","Brosimum","guianense","Brosimum guianense","K. A. Kainer","1989","09","20","South America","Brazil","Acre","Ser. Cachoeira, Col. São Luis, Sucam 37.","-68.5044","-10.6517",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2317140' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171915","Magnoliophyta","Rosales","(Aubl.) Huber","70","Xapuri","NY02171915_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2171908","PreservedSpecimen","Plantae","Moraceae","Brosimum","guianense","Brosimum guianense","G. T. Prance","1968","08","05","South America","Brazil","Rondônia","Basin of Rio Madeira. Km 12, road Guajará-Mirim to Abunã",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2317126' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171908","Magnoliophyta","Rosales","(Aubl.) Huber","6790",NA,"NY02171908_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-30 15:09:00-03","NY","NYBG","2171898","PreservedSpecimen","Plantae","Moraceae","Brosimum","guianense","Brosimum guianense","A. Vicentini","1995","02","09","South America","Brazil","Amazonas","Reserva Ducke, Manaus-Itacoatiara Road, Km. 26. Junto ao Igarapé do Acará, fora da Reserva, próximo a divisa.","-59.97","-2.88",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2317114' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171898","Magnoliophyta","Rosales",NA,"872",NA,"NY02171898_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 11:32:00-03","NY","NYBG","565854","PreservedSpecimen","Plantae","Moraceae","Brosimum","guianense","Brosimum guianense","J. P. P. Carauta","1969","10","21","South America","Brazil","Rio de Janeiro","Guanabara, Serra Carioca, perto da Vista Chinesa",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=350829' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565854","Magnoliophyta","Rosales",NA,"922",NA,"NY00565854_01","C. C. Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","565844","PreservedSpecimen","Plantae","Moraceae","Brosimum","guianense","Brosimum guianense","G. P. Lewis","1982","03","14","South America","Brazil","Rio de Janeiro","Barra de Maricá, próx. a Lagoa de Maricá","-42.827875","-22.923546",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=350872' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565844","Magnoliophyta","Rosales","(Aubl.) Huber","1192","Maricá","NY00565844_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","565839","PreservedSpecimen","Plantae","Moraceae","Brosimum","guianense","Brosimum guianense","S. C. de Sant'Ana","1994","07","25","South America","Brazil","Bahia","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré, Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=350849' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565839","Magnoliophyta","Rosales","(Aubl.) Huber","546","Uruçuca","NY00565839_01","C. C. Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","2171880","PreservedSpecimen","Plantae","Moraceae","Brosimum","guianense","Brosimum guianense","B. Maguire","1963","09","13","South America","Brazil","Rondônia","Bananeiras, along Madeira-Mamore Railway.","-65.3503624","-10.6557605",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2317088' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171880","Magnoliophyta","Rosales","(Aubl.) Huber","56628",NA,"NY02171880_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-30 15:09:00-03","NY","NYBG","2171875","PreservedSpecimen","Plantae","Moraceae","Brosimum","guianense","Brosimum guianense","J. M. Pires","1961","09","29","South America","Brazil","Amapá","Rio Araguari, vicinity Camp 12.","-52.13","1.18",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2317083' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171875","Magnoliophyta","Rosales",NA,"51311",NA,"NY02171875_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-30 15:09:00-03","NY","NYBG","02171907","PreservedSpecimen","Plantae","Moraceae","Brosimum","guianense","Brosimum guianense","R. de Lemos Fróes","1945","11","27","South America","Brazil","Amazonas","Igarapé Curucuhy, São Gabriel.",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2317124' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171907","Magnoliophyta","Rosales",NA,"21447",NA,"NY02171907_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-29 22:16:00-03","NY","NYBG","869106","PreservedSpecimen","Plantae","Moraceae","Brosimum","guianense","Brosimum guianense","M. G. da Silva","1979","06","04","South America","Brazil","Mato Grosso","BR-174, Aripuanã, Projeto Juína, arredores do aeroporto.","-58.7408","-11.3783",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1029623' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869106","Magnoliophyta","Rosales",NA,"4763","Juína","NY00869106_01 NY00869106_02","C. C. Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","2171914","PreservedSpecimen","Plantae","Moraceae","Brosimum","guianense","Brosimum guianense","R. Vilhena","1978","12","13","South America","Brazil","Pará","Estrada que liga Alter do Chão.","-54.850688","-2.509339",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2317132' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171914","Magnoliophyta","Rosales","(Aubl.) Huber","265","Santarém","NY02171914_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","2171910","PreservedSpecimen","Plantae","Moraceae","Brosimum","guianense","Brosimum guianense","B. Maguire","1965","11","21","South America","Brazil","Amazonas","Serra da Neblina; Río Cauaburí, Cano Tucano, vicinity os Base Camp.",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2317128' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171910","Magnoliophyta","Rosales","(Aubl.) Huber","60257",NA,"NY02171910_01",NA,"125","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","565852","PreservedSpecimen","Plantae","Moraceae","Brosimum","guianense","Brosimum guianense","W. W. Thomas","1991","07","01","South America","Brazil","Bahia","7.3 km N of Serra Grande on road to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=350858' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565852","Magnoliophyta","Rosales","(Aubl.) Huber","8269","Uruçuca","NY00565852_01","W. W. Thomas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-09-30 15:09:00-03","NY","NYBG","02171916","PreservedSpecimen","Plantae","Moraceae","Brosimum","guianense","Brosimum guianense","J. R. Nascimento","1994","11","28","South America","Brazil","Amazonas","Estrada de acesso próximo ao plantio de pau-rosa.","-59.966667","-2.883333",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2317141' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171916","Magnoliophyta","Rosales",NA,"666",NA,"NY02171916_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
