"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","locality","infraspecificEpithet","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters"
"1","2021-04-05 14:24:59-03","UNESC","CRI","11407","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G. Sancho","Renato Colares","2019","01","09","M. Verdi; B. Grosch & G. Klemz","1166","2008","12","12","Brasil","Santa Catarina","Capão Alto","-50.716111","-28.214167","50º42'58''W","28º12'51''S","880","880","Ecótono Floresta Ombrófila Mista e Floresta Estacional Decidual","CRI001261","CRI001261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:59-03","UNESC","CRI","14158","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G. Sancho","Renato Colares","2018","11","08","Valdemar Boff & Vanilde Citadini",NA,"1997","11","19","Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S",NA,NA,"Habitat: Terrestre Habito: Arbórea","CRI012809",NA,"Verdinho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:59-03","UNESC","CRI","3760","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum ceanothifolia","(Less.) Cabrera","Renato Colares","2019","01","09","Zenaide P. Topanotti","4","1995","06","27","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S",NA,NA,"Habito: árvore","CRI001269","CRI001269","Morro Estevão.","ceanothifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:59-03","UNESC","CRI","11048","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum ceanothifolia","(Less.) Cabrera","Colares, R.","2019","01","15","A. Korte; A. Kniess","1638","2010","02","03","Brasil","Santa Catarina","Itaiópolis","-49.906667","-26.336944","49º54'24''W","26º20'13''S","747","747","Floresta Ombrófila Densa Habito: arbórea","CRI001260","CRI001260","Arroio das Pombas.","ceanothifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:59-03","UNESC","CRI","4619","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum ceanothifolia","(Less.) Cabrera","Colares, R.","2019","01","15","Z. P. Topanotti",NA,"1995","09","07","Brasil","Santa Catarina","Maracajá","-49.454444","-28.848056","49º27'16''W","28º50'53''S",NA,NA,NA,"CRI001271","CRI001271","São Pedro.","ceanothifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:59-03","UNESC","CRI","9182","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum ceanothifolia","(Less.) Cabrera","Renato Colares","2019","01","09","Zenaide Natalino",NA,NA,NA,NA,"Brasil","Santa Catarina","Florianópolis","-48.48","-27.592222","48º28'48''W","27º35'32''S",NA,NA,NA,"CRI001270","CRI001270","Carlos Lopes.","ceanothifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:24:59-03","UNESC","CRI","165","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum ceanothifolia","(Less.) Cabrera","Renato Colares","2019","01","09","V. Citadini-Zanette; A. Bortot","739","1982","03","10","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S",NA,NA,NA,"CRI001268","CRI001268","Alto Rio Fiorita.","ceanothifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:24:59-03","UNESC","CRI","9408","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum ceanothifolia","(Less.) Cabrera","Colares, R.","2019","01","09","M. Verdi; D.h. klettenberg e G. Klemz","2893","2009","06","03","Brasil","Santa Catarina","Criciúma","-49.409167","-28.709167","49º24'33''W","28º42'33''S","50","50","Floresta Ombrófila Densa Habito: arbórea","CRI001259","CRI001259","Bairro universitário (próximo a unesc).","ceanothifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:37:42-03","E","E","161311","PreservedSpecimen","Plantae","Compositae","Gochnatia","polymorpha","Gochnatia polymorpha",NA,NA,NA,NA,NA,"Ibáñez García, A. & Bridgewater, S.",NA,"1996","10","23","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00161311 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161311",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:168711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:37:42-03","E","E","383995","PreservedSpecimen","Plantae","Compositae","Gochnatia","polymorpha","Gochnatia polymorpha",NA,NA,NA,NA,NA,"Sellow, Friedrich",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00383995 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00383995",NA,"Brasilia",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:442796","unspecified kind of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-30 11:59:00-03","NY","NYBG","01840328","PreservedSpecimen","Plantae","Asteraceae","Gochnatia","polymorpha","Gochnatia polymorpha",NA,NA,NA,NA,NA,"J. A. Kallunki","323","1993","01","18","Brazil","Espírito Santo","Piúma","-40.77","-20.87",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2141697' target='other'> <mi>dwc_moreinfo</mi></a>","NY01840328","NY01840328_01","Roadside at base of Morro do Agá, ca. 5 km S of Piuma on Rod. ES-60",NA,"South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","797711","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum ceanothifolium","(Less.) G.Sancho","K. A. Freitas",NA,NA,NA,"M. Rossato","5584","1989","03","02","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491801' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797711","NY00797711_01","Nova Prata- Horto Florestal","ceanothifolium","South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","860701","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum floccosum","(Cabrera) G.Sancho","K. A. Freitas",NA,NA,NA,"L. Riedel","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=946250' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860701","NY00860701_01",NA,"floccosum","South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","860706","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G.Sancho","K. A. Freitas",NA,NA,NA,"J. S. Blanchet","sn.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=946298' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860706","NY00860706_01",NA,NA,"South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","797745","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum floccosum","(Cabrera) G.Sancho","K. A. Freitas",NA,NA,NA,"G. G. Hatschbach","29117","1972","02","03","Brazil","Paraná","Ponta Grossa","-50.1617","-25.095",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=137126' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797745","NY00797745_01","Fda. Barrozinho","floccosum","South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","797714","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G.Sancho","K. A. Freitas",NA,NA,NA,"J. S. Blanchet","3251",NA,NA,NA,"Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,"Communicatum e reliquis Marlianis 1875 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797714","NY00797714_01","Brasilia, Bahia",NA,"South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","797701","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G.Sancho","K. A. Freitas",NA,NA,NA,"K. Mizoguchi","1015","1979","03","06","Brazil","São Paulo","Jandira","-46.9025","-23.5278",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797701","NY00797701_01","Near Oomoto Aizendo, Jandira",NA,"South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","860703","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G.Sancho","K. A. Freitas",NA,NA,NA,"W. J. Burchell","1680","1826","01","26","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=946266' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860703","NY00860703_01","Morro da Ladira",NA,"South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","797747","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G.Sancho","K. A. Freitas",NA,NA,NA,"L. Riedel",NA,"1823","03","02","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Iter Brasiliense 1821-24 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491827' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797747","NY00797747_01","Serra Estr.",NA,"South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","797718","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G.Sancho","K. A. Freitas",NA,NA,NA,"J. R. Pirani","3508","1994","12","08","Brazil","Espírito Santo","Piúma","-40.77","-20.87",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797718","NY00797718_01","Ca. 3 km S do Morro do Aghá, na rodovia ES 060",NA,"South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","797749","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum floccosum","(Cabrera) G.Sancho","K. A. Freitas",NA,NA,NA,"P. K. H. Dusén","7147","1908","11","18","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491791' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797749","NY00797749_01","Itaperussú","floccosum","South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","797697","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G.Sancho","K. A. Freitas",NA,NA,NA,"J. C. Lindeman","Ha.13264","1965","12","08","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491810' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797697","NY00797697_01","Campo Mourao",NA,"South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","797703","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G.Sancho","K. A. Freitas",NA,NA,NA,"P. de M. Freitas Jr.","1","1981","02","26","Brazil","Espírito Santo","Cariacica","-40.4197","-20.2642",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491807' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797703","NY00797703_01","Rio Marinho",NA,"South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","797739","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum floccosum","(Cabrera) G.Sancho","K. A. Freitas",NA,NA,NA,"G. G. Hatschbach","43423","1980","12","11","Brazil","Paraná","Lapa","-49.7156","-25.7697",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=137127' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797739","NY00797739_01","Agua Amarela","floccosum","South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","797751","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum floccosum","(Cabrera) G.Sancho","K. A. Freitas",NA,NA,NA,"F. C. Hoehne","28525","1931","11","25","Brazil","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797751","NY00797751_01","Jardim Botanico, S. Paulo","floccosum","South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","797693","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum ceanothifolium","(Less.) G.Sancho","K. A. Freitas",NA,NA,NA,"R. A. Wasum","8042","1992","01","16","Brazil","Rio Grande do Sul","Caxias do Sul","-51.094927","-29.108528",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491802' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797693","NY00797693_01","Ana Rech- Faxinal","ceanothifolium","South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","860707","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G.Sancho","K. A. Freitas",NA,NA,NA,"J. H. Kirkbride Jr.","4860","1982","06","23","Brazil","Distrito Federal","Brasília","-47.63","-15.82",NA,NA,"970","970","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=946302' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860707","NY00860707_01","Córrego Capão da Onça",NA,"South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","797733","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum ceanothifolium","(Less.) G.Sancho","K. A. Freitas",NA,NA,NA,"A. Sehnem","11890","1971","02","12","Brazil","Rio Grande do Sul","Lavras do Sul","-53.895","-30.8133",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=370516' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797733","NY00797733_01","Lavras do Sul- Rincao do Inferno","ceanothifolium","South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","797740","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum floccosum","(Cabrera) G.Sancho","K. A. Freitas",NA,NA,NA,"L. B. Smith","11245","1957","02","11","Brazil","Santa Catarina","Lajes","-50.3258","-27.8161",NA,NA,"800","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=137131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797740","NY00797740_01","4 km east of Indios","floccosum","South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
