"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","relationshipType","relatedCatalogItem","class","typeStatus","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-04-05 14:25:00-03","UNESC","CRI","12983","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Oliveira, AA de","2015","11","11","Oliveira, A.A. de","2721","2015","11","11","Brasil","Santa Catarina","São Joaquim","Campo do Gado. Campo do Gado.","-49.861667","-28.260556","49º51'42''W","28º15'38''S","1430","1430","CRI011612","CRI011612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","788774","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.",NA,NA,NA,NA,"R. Reitz","10367","1960","11","10","Brazil","Santa Catarina","Sao José","Serra da Boa Vista.","-48.6272","-27.6156",NA,NA,"1000","1000","NY00788774",NA,"Magnoliophyta","Asterales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=458783' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","788775","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","M. Sobral",NA,NA,NA,"M. Sobral","4822","1986","01",NA,"Brazil","Santa Catarina","Bom Jardim da Serra","Desfiladeiro do Funil.","-49.6244","-28.3369",NA,NA,NA,NA,"NY00788775","NY00788775_01","Magnoliophyta","Asterales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=458782' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-08 11:07:33-03","UNESP-IBB","BOTU","15588","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Fernandes, A.C.","2013","09",NA,"Amaral Jr., A.","87","1982","02","17","Brasil","São Paulo","Campos do Jordão","Pico do Itapeva e arredores","-45.5","-22.751389","45º30'w","22º45'05s",NA,NA,"BOTU015588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:28:54-03","UNESP-IBB","BOTU","24974","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Nakajima, J.N.","2000",NA,NA,"Paiva, M.R.C.",NA,"1996","03","01","Brasil","Paraná","Teixeira Soares","Cerro Verde, beira da estrada, próximo ao Parque FLONA",NA,NA,"9999","9999",NA,NA,"BOTU024974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:28:54-03","UNESP-IBB","BOTU","919","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Fernandes, A.C.","2013","10",NA,"Gottsberger, I.S.","225-17471","1971","04","17","Brasil","Rio de Janeiro",NA,"Serra da Mantiqueira, Maciço do Itatiaia, Parque Nacional do Itatiaia (Agulhas Negras). No caminho e no planalto do sopé de Agulhas Negras e Prateleiras. Km 13 da estrada do parque",NA,NA,"9999","9999",NA,NA,"BOTU000919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-10-27 11:21:59-03","PUCPR","HUCP","25512","S","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Larocca, P; Cordeiro, J.","2012",NA,NA,"Larocca, P; Felitto, G","9","2012","11","24","Brasil","Parana","Quatro Barras","Morro Anhangava","-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,"HUCP00025512","HUCP00025512","Eudicotiledonea",NA,NA,NA,"Subarbusto, 1,70m, capítulos lilás alvo.","17116","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-08 21:31:51-03","UFBA","ALCB","126660","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Nakajima, JN","1999",NA,NA,"Hoehne, W","s/n","1942","01","14","Brasil","São Paulo","São Miguel",NA,NA,NA,NA,NA,NA,NA,"ALCB039590",NA,"Dicotyledon",NA,"Southern America",NA,"Subarbórea do Cerrado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:11:22-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Ribas, OS","2005",NA,NA,"Ribas, OS; Labiak, P; Pichorim, M","6683","2005","02","12","Brasil","Santa Catarina","Campo Alegre","Serra do Quiriri, matinha nebular do alto do morro","-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,"Southern America",NA,"2m. Capítulos lilás.","37493","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:02:26-03","ESALQ","ESA","50146","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii",NA,"E. K. O. Halloni",NA,NA,NA,"Scaramuzza, C.A.M. et al.","1059.0","1993","04","24","Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA050146","ESA050146","Magnoliophyta",NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:02:26-03","ESALQ","ESA","50079","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii",NA,"E. K. O. Halloni",NA,NA,NA,"Scaramuzza, C.A.M. et al.","1046.0","1993","02","20","Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA050079","ESA050079","Magnoliophyta",NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:02:26-03","ESALQ","ESA","9572","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Nakajima, J.N.",NA,NA,NA,"Souza, V.C. et al.","2290.0","1993","02","14","Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA009572","ESA009572","Magnoliophyta",NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:02:26-03","ESALQ","ESA","26581","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L. Rob.","Nakajima, J.N.","2017",NA,NA,"Souza, V.C. et al.","3778.0","1993","05","22","Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA026581",NA,"Magnoliophyta",NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-12-19 08:15:10-03","FPS","FPS","1059","MachineObservation","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Schwirkowski, P.","2015","11","14","Schwirkowski, P.","1325","2015","11","14","Brasil","Santa Catarina","São Bento do Sul","Minas de caulim","-49.214825","-26.29467","-49.214825","-26.29467",NA,NA,"FPS01059,FURB49393","FPS01059_v01 FPS01059_v02 FPS01059_v03 FPS01059_v04 FURB49393",NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Eupatório",NA,NA,"voucher","FURB 49393",NA,NA,NA,NA,NA,NA
"15","2019-12-19 18:36:39-03","FPS","FPS","1020","MachineObservation","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Colares, R.","2019","01","09","Schwirkowski, P.","1286","2015","11","11","Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Linha férrea, após o CEPA Rugendas","-49.313386","-26.324853","-49.313386","-26.324853",NA,NA,"FPS01020,FURB49354","FPS01020_v01 FPS01020_v02 FPS01020_v03 FPS01020_v04 FPS01020_v05 FURB49354",NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Eupatório",NA,NA,"voucher","FURB 49354",NA,NA,NA,NA,NA,NA
