"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","typeStatus","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","929864","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Anetanthus","gracilis","Anetanthus gracilis","Hiern","L. B. Smith","15062","1965","03","07","South America","Brazil","Distrito Federal","Brasília","Wet cliffs by Rio Gama, Gama","-48.13","-16","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998651' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929864","NY00929864_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","929868","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Anetanthus","gracilis","Anetanthus gracilis","Hiern","H. S. Irwin","29527","1971","02","01","South America","Brazil","Minas Gerais","Ouro Preto","Serra do Espinhaço, lower slopes of Pico de Itacolomi, ca. 3 km S. of Ouro Preto","-43.5058333","-20.3874","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998660' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929868","NY00929868_01","H. J. Wiehler","1650","1650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","929867","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Anetanthus","gracilis","Anetanthus gracilis","Hiern","H. S. Irwin","19470","1968","02","03","South America","Brazil","Distrito Federal","Brasília","Parque Municipal do Gama, ca. 25 km West of Brasília.","-48.05","-16.03","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929867","NY00929867_01","H. J. Wiehler","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-08 12:50:00-02","NY","NYBG","02681035","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Anetanthus","gracilis","Anetanthus gracilis",NA,"J. L. Clark","9050","2005","04","03","South America","Ecuador","Zamora-Chinchipe","Palanda","Parroquia: Valladolid. Southern slopes of the Cordillera de Sabanilla (headwaters of Río Chinchipe). Tapichalaca Reserve (Fundación Jocotoco). Sendero to Quebrada Honda.","-79.1294","-4.4861","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2908696' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681035","NY02681035_01",NA,"2550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","929863","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Anetanthus","gracilis","Anetanthus gracilis","Hiern","L. Riedel","2732","1835","02",NA,"South America","Brazil",NA,NA,"In umbrosis humidis ad muros pr. Ouro Preto",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929863","NY00929863_01","L. E. Skog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","929866","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Anetanthus","gracilis","Anetanthus gracilis","Hiern","H. S. Irwin","14055","1966","03","18","South America","Brazil","Distrito Federal","Brasília","Côrrego Alogado, Parque Municipal do Gama, ca. 20 km S.W. of Brasília","-48.05","-16.03","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929866","NY00929866_01","L. E. Skog","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-11-08 12:50:00-02","NY","NYBG","02681040","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Anetanthus","gracilis","Anetanthus gracilis",NA,"J. L. Clark","9070","2005","04","05","South America","Ecuador","Zamora-Chinchipe",NA,"Road Loja-Zamora. Parque Nacional Podocarpus. Centro de Educacion Ambiental Arcoiris. Trail to Río San Francisco.","-79.0928","-3.9889","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2908716' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681040","NY02681040_01",NA,"2050","2200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","929865","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Anetanthus","gracilis","Anetanthus gracilis","Hiern","H. S. Irwin","10247","1965","11","12","South America","Brazil","Distrito Federal","Brasília","Parque Municipal do Gama","-48","-16.03","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998652' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929865","NY00929865_01","L. E. Skog","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-01-28 13:11:19-03","MCN-PUC-MINAS","HPUC-MG","ANG1783","S","Plantae",NA,NA,"Gesneriaceae","Anetanthus","gracilis","Anetanthus gracilis",NA,"M.F. Vasconcelos","13-093","2013","02","12",NA,"Brasil","Minas Gerais","Rio Acima","Ribeirão Machado","-43.75","-20.1",NA,"Fenda em rocha úmida, nos arredores de corredeira.",NA,NA,NA,NA,NA,"43º45'W","20º06'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:38:47-03","EAO","IAN","153817","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Gesneriaceae","Anetanthus","gracilis","Anetanthus gracilis","Hiern","Schunke-Vigo, J","5311","1972","03","24","Southern America","Peru",NA,NA,"Dpto. Huánuco: Prov. Leoncio Prado. Dtto. Rupa Rupa. A orilla del camino, crece sobre rocas cálcareas, con poca humedad. Camino al Casério de San Andres (Ríos Rondos).",NA,NA,NA,NA,"IAN153817",NA,NA,"750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
