"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","locality","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","infraspecificEpithet","class","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","typeStatus","eventTime"
"1","2021-04-05 14:25:45-03","UNESC","CRI","2253","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","niederleinii","Oxalis niederleinii","Knuth","A. Lourteig","R. M. Klein","5622","1964","08","28","Brasil","Santa Catarina","Mondaí","-53.402222","-27.103333","53º24'8''W","27º6'12''S","250","250","CRI006039","CRI006039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:50-03","UNESC","CRI","2256","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","niederleinii","Oxalis niederleinii","Knuth","A. Lourteig","R. M. Klein","5698","1964","08","31","Brasil","Santa Catarina","Itapiranga","-53.7125","-27.17","53º42'45''W","27º10'12''S","190","190","CRI006042","CRI006042","Conceição.","Habitat: ruderal Habito: erva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:50-03","UNESC","CRI","6690","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","niederleinii","Oxalis niederleinii","Knuth","A. Lourteig","R. Reitz; R. M. Klein","16821","1964","01","01","Brasil","Santa Catarina","Itapiranga","-53.710556","-27.169722","53º42'38''W","27º10'11''S",NA,NA,"CRI006037","CRI006037",NA,NA,"1980","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:45-03","UNESC","CRI","2257","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","niederleinii","Oxalis niederleinii","Knuth","A. Lourteig","R. M. Klein","5673","1964","08","30","Brasil","Santa Catarina","Itapiranga","-53.7125","-27.17","53º42'45''W","27º10'12''S","400","400","CRI006044","CRI006044","Santo Antônio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:50-03","UNESC","CRI","2258","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","niederleinii","Oxalis niederleinii","Knuth","A. Lourteig","R. M. Klein","5744","1964","09","01","Brasil","Santa Catarina","São Miguel Do Oeste","-53.503889","-26.725278","53º30'14''W","26º43'31''S","700","700","CRI006043","CRI006043",NA,"Habitat: ruderal Habito: erva","1964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:50-03","UNESC","CRI","2196","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","niederleinii","Oxalis niederleinii","Knuth","A. Lourteig","P. R. Reitiz; Klein","16821","1964","01","01","Brasil","Santa Catarina","Itapiranga","-53.7125","-27.17","53º42'45''W","27º10'12''S","190","190","CRI006040","CRI006040","Linha Coqueiro.","Habitat: barrancos do rio Habito: erva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:45-03","UNESC","CRI","6837","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","niederleinii","Oxalis niederleinii","Knuth","A. Lourteig","P. R. Reitiz; Klein",NA,"1964","01","01","Brasil","Santa Catarina","Itapiranga","-53.7125","-27.17","53º42'45''W","27º10'12''S","250","250","CRI006041","CRI006041","Linha Coqueiro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:45-03","UNESC","CRI","6122","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","niederleinii","Oxalis niederleinii","Knuth","P. Fiaschi","Zenaide P. Topanotti",NA,"1996","09","15","Brasil","Santa Catarina","Nova Veneza","-49.498056","-28.637222","49º29'53''W","28º38'14''S","74","74","CRI005994","CRI005994",NA,"Habitat: interior da mata","2013","08","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-27 18:25:00-03","NY","NYBG","01096316","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","niederleinii","Oxalis niederleinii",NA,"A. Lourteig","F. C. Hoehne","s.n.","1928","11","02","Brazil","Paraná","Ponta Grossa","-50.1617","-25.095",NA,NA,NA,NA,"NY01096316","NY01096316_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236313' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 18:26:00-03","NY","NYBG","470506","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","niederleinii","Oxalis niederleinii",NA,"A. Lourteig","J. C. Lindeman","2950","1966","11","09","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"NY00470506","NY00470506_01","By road from Campo Novo to Pinhal Ralo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31529' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-27 18:26:00-03","NY","NYBG","470508","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","niederleinii","Oxalis niederleinii",NA,"A. Lourteig","A. Lourteig","2943","1973","11","21","Argentina","Corrientes","Ituzaingó",NA,NA,NA,NA,NA,NA,"NY00470508","NY00470508_01","Frente a Saltos del Apipé","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31530' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","470507","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","niederleinii","Oxalis niederleinii","R.Knuth","O. A. Guimarães","A. C. Cervi","2556","1987","12","01","Brazil","Paraná","Foz do Iguaçu","-54.42","-25.68",NA,NA,NA,NA,"NY00470507","NY00470507_01","Parque Nacional do Iguaçu, Poço Preto","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31527' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","470504","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","niederleinii","Oxalis niederleinii","R.Knuth",NA,"S. F. Smith","11820","1957","02","25","Brazil","Santa Catarina","Itapiranga","-53.7119","-27.1694",NA,NA,"200","200","NY00470504","NY00470504_01","4 km East of Itapirana","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31532' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-27 18:26:00-03","NY","NYBG","470502","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","niederleinii","Oxalis niederleinii",NA,NA,"L. B. Smith","12553","1964","10","15","Brazil","Santa Catarina","Aguas de Chapecó","-52.9","-27.22",NA,NA,"280","350","NY00470502","NY00470502_01","Lajeado Bonito","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31531' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","470505","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","niederleinii","Oxalis niederleinii","R.Knuth",NA,"S. F. Smith","12627","1964","10","17","Brazil","Santa Catarina","Itapiranga","-53.72","-27.17",NA,NA,"200","200","NY00470505","NY00470505_01","Fallow field near ferry landing","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31533' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","470503","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","niederleinii","Oxalis niederleinii","R.Knuth","S. F. Smith","M. Rossato","4585","1988","10","01","Brazil","Rio Grande do Sul","Pantano Grande","-52.3733","-30.1917",NA,NA,NA,NA,"NY00470503","NY00470503_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31528' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01096317","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","niederleinii","Oxalis niederleinii","R.Knuth","A. Lourteig","F. C. Hoehne","s.n.","1934","06","13","Brazil","São Paulo","Sao Paulo","-46.621883","-23.654505",NA,NA,NA,NA,"NY01096317","NY01096317_01","Sao Paulo, nativa no Parque do Estado e Jardim Botânico","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236314' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-02-18 09:30:23-03","UNESP-IBB","BOTU","26430","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","niederleinii","Oxalis niederleinii","Knuth","Guimarães, O.","Cervi, A.C.","2556","1987","12","01","Brasil","Paraná","Foz do Iguaçú",NA,NA,"9999","9999",NA,NA,"BOTU026430",NA,"Parque Nacional do Iguaçu; Poço Preto.",NA,"1996","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-13 09:20:36-03","UFRJ","RFA","11041","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","niederleinii","Oxalis niederleinii","Knuth","A. Lourteig","G.G. Hatschbach; O. Guimarães","25551","1970","11","19","Brasil","Paraná","São José da Boa Vista","-49.6521987915039","-23.9158000946045",NA,NA,NA,NA,"RFA10907",NA,"Terra Roxa","Flor amarela procumbente, margens de caminho na mata Habitat: Margens caminho na mata","1971",NA,NA,NA,NA,NA,NA,"21399","auto",NA,NA,NA,NA,NA,NA,NA,NA
