"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","class","order","typeStatus","individualCount"
"1","2019-10-09 11:10:06-03","UFBA","ALCB","75256","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Catolesia","mentiens","Catolesia mentiens","D.J.N.Hind","Roque, N","2007","04","Guedes, ML; Santos, JS; Carvalho, G; Valadão, RM; Alunos de Ciências Biológicas","12745","2006","10","14","Southern America","Brasil","Bahia","Abaíra","Pico do Barbado, Chapada Diamantina. 13o 14'S, 41o 39'W","-41.6636009216309","-13.2496995925903","26531","ca. 1,8m alt.; folhas discolores. Inflorescência com flores lilases.; campos rupestres","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:10:06-03","UFBA","ALCB","133475","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Catolesia","mentiens","Catolesia mentiens","D.J.N.Hind","Roque, N","2018","08","Amorim, VO; Coelho, J","440","2015","10","27","Southern America","Brasil","Bahia","Abaíra","Abaíra-Catolés (Rico do Barbado).","-41.905556","-13.289444",NA,"1,0 m alt. Folhas cartáceas, concolores. Inflorescência ou flores solitárias; capítulos passados. DNA: Sim. População grande.; Solo pedregoso.",NA,"-41.905556","-13.289444","1726","1726","ALCB054087","ALCB054087",NA,NA,NA,NA
"3","2021-03-04 11:04:28-03","UFRB","HURB","18526","PreservedSpecimen","Plantae",NA,"Asteraceae","Catolesia","mentiens","Catolesia mentiens","D.J.N.Hind",NA,NA,NA,"Amorim, V.O.","440","2015","10","27",NA,"Brasil","Bahia","Abaíra","Catolés-Pico do Barbado;","-41.905556","-13.289444",NA,"DNA. População grande.",NA,"41º54'20W","13º17'22S",NA,NA,"HURB000018526",NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","3264817","PreservedSpecimen","Plantae",NA,"Asteraceae","Catolesia","mentiens","Catolesia mentiens","D.J.N. Hind","Robinson, H. E., (US)",NA,NA,"W. Ganev","1313","1992","10","22","South America - Neotropics","Brazil","Bahia",NA,"Brasil, estado da Bahia, município de Abaíra: Serra das Brenhas.","-41.87","-13.32",NA,NA,NA,NA,NA,"1860",NA,"US00901668","US00901668_01","Dicotyledonae","Asterales","Isotype","1"
"5","2020-09-12 05:00:02-03","US","US","3311735","PreservedSpecimen","Plantae",NA,"Asteraceae","Catolesia","mentiens","Catolesia mentiens","D.J.N. Hind",NA,NA,NA,"W. Ganev","2286",NA,NA,NA,"South America - Neotropics","Brazil","Bahia",NA,"Brasil, Bahia, Município de Abaíra: Serra do Barbado.","-41.9","-13.3",NA,NA,NA,NA,NA,"1800",NA,"US01643511","US01643511_01","Dicotyledonae","Asterales",NA,"1"
"6","2021-03-16 18:32:00-03","USP","SPF","88148","PreservedSpecimen","Plantae",NA,"Asteraceae","Catolesia","mentiens","Catolesia mentiens","D.J.N.Hind",NA,NA,NA,"Ganev, W","1313","1992","10","22",NA,"Brasil","Bahia","Abaíra","Serra das Brenhas, Campo rupestre com solo areno cascalhoso sobre rochas.","-41.866667","-13.316667",NA,"Arbusto de até 75 cm. Folhas verdes, pedicelo verde claro, brácteas verde com ápice vináceo, flores rosa.",NA,"-41.866667","-13.316667",NA,NA,"SPF00088148","SPF00088148",NA,NA,"isotype",NA
"7","2019-10-07 09:11:15-03","UEFS","HUEFS","66493","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Catolesia","mentiens","Catolesia mentiens","D.J.N.Hind",NA,NA,NA,"Ganev, W.","2286","1993","10","10",NA,"Brasil","Bahia","Abaíra","Serra do Barbado.","-41.9","-13.3",NA,NA,NA,"41W54'","13S18'","1800","1800","HUEFS0066493",NA,"Asteranae","Asterales","Isoparátipo",NA
"8","2019-10-07 09:11:15-03","UEFS","HUEFS","12377","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Catolesia","mentiens","Catolesia mentiens","D.J.N.Hind","D.J.N.Hind & H.P.Bautista","2000","09","Ganev, W.","1313","1992","10","22",NA,"Brasil","Bahia","Abaíra",NA,"-41.866667","-13.316667",NA,NA,NA,"41W52'","13S19'","1860","1860","HUEFS0012377","HUEFS0012377","Asteranae","Asterales","Holótipo",NA
"9","2019-10-07 09:11:15-03","UEFS","HUEFS","142816","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Catolesia","mentiens","Catolesia mentiens","D.J.N.Hind","V.L.Rivera","2015",NA,"Ferreira, S.C.","360","2007","09","17",NA,"Brasil","Bahia","Abaíra","Chapada Diamantina. - Catolés, Serra do Barbado.","-41.908611","-13.294722",NA,NA,NA,"41W54'31''","13S17'41''",NA,NA,"HUEFS0142816","HUEFS0142816","Asteranae","Asterales",NA,NA
"10","2019-10-07 09:11:15-03","UEFS","HUEFS","15825","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Catolesia","mentiens","Catolesia mentiens","D.J.N.Hind","D.J.N.Hind & H.P.Bautista","2000","09","Ganev, W.","2286","1993","10","10",NA,"Brasil","Bahia","Abaíra",NA,"-41.9","-13.3",NA,NA,NA,"41W54'","13S18'","1800","1800","HUEFS0015825","HUEFS0015825","Asteranae","Asterales","Parátipo",NA
"11","2019-10-07 09:11:15-03","UEFS","HUEFS","244807","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Catolesia","mentiens","Catolesia mentiens","D.J.N.Hind",NA,NA,NA,"Amorim, V.O","440","2015","10","27",NA,"Brasil","Bahia","Abaíra","Abaíra-Catolés (Rio do Brabado)","-41.905556","-13.289444",NA,NA,NA,"41W54'20''","13S17'22''","1726","1726","HUEFS0244807","HUEFS0244807","Asteranae","Asterales",NA,NA
"12","2019-10-07 09:11:15-03","UEFS","HUEFS","66494","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Catolesia","mentiens","Catolesia mentiens","D.J.N.Hind",NA,NA,NA,"Ganev, W.","1313","1992","10","22",NA,"Brasil","Bahia","Abaíra","Serra das Brenhas.","-41.866667","-13.316667",NA,"Campo rupestre",NA,"41W52'","13S19'","1860","1860","HUEFS0066494",NA,"Asteranae","Asterales","Isótipo",NA
