"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","typeStatus","previousCatalogNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","393455","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Caryocaraceae","Caryocar","brasiliense","Caryocar brasiliense","Cambess.","G. T. Prance","R. M. Harley","21356","1980","04","13","South America","Brazil","Bahia","Serra Geral de Caitité. ca. 14km. SW. of Caitité by road to Morrinhos, and about 15km. W. along the road from the junction with the Caitité - Brejinhos das Ametistas road","-42.6","-14.23","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651982' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393455","NY00393455_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","393448","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Caryocaraceae","Caryocar","brasiliense","Caryocar brasiliense brasiliense","Cambess.","G. T. Prance","W. R. Anderson","37108","1972","03","17","South America","Brazil","Bahia","Ca. 5km. W of Cocos, near limestone boulders","-44.53","-14.18","530","530","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=504718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393448","NY00393448_01","brasiliense","Cocos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00972757","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Caryocaraceae","Caryocar","brasiliense","Caryocar brasiliense","Cambess.","R. F. Vieira","R. F. Vieira","391","1990","08","21","South America","Brazil","Goiás","A 41 km margem esquerda do posto trajanopolis na rodovia Brazilandia/Padre Bernardo.","-48.25","-15.5","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1110284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972757","NY00972757_01",NA,"Padre Bernardo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","393445","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Caryocaraceae","Caryocar","brasiliense","Caryocar brasiliense brasiliense","Cambess.","G. T. Prance","W. R. Anderson","37108","1972","03","17","South America","Brazil","Bahia","Ca. 5km W of Cocos, near limestone boulders","-44.53","-14.18","530","530","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=504717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393445","NY00393445_01","brasiliense","Cocos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00972739","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Caryocaraceae","Caryocar","brasiliense","Caryocar brasiliense","Cambess.",NA,"J. B. E. Pohl","467",NA,NA,NA,"South America","Brazil","Minas Gerais","Ad Oliveira & Padrocinio.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1109510' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972739","NY00972739_01 NY00972739_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2063525","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Caryocaraceae","Caryocar","brasiliense","Caryocar brasiliense","Cambess.",NA,"D. C. Imig","29","2011","11","11","South America","Brazil","Paraná","Parque Estadual do Cerrado","-49.65","-24.17",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2499969' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063525","NY02063525_01",NA,"Jaguariaíva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","393503","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Caryocaraceae","Caryocar","brasiliense","Caryocar brasiliense","Cambess.","A. Schinini","A. Schinini","33270","1997","12","03","South America","Paraguay","Canindeyú","Reserva Natural del Bosque Mbaracayú. 13 km S de Ipé-hú, Ñandurocai",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651972' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00972750","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Caryocaraceae","Caryocar","brasiliense","Caryocar brasiliense","Cambess.",NA,"F. H. F. Oldenburger","1564","1975","10","16","South America","Brazil","Distrito Federal","University Campus.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1109566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972750","NY00972750_01",NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","03123454","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Caryocaraceae","Caryocar","brasiliense","Caryocar brasiliense","Cambess.",NA,"N. C. Bigio","1561","2015","02","20","South America","Brazil","Rondônia","Campo Fitogeografia. Beira de Estrada.","-60.6461","-11.6794",NA,NA,"separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3384733' target='other'> <mi>dwc_moreinfo</mi></a>","NY03123454","NY03123454_01",NA,"Pimenta Bueno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","393452","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Caryocaraceae","Caryocar","brasiliense","Caryocar brasiliense","Cambess.","G. T. Prance","R. M. Harley","27701","1988","12","23","South America","Brazil","Bahia","Pico das Almas. Vertente leste. Estrada Faz. Brumadinho - Faz. Silvina. Ao lado de área cultivado para café","-41.92","-13.53","1250","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651983' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393452","NY00393452_01",NA,"Rio de Contas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
