"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","occurrenceRemarks","individualCount","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","day","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class"
"1","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","2896","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum","Ule","Elton. C. M. Leme","2011","08","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","2852","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum","Ule","Elton. C. M. Leme","2009","05","254","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","2854","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum","Ule","Elton. C. M. Leme","2009","05","254","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","2853","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum","Ule","Elton. C. M. Leme","2009","05","254","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","4","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum","Ule","Elton. C. M. Leme","2009","05","254","1","Elton M. C. Leme;","1980","01","Brasil","Rio de Janeiro","Cabo Frio","área próxima a loteamento Orla 500, dos dois lados da estrada.","-42.0186004638672","-22.8794002532959","40069","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02448593","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum","Ule",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2635896' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"M. B. Foster",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"697","South America","sheet","NY02448593","NY02448593_01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","376785","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum","Ule","E. M. C. Leme",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=536760' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"D. S. Souza","1981","03","Brazil","Rio de Janeiro","Santa Maria Madalena","Rio Vermelho (outro lado do Jesengano), Sapucaia das Terras Frias","-42.0081","-21.9556",NA,NA,"359","South America","sheet","NY00376785","NY00376785_01","18",NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:44:51-03","EAO","IAN","36801","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum","Ule",NA,NA,NA,NA,NA,"Ule, EHG",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"4867","Southern America",NA,"IAN036801","IAN036801_f",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:25:59-03","MN","R","208566","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum","Ule","Costa, A.",NA,NA,NA,NA,"Costa, A.F. 837; Konno, T. ; França, C. ; Alcântara, V. ; Perdeneiras, L. & Moreira-da-Silva, A.","2007","10","Brasil","Rio de Janeiro","Macaé","Lagomar.","-41.696667","-27.299167",NA,NA,NA,NA,NA,"R010006687",NA,"16","41°41'48W","27°17'57S",NA,NA,NA,NA,NA
"10","2021-01-14 15:25:59-03","MN","R","192716","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum","Ule","Valente, A.","1997","08",NA,NA,"Valente, A. 20; Moura, R. & Figueredo, C.","1997","08","Brasil","Rio de Janeiro","Cachoeiras de Macacu","Boca do Mato","-42.6530990600586","-22.4624996185303","32671","auto",NA,NA,NA,"R010006688",NA,"24",NA,NA,"27",NA,NA,NA,NA
