"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","485369","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","aurigenius","Evolvulus aurigenius","Mart.","L. Riedel","106","1824","06","South America","Brazil","Minas Gerais","Pr. Barbacena et Capanema","sheet","Com. ex Hb. Horti Imp. Petropol. 1864 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451897' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485369","NY00485369_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","485371","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","aurigenius","Evolvulus aurigenius","Mart.","Collector unspecified","s.n.",NA,NA,"South America","Brazil",NA,"Morro do Tapanhuacanga, Brasi. Merid.","sheet","Com. ex Hb. Reg. Berol. ex [Reliqu?] Sellowianis B. 1594 c. 698 Hb. Kunth! <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485371","NY00485371_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","486274","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","aurigenius","Evolvulus aurigenius","Mart.","H. S. Irwin","26924","1970","03","South America","Brazil","Minas Gerais","Ca. 3 km W of Corinto","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486274","NY00486274_01","R. Simão-Bianchini","04","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 15:17:00-03","NY","NYBG","318996","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","aurigenius","Evolvulus aurigenius viscidulus","Hassl.","E. Hassler","9815","1907","12","South America","Paraguay",NA,"Sierra de Amambay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270892' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318996","NY00318996_01",NA,NA,NA,NA,"viscidulus","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","485366","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","aurigenius","Evolvulus aurigenius","Mart.","J. A. Ratter","4922","1983","11","South America","Brazil","São Paulo","Floresta de Angatuba. Instituto Florestal de SP","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451895' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485366","NY00485366_01",NA,"19",NA,NA,NA,NA,"Angatuba","-48.42","-23.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","485372","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","aurigenius","Evolvulus aurigenius","Mart.","L. Riedel","2753","1834","10","South America","Brazil",NA,"Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451891' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485372","NY00485372_01","S. J. van Ooststroom","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1013651","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","aurigenius","Evolvulus aurigenius","Mart.","G. H. von Langsdorff","s.n.",NA,NA,"South America","Brazil","Minas Gerais",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1101152' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013651","NY01013651_01","R. Simão-Bianchini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","318995","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","aurigenius","Evolvulus aurigenius tomentosus","Meisn.","L. Riedel","106","1824","06","South America","Brazil",NA,"Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=767465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318995","NY00318995_01",NA,NA,NA,NA,"tomentosus","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:29:54-03","UFRJ","RFA","10420","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","aurigenius","Evolvulus aurigenius","Mart.","P. Occhioni","4462","1971","01",NA,"Brasil","Minas Gerais","Estrada Nova",NA,"Prostrada, densamente ramificada. Flor lilás","RFA39662",NA,"R. Simão Bianchini","31",NA,NA,NA,NA,"Caxambu","-44.9324989318848","-21.9771995544434","2010","10","28","11683","auto",NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:19:22-03","UFRJ","RFA","10730","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","aurigenius","Evolvulus aurigenius","Mart.","G.G. Hatschbach; O. Guimarães","25438","1970","11",NA,"Brasil","Paraná","Rio Cilada",NA,"Flor anil","RFA39655",NA,"Joaquim Falcão","17",NA,NA,NA,NA,"Jaguariaíva","-49.7057991027832","-24.2511005401611","1970",NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA
