"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","424492","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","magna","Qualea magna","Kuhlm.","M. L. Kawasaki","J. Spada","2272","1972","03","09","South America","Brazil","Espírito Santo","Linhares","Est. FLAMENGO, ant. X-1, km 1.190, lado esquerdo. Reserva Florestal de CVRD","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=336521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424492","NY00424492_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","424491","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","magna","Qualea magna","Kuhlm.","M. L. Kawasaki","J. Spada","6478","1978","03","07","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal de CVRD. Est. BICUIBA, ant. 162, km 1,925, talhao 605, lado esquerdo","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=336520' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424491","NY00424491_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","424490","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","magna","Qualea magna","Kuhlm.","M. L. Kawasaki","D. A. Folli","842","1989","01","09","South America","Brazil","Bahia","Porto Seguro","Reserva Florestal de Porto Seguro-CVRD/BA. Aceiro com posseiros, km 3,100, lado esquerdo","-39.0644","-16.4497","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=336519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424490","NY00424490_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1921147","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","magna","Qualea magna","Kuhlm.",NA,"M. Rosa","122","1983","03","16","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal de Linhares. Companhia Vale do Rio Doce (CVRD) Est. 162 Bicuiba.","-39.961174","-19.138199","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2185020' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921147","NY01921147_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1921146","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","magna","Qualea magna","Kuhlm.",NA,"J. Spada","6478","1978","03","07","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal de CVRD. Est. BICUIBA, ant. 162, km 1,925, talhao 605, lado esquerdo","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2185019' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921146","NY01921146_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","424493","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","magna","Qualea magna","Kuhlm.","M. L. Kawasaki","Matriz","9","1983","03","10","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal de CVRD. Est. BICUIBA, ant. 162, km 0,756, lado esquerdo","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=336522' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424493","NY00424493_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:08:16-03","NBC","NL-BOTANY","U 0007128","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Qualea","magna","Qualea magna","Kuhlm.","Stafleu FA","Kuhlmann JG",NA,"1934","04","13","Southern America","Brazil","Espírito Santo",NA,"Corrego do Durao, Linhares, Rio DoceEst. do Espirito Santo.",NA,NA,NA,"mata.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007128 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007128","NL-U0007128","Magnoliopsidae","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:08:16-03","NBC","NL-BOTANY","U.1770876","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Qualea","magna","Qualea magna","Kuhlm.",NA,"Kuhlmann JG",NA,"1930","10","01","Southern America","Brazil",NA,NA,"Proced. Corredo do Duroís, Linhares, Rio Doce, Osp. Sante.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1770876 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1770876","NL-U1770876","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-02-15 11:52:05-02","IPA","IPA","40574","S","Plantae","Plantae",NA,"Vochysiaceae","Qualea","magna","Qualea magna","kuhlm.",NA,"Kuhlmann","34385",NA,NA,NA,"Southern America","Brasil","Espirito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"IPA0040574",NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:43:11-03","UNICAMP","UEC","155568","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Qualea","magna","Qualea magna","Kuhlm.","Shimizu, GH","Folli, DA","432","1983","03","10",NA,"Brazil","Espírito Santo","Linhares","Reserva Florestal da CRVD., Estrada BICUIBA, ant. 162, km 0,756; lado esquerdo.","-40.0722007751465","-19.3910999298096",NA,"Árvore em floresta alta. ca. 27m alt. e fuste 17m, DAP 56cm. Com flor branca e botão verde. Fuste cilíndrico e casca áspera.","UEC055805","UEC055805",NA,NA,"48094","auto","2008","04",NA,NA,NA,NA,NA,NA,NA,NA
