"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","locality","occurrenceRemarks","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","typeStatus","recordNumber","phylum","order","infraspecificEpithet","class","relatedCatalogItem","relationshipType","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:44-03","UNESC","CRI","7645","PreservedSpecimen","Plantae","Moraceae","Ficus","adhatodifolia","Ficus adhatodifolia","Schott in Spreng.","Rafael Martins","2007","12","21","Caroline de Faveri; Jean Gabriel Cemin","2007","12","21","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30","CRI004740","CRI004740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","11743","PreservedSpecimen","Plantae","Moraceae","Ficus","adhatodifolia","Ficus adhatodifolia","Schott in Spreng.",NA,NA,NA,NA,"Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick","2009","08","04","Brasil","Santa Catarina","Turvo","-49.681944","-28.928056","49º40'55''W","28º55'41''S","30","30","CRI004739","CRI004739",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:36-03","UNESC","CRI","14724","PreservedSpecimen","Plantae","Moraceae","Ficus","adhatodifolia","Ficus adhatodifolia","Schott in Spreng.","Rafael Martins","2008","09","19","Rafael Martins","2008","09","19","Brasil","Santa Catarina","Treviso","-49.457222","-28.513889","49º27'26''W","28º30'50''S",NA,NA,"CRI014049",NA,"Estrada Geral Santo Antônio.","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:36-03","UNESC","CRI","12463","PreservedSpecimen","Plantae","Moraceae","Ficus","adhatodifolia","Ficus adhatodifolia","Schott in Spreng.","Aline Votri Guislon & Peterson T. Padilha","2017","07","17","Alexandre Medeiros","2017","05","24","Brasil","Santa Catarina","Balneário Camboriú","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"CRI010670",NA,"Praia da Barra.","Coleta 405. Habito: Arbóreo","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:40-03","E","E","135484","PreservedSpecimen","Plantae","Moraceae","Ficus","adhatodifolia","Ficus adhatodifolia",NA,NA,NA,NA,NA,"Ratter, J.A.; Da Fonsêca, S.G. & de Castro, R.A.","1972","08","29","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00135484",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00135484 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:143456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:40-03","E","E","135497","PreservedSpecimen","Plantae","Moraceae","Ficus","adhatodifolia","Ficus adhatodifolia",NA,NA,NA,NA,NA,"Ratter, J.A. & Ramos, J.","1967","08","22","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00135497",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00135497 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:143395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:41:40-03","E","E","296109","PreservedSpecimen","Plantae","Moraceae","Ficus","obtusiuscula","Ficus obtusiuscula",NA,NA,NA,NA,NA,"Gardner, George","1905","01","14","BR","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"E00296109",NA,"Minas Geraes","<a href=http://data.rbge.org.uk/herb/E00296109 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:308706","isotype","5181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:41:40-03","E","E","40233","PreservedSpecimen","Plantae","Moraceae","Ficus","obtusiuscula","Ficus obtusiuscula",NA,NA,NA,NA,NA,"Bridgewater, S. & Filho, J.F.","1996","10","26","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00040233",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00040233 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:48626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:41:40-03","E","E","135499","PreservedSpecimen","Plantae","Moraceae","Ficus","obtusiuscula","Ficus obtusiuscula",NA,NA,NA,NA,NA,"Richards, P.W. & Argent, G.","1967","08","26","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00135499",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00135499 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:143393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","869343","PreservedSpecimen","Plantae","Moraceae","Ficus","adhatodifolia","Ficus adhatodifolia","Schott ex Spreng.","C. C. Berg",NA,NA,NA,"E. P. Heringer","1979","11","20","Brazil","Goiás","Caldas Novas","-48.6247","-17.7419",NA,NA,NA,NA,"NY00869343",NA,"Margem de córrego.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1041182' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","separate fruit",NA,NA,"17657","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","609183","PreservedSpecimen","Plantae","Moraceae","Ficus","adhatodifolia","Ficus adhatodifolia","Schott ex Spreng.","C. C. Berg",NA,NA,NA,"J. C. Lindeman","1966","12","11","Brazil","Paraná",NA,NA,NA,NA,NA,"700","800","NY00609183","NY00609183_01","Parque Nacional do Iguaçu","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=536290' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,"3514","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","609181","PreservedSpecimen","Plantae","Moraceae","Ficus","adhatodifolia","Ficus adhatodifolia","Schott ex Spreng.","C. C. Berg",NA,NA,NA,"W. R. Anderson","1972","03","14","Brazil","Bahia",NA,NA,NA,NA,NA,"535","535","NY00609181","NY00609181_01","Espigao Mestre. Ca. 3km S of Cocos","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=536285' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,"36944","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","609174","PreservedSpecimen","Plantae","Moraceae","Ficus","adhatodifolia","Ficus adhatodifolia","Schott ex Spreng.","C. C. Berg",NA,NA,NA,"J. P. P. Carauta","1977","03","30","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"NY00609174","NY00609174_01","Magé, Serra da Estrela, perto do Meio da Serra","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=536295' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,"2400","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
