"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","424487","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","glaziovii","Qualea glaziovii","Warm.","M. L. Kawasaki","J. B. Baitello","1978","05","26","South America","Brazil","São Paulo","Sao Paulo","Serra da Cantareira","-46.63","-23.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=466306' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424487","NY00424487_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","424488","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","glaziovii","Qualea glaziovii","Warm.","F. A. Stafleu","P. K. H. Dusén","1914","05","19","South America","Brazil","Paraná","Jaguariaíva",NA,"-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=466307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424488","NY00424488_01","387a","740","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","584303","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","glaziovii","Qualea glaziovii","Warm.","G. H. Shimizu","K. D. Barreto","1994","11","24","South America","Brazil","São Paulo",NA,"Itararé, Pedreira Cobastalco","-49.2131","-24.3008","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=643117' target='other'> <mi>dwc_moreinfo</mi></a>","NY00584303","NY00584303_01","3262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:50:39-03","EAO","IAN","92960","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vochysiaceae","Qualea","glaziovii","Qualea glaziovii","Warm.","Ducke, A","Andrade-Lima, D de","1950","11","06","Southern America","Brasil","Pernambuco","Recife","Cerrado, ca.12km S of Guara. Elev.ca. 550m.","-34.8810997009277","-8.05389022827148",NA,"Gnarled tree ca. 2,5m x 5cm. Fruit gray-green.","IAN092960",NA,"50706",NA,NA,"18865","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:50:39-03","EAO","IAN","92956","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vochysiaceae","Qualea","glaziovii","Qualea glaziovii","Warm.",NA,"Andrade-Lima, D de","1950","10","21","Southern America","Brasil","Pernambuco","Recife","Fazenda Vitória; carrascal, beira do caminho.","-34.8810997009277","-8.05389022827148",NA,"Árvore, casca sulcada, áspera.","IAN092956",NA,"50671",NA,NA,"18865","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:50:39-03","EAO","IAN","71116","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vochysiaceae","Qualea","glaziovii","Qualea glaziovii","Warm.",NA,"Ducke, A","1950","10","19","Southern America","Brasil","Pernambuco","Recife","Near Rio Suiazinho (approx 190km NNW of Xavantina). In swampy gallery forest. this sp. grows to a geat heght girtl.","-34.8810997009277","-8.05389022827148",NA,"Gnarled tree ca. 4m x 10cm. Corolla yellow.","IAN071116",NA,"2281",NA,NA,"18865","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:25:45-03","UFBA","ALCB","122394","PreservedSpecimen","Plantae","Dicotyledon",NA,"Vochysiaceae","Qualea","glaziovii","Qualea glaziovii","Warm.","Shimizu, G","Costa, IG","2014","08","23","Southern America","Brasil","Rio de Janeiro","Cambuci","Serra de São Caetano, no topo da serra ,próximo á rampa de voo livre","-89.237222","-53.084444",NA,"Ca. 4 metros de altura; lâmina cartácea esverdeada; fruto imaturo acastannhado.","ALCB007519","ALCB007519","528","700","700",NA,NA,"-89.237222","-53.084444",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:08:16-03","NBC","NL-BOTANY","U.1770888","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Qualea","glaziovii","Qualea glaziovii","Warm.",NA,"Ducke A",NA,NA,NA,"Southern America","Brazil",NA,NA,"Procedencia Rio de Janeiro.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1770888 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1770888","NL-U1770888",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:33:58-03","MN","R","72841","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Qualea","glaziovii","Qualea glaziovii","Warm.",NA,"Glaziou, A.F.M.",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Herb. J. de Saldanha, 4930; Plantae Flum. Ex Herb.","R000072841","R000072841_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:33:58-03","MN","R","7556","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Qualea","glaziovii","Qualea glaziovii","Warm.","Lisboa, M.","Glaziou, A.F.M.","1892","03","02",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000007556","R000007556_001","19147",NA,NA,NA,NA,NA,NA,NA,"2000","08","07",NA,NA,NA
