"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","maximumElevationInMeters","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","4123655","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pellucida","Peperomia pellucida","(L.) Kunth","G. Davidse","2969","1971","11","10","South America","Venezuela","Guárico","Río Orituco and road intersection, ca. 16 16 KM S of Calabozo; 1 KM downstream","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4442060' target='other'> <mi>dwc_moreinfo</mi></a>","NY04123655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4123625","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pellucida","Peperomia pellucida","(L.) Kunth","E. P. Killip","28869","1929","09","01","South America","Peru","Loreto","Santa Rosa, lower Río Huallaga below Yurimaguas","135","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4442030' target='other'> <mi>dwc_moreinfo</mi></a>","NY04123625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 12:36:00-03","NY","NYBG","559607","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pellucida","Peperomia pellucida",NA,"J. Vasconcelos Sobrinho","s.n.","1936","03",NA,"South America","Brazil","Pernambuco","Recife. Parque do I. P. A.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412126' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559607","B. J. Pickel","Recife","-34.8808","-8.0542","NY00559607_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4123659","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pellucida","Peperomia pellucida","(L.) Kunth","H. Pittier","15583","1947","09",NA,"South America","Venezuela",NA,"a lo largo de la carretera entre Guamitas y La Explanda","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4442064' target='other'> <mi>dwc_moreinfo</mi></a>","NY04123659",NA,NA,NA,NA,NA,"900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","559598","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pellucida","Peperomia pellucida","(L.) Kunth","K. Mejia C.","404","1984","11","24","South America","Peru","Loreto","Jenaro Herrera, Rio Ucayali. Quebrada Iricahua",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412132' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559598","R. Callejas Posada","Requena","-73.6767","-4.9217","NY00559598_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 05:27:00-03","NY","NYBG","01397569","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pellucida","Peperomia pellucida",NA,"J. G. Kuhlmann","150","1915","02",NA,"South America","Brazil","Amazonas","S. Luiz, Topajoz.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1642458' target='other'> <mi>dwc_moreinfo</mi></a>","NY01397569",NA,NA,NA,NA,"NY01397569_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4123657","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pellucida","Peperomia pellucida","(L.) Kunth","H. Pittier","12270","1926","11",NA,"South America","Venezuela",NA,"Caracas, in sandy gardens",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4442062' target='other'> <mi>dwc_moreinfo</mi></a>","NY04123657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","756242","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pellucida","Peperomia pellucida","(L.) Kunth","L. C. Ming","391","1994","02","04","South America","Brazil","Acre","Reserva Extratavista Chico Mendes, Seringal Sibéria, Colocaçao Maloca.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412128' target='other'> <mi>dwc_moreinfo</mi></a>","NY00756242","R. Callejas Posada","Xapuri","-68.5042","-10.6519","NY00756242_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01397566","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pellucida","Peperomia pellucida","(L.) Kunth","D. G. Campbell","P22004","1974","04","20","South America","Brazil","Amazonas","Across river Maués, farm of Sr. Francisco Merheri.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1642454' target='other'> <mi>dwc_moreinfo</mi></a>","NY01397566","R. Callejas Posada","Maués","-57.7541775","-3.4058142","NY01397566_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 12:36:00-03","NY","NYBG","559608","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pellucida","Peperomia pellucida",NA,"J. S. Blanchet","294",NA,NA,NA,"South America","Brazil","Bahia","In Brasilia intratropica circa Bahia (crescit in ruderatis umbrosis)",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559608",NA,NA,NA,NA,"NY00559608_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
