"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","typeStatus","yearIdentified","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","monthIdentified","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00810301","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Lecythis","barnebyi","Lecythis barnebyi","S.A.Mori","S. A. Mori","B. M. Boom","8680","1988","11","28","South America","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (km 41) of the WWF/INPA MCS Project.","-59.74583333","-2.41625","50","125","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816935' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810301","NY00810301_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00810288","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Lecythis","barnebyi","Lecythis barnebyi","S.A.Mori","S. A. Mori","N. M. Lepsch da Cunha","944","1990","08","14","South America","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (km 41) da Smithsonian/INPA - Projeto Dinamica Biológica dos Fragmentos Florestais.","-59.75416667","-2.41625",NA,"125","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810288","NY00810288_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","810289","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Lecythis","barnebyi","Lecythis barnebyi","S.A.Mori","S. A. Mori","M. G. M. Van Roosmalen","L-24","1987","10","28","South America","Brazil","Amazonas","Reserva km 41 of the World Wildlife Fund/INPA Minimum Critical Size of Ecosystems Project. 80 km N of Manaus.",NA,NA,"100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810289","NY00810289_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00810382","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Lecythis","barnebyi","Lecythis barnebyi","S.A.Mori","S. A. Mori","S. A. Mori","19538","1988","10","31","South America","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (km 41) of the WWF/INPA MCS Project.","-59.74583333","-2.41625","50","125","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=818893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810382","NY00810382_01 NY00810382_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","810292","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Lecythis","barnebyi","Lecythis barnebyi","S.A.Mori","S. A. Mori","M. H. Nee","42483","1992","02","11","South America","Brazil","Amazonas","Distrito Agropecuário da SUFRAMA, Rodovia BR 174, km72, then 6 km west, Fazenda Dimona. Projeto Dinamica Biológica de Fragmentos Florestais, Reserva 2303","-60.0917441","-2.326638",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816777' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810292","NY00810292_01","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","810290","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Lecythis","barnebyi","Lecythis barnebyi","S.A.Mori","S. A. Mori","M. G. M. Van Roosmalen","L-86","1988","04","08","South America","Brazil","Amazonas","Reserva km 41 of the World Wildlife Fund/INPA Minimum Critical Size of Ecosystems Project. 80 km N of Manaus.",NA,NA,"100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810290","NY00810290_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00810383","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Lecythis","barnebyi","Lecythis barnebyi","S.A.Mori","S. A. Mori","S. A. Mori","20155","1988","12","03","South America","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (km 41) of the WWF/INPA MCS Project.","-59.74583333","-2.41625","50","125","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=818894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810383","NY00810383_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00853438","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Lecythis","barnebyi","Lecythis barnebyi","S.A.Mori","S. A. Mori","C. A. Cid Ferreira","7551","1986","07","12","South America","Brazil","Amazonas","Canteiro de obras da Usina Hidrelétrica de Balbina.","-59.4734144","-1.9155557",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00853438","NY00853438_01","Presidente Figueiredo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00810384","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Lecythis","barnebyi","Lecythis barnebyi","S.A.Mori","S. A. Mori","S. A. Mori","20155","1988","12","03","South America","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (km 41) of the WWF/INPA MCS Project.","-59.74583333","-2.41625","50","125","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=818895' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810384","NY00810384_01 NY00810384_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","810296","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Lecythis","barnebyi","Lecythis barnebyi","S.A.Mori","S. A. Mori","D. E. Costich","836","1981","05","14","South America","Brazil","Amazonas","Distrito Agropecuário da SUFRAMA, Estrada ZF-3, Fazenda Esteio, km 23 (Reserva 1202)","-59.8885828","-2.4292245",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810296","NY00810296_01","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
