"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","phylum","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","imagecode","day","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","relationshipType","relatedCatalogItem","fieldNumber","individualCount","typeStatus","infraspecificEpithet","sex"
"1","2016-09-27 07:42:00-03","NY","NYBG","538793","PreservedSpecimen","Plantae","Lamiales","Linderniaceae","Micranthemum","umbrosum","Micranthemum umbrosum","K. A. Vincent","G. Herter","695","1925","11","South America","Uruguay","Montevideo","Cerro.","10","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714612' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538793",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","538787","PreservedSpecimen","Plantae","Lamiales","Linderniaceae","Micranthemum","umbrosum","Micranthemum umbrosum","F. W. Pennell","J. E. Leite","653","1941",NA,"South America","Brazil","Rio Grande do Sul","Vicinity of San Leopoldo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538787","Magnoliophyta","(Walter ex J.F.Gmel.) S.F.Blake","Sao Leopoldo","-51.143791","-29.75136","NY00538787_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 17:46:00-03","NY","NYBG","539033","PreservedSpecimen","Plantae","Lamiales","Linderniaceae","Micranthemum","umbrosum","Micranthemum umbrosum","R. R. Haynu","B. Øllgaard","35071","1980","07","South America","Ecuador","Pastaza","Río Capihuari, tributary of Río Pastaza.","285","285","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714608' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539033",NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","538789","PreservedSpecimen","Plantae","Lamiales","Linderniaceae","Micranthemum","umbrosum","Micranthemum umbrosum",NA,"H. F. L. Filho","2597","1976","04","South America","Brazil","São Paulo","Nativo em mata de várzea úmida da Faz. Santa Elisa.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714611' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538789","Magnoliophyta","(Walter ex J.F.Gmel.) S.F.Blake","Campinas","-47.06","-22.9","NY00538789_01","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 07:42:00-03","NY","NYBG","538790","PreservedSpecimen","Plantae","Lamiales","Linderniaceae","Micranthemum","umbrosum","Micranthemum umbrosum","K. A. Vincent","J. E. Montes","14836","1955","05","South America","Argentina","Misiones","Teyucuare. Crece formando un tapiz en agua estancada a la sombra orilla boscosa. Lugar bajo escasa.","250","250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714610' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538790",NA,NA,"San Ignacio",NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","538788","PreservedSpecimen","Plantae","Lamiales","Linderniaceae","Micranthemum","umbrosum","Micranthemum umbrosum","S. F. Smith","M. Rossato","54","1999","03","South America","Brazil","Rio Grande do Sul","Margens rio Tainhas.","1000","1000","sheet","HUCS <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714607' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538788","Magnoliophyta","(Walter ex J.F.Gmel.) S.F.Blake","Bom Jesus","-50.4166984558105","-28.6678009033203","NY00538788_01","19","55856","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-08 11:10:15-03","UNESP-IBB","BOTU","22540","PreservedSpecimen","Plantae",NA,"Scrophulariaceae","Micranthemum","umbrosum","Micranthemum umbrosum",NA,"Amaral Jr., A.","470","1999","04",NA,"Brasil","Mato Grosso do Sul",NA,NA,NA,NA,"Rasteira de flores brancas, no brejo.","BOTU022540",NA,"(J.F. Gmel.) S.F. Blake","Bataguassu","-52.201667","-21.691111",NA,"12",NA,NA,"52°12'06w","21°41'28 s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-08 11:09:09-03","UNESP-IBB","BOTU","22775","PreservedSpecimen","Plantae",NA,"Linderniaceae","Micranthemum","umbrosum","Micranthemum umbrosum",NA,"Amaral Jr., A.","301","1999","04",NA,"Brasil","São Paulo",NA,NA,NA,NA,"Herbácea rasteira,heliófita. Flor lilás.","BOTU022775",NA,"(J.F. Gmel.) S.F. Blake","Castilho","-51.745556","-21.063611",NA,"09",NA,NA,"51°44'44w","21°03'49s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:49:41-03","EAO","IAN","94208","PreservedSpecimen","Plantae",NA,"Scrophulariaceae","Micranthemum","orbiculatum","Micranthemum orbiculatum",NA,"Glaziou, AFM","3713",NA,NA,"Southern America","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"IAN094208","Dicotiledônea","Michx.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:49:41-03","EAO","IAN","17448","PreservedSpecimen","Plantae",NA,"Scrophulariaceae","Micranthemum","umbrosum","Micranthemum umbrosum",NA,"Pires, JM; Black, GA","458","1945","10","Southern America","Brasil","Pará","Bosque Municipal.",NA,NA,NA,NA,"IAN017448","Dicotiledônea","(Walter) Blake","Belém","-48.5043983459473","-1.4558299779892","IAN017448 IAN017448_e","16","48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:34:01-03","NBC","NL-BOTANY","L.2797823","PreservedSpecimen","Plantae","Lamiales","Scrophulariaceae","Micranthemum","orbiculatum","Micranthemum orbiculatum",NA,"Tulleken JE",NA,"1900","09","Southern America","Surinam",NA,"!, Boven Nickerie.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2797823 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2797823",NA,"Michx.",NA,NA,NA,"NL-L2797823","25",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:34:01-03","NBC","NL-BOTANY","L.2797827","PreservedSpecimen","Plantae","Lamiales","Scrophulariaceae","Micranthemum","umbrosum","Micranthemum umbrosum",NA,"Pedersen TM",NA,"1969","04","Southern America","Argentina",NA,"Argentinae, Estancia,,Garruchos', Dep. Santo Tomé, Prov. Corrientes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2797827 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2797827",NA,"(J.F.Gmel.) S.F.Blake",NA,NA,NA,"NL-L2797827","24",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
