"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01172367","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","album","Aspidosperma album","(Vahl) Benoist ex Pichon","F. Markgraf","J. M. Pires","51149","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388595' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172367","NY01172367_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01067752","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","album","Aspidosperma album","(Vahl) Benoist ex Pichon","O. Kosovsky","W. W. Thomas","3812","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1215227' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067752","NY01067752_01","1985","09","16","Nobres","Along Rio Celeste at BR 163, 52 km S of Sinop (Km. 775)","-55.62","-12.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01252769","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","album","Aspidosperma album","(Vahl) Benoist ex Pichon","A. J. M. Leeuwenberg","D. C. Daly","1133","South America","Brazil","Pará","boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504805' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252769","NY01252769_01 NY01252769_02","1981","10","31",NA,"Approx. 30-35 km from Tucuri; 25 km on old BR 422, then 5-10 km E on old railroad bed.","-49.6735668","-3.9906516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4176933","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","album","Aspidosperma album","(Vahl) Benoist ex Pichon",NA,"J. A. Steyermark","89346","South America","Venezuela","Bolívar","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4499977' target='other'> <mi>dwc_moreinfo</mi></a>","NY04176933",NA,"1961","02","12",NA,"Forest at base, between Rancho Alegre and base of Altiplanicie, on trail to Quebrada Cabeza Burro, 5 kms. E. of Las Chicharras, 47 kms. N. Tumeremo. Altiplanicie de Nuria",NA,NA,"100","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01172368","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","album","Aspidosperma album","(Vahl) Benoist ex Pichon","A. J. M. Leeuwenberg","B. V. Rabelo","3220","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388598' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172368","NY01172368_01 NY01172368_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4176934","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","album","Aspidosperma album","(Vahl) Benoist ex Pichon",NA,"L. Marcano-Berti","91","South America","Venezuela","Delta Amacuro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4499978' target='other'> <mi>dwc_moreinfo</mi></a>","NY04176934",NA,"1964","02","20",NA,"Bosque Pluvial. Este de Río Grande. Este-Noreste de El Palmar, cerca de los límites del Estado Bolívar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01172366","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","album","Aspidosperma album","(Vahl) Benoist ex Pichon",NA,"J. J. Strudwick","3632","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388565' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172366","NY01172366_01 NY01172366_02","1981","07","28",NA,"Macau airstrip, 1 1/2 hrs. upstream from Lageira airstrip, on Rio Maicuru","-54.43","-0.92","244","244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","52694","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","album","Aspidosperma album","(Vahl) Benoist ex Pichon","L. Allorge","S. A. Mori","24297","South America","French Guiana","Saint-Laurent-du-Maroni","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621653' target='other'> <mi>dwc_moreinfo</mi></a>","NY00052694",NA,"1996","01","07",NA,"Saül and vicinity. Eaux Claires, hill beyond large tourist carbet presently located just before the bridge leading into Eaux Claires.","-53.2","3.62","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01172365","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","album","Aspidosperma album","(Vahl) Benoist ex Pichon","A. J. M. Leeuwenberg","N. T. da Silva","2569","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388562' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172365","NY01172365_01 NY01172365_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01252771","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","album","Aspidosperma album","(Vahl) Benoist ex Pichon","A. A. de Oliveira","A. A. de Oliveira","261","South America","Brazil","Amazonas","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504821' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252771","NY01252771_01 NY01252771_02","1991","12","06","Manaus","Distrito Agropecuário, 90 Km NNE de Manaus. Reserva 1501 (Km 41). Mata de terra firme.","-59.6854736","-2.3153702","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
