"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00818384","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","imbricatiformis","Hyptis imbricatiformis","Harley","I. Cordeiro","C. B. Toledo","281","1987","02","09","South America","Brazil","Goiás","Parque Nacional da Chapada dos Veadeiros.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=861502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:32:30-03","NBC","NL-BOTANY","U.1353981","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","imbricatiformis","Hyptis imbricatiformis","Harley","Cordeiro I","Toledo CB; et al.",NA,"1987","11","09","Southern America","Brazil","Goiás",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1353981 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1353981","Magnoliopsidae","1988","08","01","U 0038307","NL-U1353981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:11:40-03","ESALQ","ESA","90166","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Hyptis","imbricatiformis","Hyptis imbricatiformis","Harley","Antar, G.M.","Paula-Souza, J.; Ferrucci, M.S.; Duarte, A.R.; Rando, J.G.; Tsuji, R.","4571.0","2005","01","24",NA,"Brasil","Goiás","Parque Nacional da Chapada dos Veadeiros. Trilha para as Corredeiras",NA,"Arbusto, ca, 1m alt. Flores alvo-lilases","ESA090166",NA,NA,NA,NA,NA,"ESA090166","Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","auto",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:11:40-03","ESALQ","ESA","81479","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Hyptis","imbricatiformis","Hyptis imbricatiformis",NA,"Silva-Luz, C.L.","Uliana, V.L.C.R.; Elias, S.I.; Forster, W.","700.0","2002","05","01",NA,"Brasil","Goiás","40 Km de alto Paraíso, BR 118 em direção a Palmas. campo rupestre",NA,"Flores alvas, 1 m alt.","ESA081479",NA,"2012","07","25",NA,"ESA081479","Alto Paraíso","-472.546","-135.532",NA,NA,"-472,546","-135,532","1488","1488",NA,NA,NA
"5","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0015086","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","imbricatiformis","Hyptis imbricatiformis","Harley","R.M. Harley","G. Hatschbach;","36884","1975","5","26",NA,"Brazil","Goias","Rod GO-12, descida Chapada dos Veadeiros (mun. Cavelcante) Goiás",NA,"Ereta, flor rosada, campo arenoso (rupestre). Hyptis imbricatiformis Harley",NA,NA,NA,NA,NA,NA,NA,NA,"-47.455499","-13.797611",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:30:15-03","MBM","MBM","33060","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","imbricatiformis","Hyptis imbricatiformis","Harley","Harley, R.M.","Hatschbach, G.; Anderson, W.R.; Barneby, R.; Gates, B.; Anderson, W.R.; Barneby, R.; Gates, B.","36368","1975","02","20","Southern America","Brazil","Goiás","Chapada dos Veadeiros, GO 012",NA,"Ereta, 50 cm, flor lilás, campo cerrado; Ereta 50cm, flor lilás.; Campo cerrado.","MBM033060",NA,"1976",NA,NA,NA,"MBM033060","Alto Paraíso",NA,NA,NA,NA,NA,NA,"1300","1300","HOLOTYPE",NA,NA
"7","2020-12-21 16:30:15-03","MBM","MBM","133766","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","imbricatiformis","Hyptis imbricatiformis","Harley","Harley, R.M.","Hatschbach, G.; Hatschbach, M.; Nicolack, V.; Hatschbach, M.; Nicolack, V.","53939","1990","02","13","Southern America","Brazil","Goiás","Rod. GO-118, 15-20 km ao Norte de Alto Paraíso",NA,NA,"MBM133766",NA,NA,NA,NA,NA,"MBM133766","Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:30:15-03","MBM","MBM","215855","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","imbricatiformis","Hyptis imbricatiformis","Harley","Cordeiro, I.","Toledo, C.B.; et al.; et al.","281",NA,NA,NA,"Southern America","Brazil","Goiás","Parque Nacional da Chapada dos Veadeiros",NA,NA,"MBM215855",NA,NA,NA,NA,NA,"MBM215855","Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:30:15-03","MBM","MBM","34383","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","imbricatiformis","Hyptis imbricatiformis","Harley","Harley, R.M.","Hatschbach, G.","36884","1975","05","25","Southern America","Brazil","Goiás","Rod. GO-12, descida Chapada dos Veadeiros",NA,NA,"MBM034383",NA,NA,NA,NA,NA,"MBM034383","Cavalcante","-47.4583015441895","-13.7974996566772","92497","auto",NA,NA,NA,NA,NA,NA,NA
"10","2021-02-11 17:19:16-03","UFPR","UPCB","15440","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","imbricatiformis","Hyptis imbricatiformis","Harley",NA,"Hatschbach, G.","36368","1975","02","20",NA,"Brasil","Goiás","GO 12, Chapada dos Veadeiros",NA,"Ereta, 50cm, flor lilás. campo cerrado..","UPCB0002287",NA,NA,NA,NA,NA,"UPCB0002287","Alto Paraíso",NA,NA,NA,NA,NA,NA,"1300","1300","Isotype",NA,NA
"11","2009-06-25 13:32:00-03","MO","MOBOT","2905380","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","imbricatiformis","Hyptis imbricatiformis","Harley","R.M. Harley 18-4-","William R. Anderson","Anderson 7201","1973","3","16","South America","Brazil","Goiás","24km by road S if Terezina; region with cerrado giving way on lower slope to grassy campo traversed by stream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1250.00000000",NA,NA,NA,NA
