"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:25:51-03","UNESC","CRI","2350","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","L. B. Smith","Imaguire","1973","03","19","Brasil","Santa Catarina","Ilhota","Fazenda da Barra.","-48.8275","-26.900278","48º49'39''W","26º54'1''S","500","500","CRI006713","CRI006713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","640677","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","C. D. Adams","C. D. Adams","1977","02","20","Trinidad and Tobago",NA,NA,"Trinidad. Ferry road, Carapo",NA,NA,NA,NA,NA,NA,"NY00640677",NA,"Magnoliophyta","Poales","14218","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207246' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","652644","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"P. von Luetzelburg","1910",NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Gavea","-43.250118","-22.98261",NA,NA,NA,NA,"NY00652644","NY00652644_01","Magnoliophyta","Poales","255","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207251' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-07 11:54:00-02","NY","NYBG","1183591","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia",NA,NA,"D. C. Zappi","2008","08","27","Brazil","Mato Grosso","Novo Mundo","Parque Estadual do Cristalino. Extremo nordeste do Parque, subindo o Rio Cristalino.","-55.704275","-9.469925",NA,NA,"242","242","NY01183591","NY01183591_01","Magnoliophyta","Poales","1466","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1449753' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 21:04:00-03","NY","NYBG","00862791","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia",NA,NA,"G. Davidse","1976","03","27","Brazil","Minas Gerais",NA,"Ca. 19 km S of the intersection of Highways BR-116 and BR-262, just N of the village of São João do Manhuaçu",NA,NA,NA,NA,"800","800","NY00862791","NY00862791_01","Magnoliophyta","Poales","11454","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=948878' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-11-01 14:26:00-02","NY","NYBG","640671","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia",NA,NA,"M. A. Chase","1924","11","18","Brazil","Pernambuco",NA,"Vicinity of Pernambuco (Recife), Pern. Dois Irmaos","-34.950715","-8.007784",NA,NA,"5","5","NY00640671","NY00640671_01","Magnoliophyta","Poales","7717","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207256' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","645270","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","G. Davidse","J. G. Jardim","2001","04","02","Brazil","Bahia",NA,"Malhada: Rod. para o Distr. de Cana Brava, 3.5 km ao S da cidade, áreas alagadicas dos Baixadoes do Rio Sao Francisco","-43.7539","-14.3617",NA,NA,"450","450","NY00645270","NY00645270_01","Magnoliophyta","Poales","3396","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207241' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-01 14:26:00-02","NY","NYBG","649961","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia",NA,NA,"W. D. Clayton","1965","02","09","Brazil","São Paulo","Rancharia","½ km S of Agissê","-50.92","-22.53",NA,NA,"400","400","NY00649961","NY00649961_01","Magnoliophyta","Poales","4599","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207253' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1147088","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"H. H. Rusby","1886","10",NA,"Brazil","Rondônia",NA,"Falls of Madeira","-65.3465375","-10.7798649",NA,NA,NA,NA,"NY01147088","NY01147088_01","Magnoliophyta","Poales","199","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400965' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","865692","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","E. C. Tenório","P. J. M. Maas","1971","04","30","Brazil","Acre","Mâncio Lima","Serra do Moa. Near guard's house.","-72.8956","-7.6144",NA,NA,NA,NA,"NY00865692","NY00865692_01","Magnoliophyta","Poales","P12680","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207248' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
