"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","identifiedBy","year","month","continentOcean","preparationType","barcode","imagecode","day","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relationshipType","relatedCatalogItem","fieldNumber","infraspecificEpithet"
"1","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1353","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hatiora","salicornioides","Hatiora salicornioides","(Haw.) Britton & Rose","Juliana Ordones Rego;","ordones337","Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça, Bocaina","-43.4152984619141","-19.959400177002","33136","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1337","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hatiora","salicornioides","Hatiora salicornioides","(Haw.) Britton & Rose",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"1","254",NA,"Nygel Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1366","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hatiora","salicornioides","Hatiora salicornioides","(Haw.) Britton & Rose","Juliana Ordones Rego;",NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça, Padre Caio","-43.4152984619141","-19.959400177002","33136","2","254","auto","Nygel Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1331","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hatiora","salicornioides","Hatiora salicornioides","(Haw.) Britton & Rose","Inês Ribeiro de Andrade;",NA,"Brasil","Minas Gerais","Tiradentes","Serra de São José","-44.1781005859375","-21.1103000640869","10355","3","254","auto","Nygel Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1318","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hatiora","salicornioides","Hatiora salicornioides","(Haw.) Britton & Rose",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","645337","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hatiora","salicornioides","Hatiora salicornioides","(Haw.) Britton & Rose","J. N. Rose","20585","Brazil","Rio de Janeiro","Itatiaia","Vicinity of Itatiaya","-44.5631","-22.4961",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756625' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"1915","07","South America","sheet","NY00645337","NY00645337_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","645772","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hatiora","salicornioides","Hatiora salicornioides","(Haw.) Britton & Rose","S. C. de Sant'Ana","319","Brazil","Bahia","Wenceslau Guimaraes","Reserva Estadual de Wenceslau Guimaraes. Cerca de 40 km., W de Teolândia, próximo ao povoado de Nova Esperança","-39.4792","-13.6869",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=633739' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"A. M. Calvente","1993","04","South America","sheet","NY00645772","NY00645772_01","01","380","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","645340","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hatiora","salicornioides","Hatiora salicornioides","(Haw.) Britton & Rose","J. N. Rose","20855","Brazil","São Paulo",NA,"Jabaquara",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756628' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"1915","08","South America","sheet","NY00645340","NY00645340_01","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","645335","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hatiora","salicornioides","Hatiora salicornioides","(Haw.) Britton & Rose","J. N. Rose","20348","Brazil","Rio de Janeiro",NA,"Ilha Grande, Distrito Federal, Rio de Janeiro","-44.234582","-23.150897",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756615' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"N. P. Taylor; D. C. Zappi","1915","07","South America","sheet","NY00645335","NY00645335_01","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","645326","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hatiora","salicornioides","Hatiora salicornioides","(Haw.) Britton & Rose","Collector unspecified","14796","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"Plant from Simon, Paris, 1990. Flowered at NYBG Apr 1912 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756618' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"1900",NA,"South America","sheet","NY00645326","NY00645326_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
