"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","phylum","class","order","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks"
"1","2020-12-21 16:38:46-03","MBM","MBM","46106","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","ophiantha","Pleurothallis ophiantha","Cogn.","Pabst, G.","Hatschbach, G.","38102","1976","02","18","Southern America","Brazil","Paraná","Paranaguá","Morro Inglês","-48.5092010498047","-25.5200004577637","24916","MBM046106","MBM046106","auto",NA,NA,NA,NA,NA,NA,NA
"2","2021-02-25 10:11:27-03","CVRD","CVRD","9812","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","ophiantha","Pleurothallis ophiantha","Cogn.","Tarcisio Magevski Rodrigues","Folli, D.A.","5399","2006","11","15","América do Sul","BRASIL","ES","Conceição da Barra",NA,"-39.7322006225586","-18.5932998657227","41644","CVRD009812","CVRD009812","auto","Magnoliophyta","Liliopsida","Asparagales","2007","06","21","<ll>dwc_commonname:</ll> Orquídea faquinha"
"3","2021-02-25 10:11:27-03","CVRD","CVRD","5545","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","cf. ophiantha","Pleurothallis cf. ophiantha","Cogn.","J. T. Atwood","Folli, D.A.","2848","1996","11","18","América do Sul","BRASIL","ES","Linhares","Próximo bloco B","-40.0722007751465","-19.3910999298096","48094","CVRD005545",NA,"auto","Magnoliophyta","Liliopsida","Asparagales","1997","12","10","<ll>dwc_commonname:</ll> Orquídea quiço"
"4","2017-09-11 17:12:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Pleurothallis","ophiantha","Pleurothallis ophiantha","Cogn.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"Habitat locis umbrosis supra arbores ad Serra do Macuco prov. Minas Geraes",NA,NA,NA,NA,"P03P4N0105",NA,NA,NA,NA,NA,NA,NA,"Floret Octobri"
